"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL Give Me Everything f/Ne-Yo",13981,"-80",-217,"-156",94.184,"-0.304",68,1,14233,1811,95.596
"2",2,"=","LMFAO Party Rock Anthem",13159,"+108",806,"-54",87.029,"+0.801",68,2,13159,1859,87.029
"3",3,"=","KATY PERRY Last Friday Night (T.G.I.F.)",12815,"+106",1660,"-218",80.037,"+1.010",51,3,12815,2322,80.037
"4",4,"+1","LADY GAGA The Edge Of Glory",11566,"+12",-85,"-54",67.139,"+0.481",68,3,11672,2193,67.139
"5",5,"-1","ADELE Rolling In The Deep",11479,"-143",-923,"-68",76.174,"-1.350",68,1,14295,2273,96.15
"6",6,"=","NICKI MINAJ Super Bass",8245,"+128",597,"+34",52.733,"+0.788",68,6,8245,1188,52.733
"7",7,"=","LUPE FIASCO The Show Goes On",7925,"-116",-880,"-104",47.312,"-0.475",68,6,8825,1043,53.459
"8",8,"=","ONEREPUBLIC Good Life",7632,"+76",389,"+39",42.84,"+0.179",68,8,7632,898,42.84
"9",9,"=","HOT CHELLE RAE Tonight Tonight",7629,"+81",600,"-54",40.529,"+0.544",68,9,7629,838,40.529
"10",10,"=","JASON DERULO Don't Wanna Go Home",7269,"-4",-17,"-30",37.142,"-0.305",66,9,7292,1463,37.775
"11",11,"=","BLACK EYED PEAS Just Can't Get Enough",6803,"-47",-765,"+50",48.227,"-0.962",68,2,13366,715,84.474
"12",12,"=","KATY PERRY E.T.",6454,"-153",-1119,"-123",46.36,"-1.536",68,1,14624,0,96.745
"13",13,"=","BRITNEY SPEARS I Wanna Go",6335,"+206",1109,"+58",40.515,"+1.307",34,13,6335,1768,40.515
"14",14,"=","BRUNO MARS Lazy Song",5678,"-218",-1048,"-112",27.515,"-1.194",68,3,11422,1054,61.587
"15",15,"=","BRITNEY SPEARS Till The World Ends",4876,"-51",-716,"+26",33.435,"-0.099",68,3,11896,966,75.819
"16",16,"=","NICOLE SCHERZINGER Right There",4347,"+52",83,"-32",19.908,"+0.064",52,16,4347,720,21.085
"17",17,"+1","LIL WAYNE How To Love",4283,"+131",1186,"-94",23.59,"+0.818",43,17,4283,1328,23.59
"18",18,"-1","THE BAND PERRY If I Die Young",4210,"+41",332,"-39",22.454,"+0.299",68,17,4210,655,22.454
"19",19,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",4188,"+36",263,"-60",22.304,"+0.657",68,17,4188,615,22.304
"20",20,"=","BEYONCE Best Thing I Never Had",3886,"+61",445,"-18",19.494,"+0.264",40,20,3886,856,19.494
"21",21,"=","RIHANNA California King Bed",3823,"+24",-1,"-57",15.398,"-0.043",63,19,3856,616,16.018
"22",22,"=","CHRIS BROWN She Ain't You",3009,"+69",353,"+55",15.02,"+0.337",57,22,3009,635,15.02
"23",23,"=","BAD MEETS EVIL Lighters f/Bruno Mars",2724,"+229",1215,"+144",16.513,"+1.259",22,23,2724,1215,16.513
"24",24,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",2475,"+7",245,"-138",13.247,"+0.168",43,23,2475,569,13.247
"25",25,"=","MAROON 5 Never Gonna Leave This Bed",2251,"-28",-151,"-21",9.848,"-0.131",68,23,2433,312,10.24
"26",26,"=","TAYLOR SWIFT The Story Of Us",1722,"-150",-1112,"-60",8.863,"-0.535",68,21,3295,587,17.303
"27",27,"+4","COBRA STARSHIP You Make Me Feel... f/Sab...",1702,"+83",404,"+34",9.256,"+0.614",34,27,1702,404,9.256
"28",28,"+2","AVRIL LAVIGNE Smile",1632,"+10",106,"-15",6.403,"+0.115",50,28,1632,226,6.403
"29",29,"-1","MARTIN SOLVEIG & DRAGONETTE Hello",1582,"-125",-876,"-38",16.665,"-0.563",68,18,4031,605,23.761
"30",30,"-1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",1506,"-152",-1292,"+36",8.532,"-0.668",66,18,3879,864,21.943
"31",31,"+2","IYAZ Pretty Girls",1458,"+16",189,"-9",5.562,"+0.123",43,31,1458,271,5.562
"32",32,"+3","COLDPLAY Every Teardrop Is A Waterfall",1392,"+33",253,"-44",6.477,"+0.089",23,32,1392,446,6.477
"33",33,"+4","BLACK EYED PEAS Don't Stop The Party",1360,"+86",375,"+43",5.377,"+0.451",16,33,1360,492,5.377
"34",34,"+2","T-PAIN Best Love Song f/Chris Brown",1351,"-2",-48,"-91",7.421,"-0.061",66,33,1399,260,7.852
"35",35,"-3","WIZ KHALIFA Roll Up",1335,"-126",-941,"+80",6.736,"-0.571",68,14,5043,725,26.478
"36",36,"-2","SELENA GOMEZ & THE SCENE Who Says",1260,"-115",-1009,"-17",6.91,"-0.323",68,17,4559,707,27.282
"37",37,"+1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",1193,"+93",591,"+43",6.961,"+0.417",9,37,1193,591,6.961
"38",38,"+1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",1093,"+14",255,"-71",4.271,"-0.061",19,38,1093,380,4.332
"39",39,"+1","BIG SEAN My Last f/Chris Brown",1035,"+7",123,"-3",6.262,"+0.128",43,39,1035,169,6.262
"40",40,"+1","PITBULL Rain Over Me",1023,"+92",505,"+34",9.465,"+0.772",8,40,1023,505,9.465
"41",41,"+1","AFROJACK Take Over Control f/Eva Simons",960,"+29",150,"+22",10.628,"+0.454",28,41,960,234,10.628
"42",42,"+2","ANDY GRAMMER Keep Your Head Up",919,"+13",104,"-14",3.088,"+0.040",22,42,919,280,3.088
"43",43,"=","CEE LO GREEN Bright Lights Bigger City",893,"-22",-151,"-25",2.559,"-0.130",49,37,1044,170,3.418
"44",44,"+2","ALL TIME LOW I Feel Like Dancin�",875,"-2",10,"-16",2.329,"+0.007",29,41,881,294,2.442
"45",45,"+2","KELLY ROWLAND Motivation f/Lil Wayne",780,"+15",157,"-30",2.436,"-0.018",13,45,780,248,2.483
"46",46,"+2","FOSTER THE PEOPLE Pumped Up Kicks",698,"+49",277,"+26",3.749,"+0.366",4,46,698,277,3.749
"47",47,"+2","CODY SIMPSON On My Mind",583,"+6",56,"-4",1.718,"-0.036",28,47,583,104,1.799
"48",48,"+2","JOE JONAS See No More",563,"+17",74,"+12",2.417,"+0.190",4,48,563,157,2.417
"49",49,"--","MATT NATHANSON Faster",529,"--",50,"--",1.692,"--",6,49,529,166,1.731
"50",50,"--","TRAIN Save Me San Francisco",492,"--",-31,"--",1.999,"--",45,44,551,92,2.229
