"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL Give Me Everything f/Ne-Yo",13631,83,325,32,93.32,0.295,52,1,13631,1811,93.32
"2",2,"=","ADELE Rolling In The Deep",13099,-105,-652,-27,89.381,-0.7,52,1,14295,2273,96.15
"3",3,"=","LADY GAGA The Edge Of Glory",11097,77,681,-39,63.956,0.736,52,3,11097,2193,63.956
"4",4,"=","LMFAO Party Rock Anthem",10538,158,1421,-124,70.628,0.74,52,4,10538,1859,70.628
"5",5,"=","KATY PERRY E.T.",8911,-202,-1062,-145,65.874,-2.122,52,1,14624,0,96.745
"6",6,"+1","LUPE FIASCO The Show Goes On",8673,16,296,-45,52.521,-0.738,52,6,8673,1043,53.459
"7",7,"-1","BLACK EYED PEAS Just Can't Get Enough",8504,-192,-1276,-55,60.439,-0.969,52,2,13366,715,84.474
"8",8,"+1","KATY PERRY Last Friday Night (T.G.I.F.)",8490,237,2038,-42,54.801,1.466,35,8,8490,2124,54.801
"9",9,"-1","BRUNO MARS Lazy Song",8264,-236,-1982,41,39.97,-0.985,52,3,11422,1054,61.587
"10",10,"=","JASON DERULO Don't Wanna Go Home",6896,50,259,5,36.723,0.205,50,10,6896,1463,37.039
"11",11,"=","NICKI MINAJ Super Bass",6611,126,1003,-15,40.069,0.762,52,11,6611,1188,40.069
"12",12,"+2","ONEREPUBLIC Good Life",6334,87,809,0,36.461,0.986,52,12,6334,809,36.461
"13",13,"-1","HOT CHELLE RAE Tonight Tonight",6330,15,420,-122,32.261,0.159,52,12,6330,838,32.261
"14",14,"-1","BRITNEY SPEARS Till The World Ends",6224,-80,-1245,163,40.957,-0.795,52,3,11896,966,75.819
"15",15,"=","JENNIFER LOPEZ F/PITBULL On The Floor",4835,-118,-1283,173,34.814,-0.676,52,5,10169,668,65.118
"16",16,"=","WIZ KHALIFA Roll Up",4112,-177,-733,-134,19.126,-0.592,52,14,5043,725,26.478
"17",17,"=","SELENA GOMEZ & THE SCENE Who Says",3832,-174,-586,-130,17.999,-1.394,52,17,4559,707,27.282
"18",18,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3801,-34,-13,-51,20.258,-0.424,50,18,3879,864,21.943
