"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KATY PERRY","Wide Awake",14053,76,448,-78,99.756,0.824,70,"5",1,14053,2824,99.756
"2",2,"=","ELLIE GOULDING","Lights",13483,10,904,-287,97.69,0.157,172,"9",2,13483,1482,97.69
"3",3,"=","RIHANNA","Where Have You Been",12437,-159,-516,-193,89.112,-1.223,107,"28",2,12963,1884,95.69
"4",4,"=","MAROON 5","Payphone f/Wiz Khali...",12211,-97,-1394,56,93.972,-0.602,106,"26",1,14353,3415,107.136
"5",5,"=","CARLY RAE JEPSEN","Call Me Maybe",10912,-196,-1056,-61,77.406,-1.81,142,"2",1,14563,1711,111.23
"6",6,"=","DAVID GUETTA","Titanium f/Sia",9895,133,759,15,67.216,0.62,114,"10",6,9895,1091,67.216
"7",7,"=","USHER","Scream",9627,13,139,23,67.905,-0.066,96,"22",6,9627,2323,68.266
"8",8,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",8323,110,808,-6,54.622,0.372,94,"23",8,8323,1254,54.622
"9",9,"=","GOTYE","Somebody That I Used...",8058,-72,-741,101,54.845,-0.456,152,"18",1,14242,2018,106.819
"10",10,"=","DEMI LOVATO","Give Your Heart A Br...",7741,85,567,44,52.605,1.377,153,"25",10,7741,1250,52.605
"11",11,"=","PINK","Blow Me (One Last Ki...",6777,148,1023,-54,44.896,1.127,27,"8",11,6777,2737,44.896
"12",12,"=","CHER LLOYD","Want U Back",6483,124,585,48,39.883,0.604,80,"6",11,6483,1103,39.883
"13",13,"=","FLO RIDA","Whistle",6227,121,1059,-99,44.001,1.348,56,"1",13,6227,1412,44.001
"14",14,"+1","OWL CITY & CARLY RAE...","Good Time",5548,56,988,-94,34.829,0.42,35,"7",14,5548,1961,34.829
"15",15,"-1","HAVANA BROWN","We Run The Night f/P...",5522,11,210,-88,39.452,-0.19,170,"39",14,5522,544,39.659
"16",16,"=","ONE DIRECTION","One Thing",4995,-94,-407,-101,25.891,-0.491,86,"35",13,5433,975,29.694
"17",17,"=","THE WANTED","Chasing The Sun",4305,56,265,24,24.597,0.47,88,"37",17,4305,656,24.597
"18",18,"=","NEON TREES","Everybody Talks",3738,112,614,75,24.729,0.838,113,"15",18,3738,614,24.729
"19",19,"=","JUSTIN BIEBER","As Long As You Love ...",3310,93,975,-100,21.346,0.742,26,"12",19,3310,1096,21.346
"20",20,"=","GROUPLOVE","Tongue Tied",2758,11,269,-54,15.53,0.068,98,"51",20,2758,433,15.53
"21",21,"=","KELLY CLARKSON","Dark Side",2722,46,247,-35,15.53,0.112,52,"30",20,2722,493,15.627
"22",22,"=","NO DOUBT","Settle Down",2656,145,1467,113,15.407,0.915,13,"80",22,2656,1467,15.407
"23",23,"=","JASON MRAZ","I Won't Give Up",2417,42,180,-2,16.334,0.445,107,"16",22,2417,276,16.334
"24",24,"=","FUN.","Some Nights",2290,84,558,17,14.101,0.57,51,"4",24,2290,558,14.101
"25",25,"+2","MAROON 5","One More Night",2267,185,1153,45,12.895,1.095,13,"27",25,2267,1153,12.895
"26",26,"=","OUTASIGHT","Now Or Never",2110,11,31,-90,10.786,0.169,82,"181",25,2110,320,10.786
"27",27,"+2","NICKI MINAJ","Pound The Alarm",2100,121,1034,-2,11.693,0.776,15,"94",27,2100,1036,11.693
"28",28,"=","ALEX CLARE","Too Close",2046,52,377,15,13.002,0.385,63,"13",28,2046,377,13.002
"29",29,"-4","GYM CLASS HEROES","Fighter f/Ryan Tedde...",2005,-201,-1237,52,13.208,-0.853,92,"20",13,5862,1441,35.394
"30",30,"+1","JUSTIN BIEBER","Boyfriend",1796,-4,-373,171,8.947,-0.015,127,"53",9,7937,4726,51.515
"31",31,"-1","PITBULL","Back In Time",1792,-86,-1079,2,12.319,-0.11,124,"64",14,6235,925,42.751
"32",32,"+1","B.O.B","Both Of Us f/Taylor ...",1365,13,-294,188,9.569,0.086,79,"67",23,3144,577,17.595
"33",33,"-1","RITA ORA","How We Do (Party)",1348,-176,-1049,-2,5.802,-0.612,96,"158",21,3424,620,16.657
"34",34,"=","CHRIS BROWN","Don't Wake Me Up",1090,-1,97,-47,5.749,-0.169,44,"65",34,1091,326,5.949
"35",35,"=","LINKIN PARK","Burn It Down",1049,-6,35,-51,4.083,0.033,55,"63",35,1055,217,4.083
"36",36,"=","OLLY MURS","Heart Skips A Beat",1026,32,176,-9,5.437,-0.032,18,"188",36,1026,343,5.469
"37",37,"=","K'NAAN","Hurt Me Tomorrow",969,-8,157,-15,3.407,-0.065,45,"274",37,977,308,3.679
"38",38,"=","MATCHBOX TWENTY","She's So Mean",919,-25,-103,-48,4.156,0.028,44,"58",34,1028,574,4.492
"39",39,"=","SAMMY ADAMS","Only One",861,-59,-360,-53,3.823,-0.281,73,"258",32,1295,230,6.013
"40",40,"+1","PITBULL","Get It Started f/Sha...",594,10,17,-21,2.755,-0.026,16,"277",40,615,182,3.263
"41",41,"+2","CA$H OUT","Cashin' Out",591,30,99,5,1.697,0.037,11,"52",41,591,126,1.714
"42",42,"-2","AFROJACK & SHERMANOL...","Can't Stop Me",589,2,55,-5,7.417,0.08,26,"310",40,596,101,7.417
"43",43,"-1","MARINA AND THE DIAMO...","Primadonna",563,1,37,-11,2.381,-0.03,23,"--",42,563,93,2.411
"44",44,"=","JENNIFER LOPEZ","Goin' In f/Flo Rida",478,-12,-148,-66,1.385,0.033,36,"196",42,648,275,2.274
"45",45,"+1","CONOR MAYNARD","Vegas Girl",427,28,114,-51,1.254,0.06,3,"--",45,427,167,1.254
"46",46,"-1","CHRIS RENE","Trouble",426,5,25,-42,0.789,0.013,9,"370",45,438,124,0.789
"47",47,"=","DAVID GUETTA","I Can Only Imagine f...",411,18,127,8,3.036,0.163,2,"371",47,411,127,3.036
"48",48,"+2","TREY SONGZ","Heart Attack",397,20,122,22,1.78,0.107,2,"83",48,397,122,1.78
"49",49,"-1","AUSTIN MAHONE","Say Somethin",396,13,14,-74,1.775,0.034,7,"328",48,413,183,1.873
"50",50,"-1","WIZ KHALIFA","Work Hard, Play Hard",392,9,5,18,1.638,0.052,31,"41",47,396,73,1.675
