"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",14048,"+72",455,"-80",94.615,"+0.738",25,1,14048,2273,94.615
"2",2,"=","KATY PERRY E.T.",12865,"-39",-431,"+45",88.222,"-0.468",25,1,14624,0,96.745
"3",3,"=","BLACK EYED PEAS Just Can't Get Enough",12673,"-82",-609,"-83",80.022,"+0.149",25,2,13366,715,84.474
"4",4,"=","BRITNEY SPEARS Till The World Ends",11159,"-57",-492,"+7",72.351,"+0.376",25,3,11896,966,75.819
"5",5,"=","BRUNO MARS Lazy Song",10872,"+196",525,"+192",60.094,"+0.192",25,5,10872,1054,60.439
"6",6,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9852,"-59",-247,"-9",60.69,"-0.452",25,5,10169,668,65.118
"7",7,"=","PITBULL Give Me Everything f/Ne-Yo",9438,"+103",1129,"-78",68.616,"+0.846",25,7,9438,1811,68.616
"8",8,"=","TINIE TEMPAH Written In The Stars",7682,"-197",-701,"-138",42.378,"-0.658",25,7,8819,756,54.175
"9",9,"=","LUPE FIASCO The Show Goes On",6650,"+217",899,"+239",40.837,"+1.355",25,9,6650,1005,40.837
"10",10,"=","LADY GAGA The Edge Of Glory",6178,"+208",1052,"+75",37.198,"+1.558",25,10,6178,2193,37.198
"11",11,"=","KE$HA Blow",5881,"-57",-802,"+157",36.344,"-0.412",25,4,10135,0,56.264
"12",12,"+1","JESSIE J Price Tag f/B.O.B",5668,"+44",-113,"+173",27.762,"+0.167",25,12,5959,582,30.453
"13",13,"-1","RIHANNA S&M",5593,"-97",-829,"+15",37.425,"-0.469",25,5,10081,0,64.524
"14",14,"=","THE SCRIPT For The First Time",5422,"-47",-526,"+123",29.835,"+0.124",25,11,6229,433,33.625
"15",15,"=","JEREMIH Down On Me f/50 Cent",4637,"-174",-978,"-20",26.404,"-0.773",25,10,8052,153,44.2
"16",16,"+1","JASON DERULO Don't Wanna Go Home",4616,"+216",1052,"+46",25.06,"+1.057",23,16,4616,1463,25.06
"17",17,"-1","WIZ KHALIFA Roll Up",4539,"+23",306,"-96",25.386,"+0.268",25,16,4539,725,25.386
"18",18,"=","LMFAO Party Rock Anthem",4481,"+147",892,"-20",32.514,"+0.943",25,18,4481,912,32.514
"19",19,"=","SELENA GOMEZ & THE SCENE Who Says",4356,"+75",283,"+88",25.92,"+0.801",25,17,4356,707,25.92
"20",20,"=","HOT CHELLE RAE Tonight Tonight",4263,"+84",480,"+18",20.858,"+0.313",25,19,4263,643,20.858
"21",21,"=","NEW BOYZ Back Seat f/Cataracs & Dev",4048,"+6",-43,"+10",21.282,"+0.068",25,17,4096,331,21.342
"22",22,"=","ONEREPUBLIC Good Life",3951,"+23",398,"-48",20.687,"+0.160",25,21,3951,580,20.687
"23",23,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3689,"+32",413,"+43",21.094,"-0.257",25,23,3689,605,21.932
"24",24,"=","TAYLOR SWIFT The Story Of Us",2857,"+96",234,"+100",14.183,"+0.235",25,24,2857,587,14.183
"25",25,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",2856,"+100",622,"-21",18.657,"+0.464",23,25,2856,864,18.657
"26",26,"=","NICKI MINAJ Super Bass",2793,"+83",617,"-22",15.508,"+0.621",25,26,2793,834,15.508
"27",27,"=","LADY GAGA Born This Way",2521,"-12",-69,"+23",13.321,"+0.195",25,19,3651,0,20.436
"28",28,"=","RIHANNA California King Bed",1985,"+116",476,"+62",9.75,"+0.482",20,28,1985,616,9.75
"29",29,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1811,"+61",280,"+38",8.177,"+0.217",25,29,1811,525,8.177
"30",30,"=","SHONTELLE Say Hello To Goodbye",1730,"+28",174,"+30",5.328,"+0.090",25,29,1730,174,5.328
"31",31,"=","CHRIS BROWN Look At Me Now",1572,"-61",-162,"-65",9.936,"-0.552",25,28,1861,229,12.746
"32",32,"=","MAROON 5 Never Gonna Leave This Bed",1556,"+42",216,"+50",5.879,"+0.262",25,32,1556,312,5.879
"33",33,"+1","NICOLE SCHERZINGER Right There",1308,"+122",640,"+51",8.402,"+0.580",9,33,1308,640,8.402
