"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRUNO MARS","Locked Out Of Heaven",15209,"+62",584,"-60",116.275,"+0.269",78,"2",1,15209,2790,116.275
2,"=","KE$HA","Die Young",13423,"-544",-2131,"-546",98.513,"-5.830",84,"14",1,15607,3842,121.911
3,"=","RIHANNA","Diamonds",13245,"+61",101,"-9",95.941,"+0.453",83,"10",3,13245,2812,96.67
4,"=","NE-YO","Let Me Love You",10807,"-171",-1228,"-67",78.557,"-1.936",131,"43",4,12234,1345,90.373
5,"=","LUMINEERS","Ho Hey",10797,"+310",1721,"+42",85.044,"+2.721",93,"4",5,10797,1921,85.044
6,"+1","FLO RIDA","I Cry",10459,"+65",628,"-57",75.95,"-0.113",94,"17",6,10459,1268,76.373
7,"-1","MAROON 5","One More Night",10359,"-110",-1180,"+135",76.502,"-1.911",153,"24",1,15401,1593,119.954
8,"=","PHILLIP PHILLIPS","Home",8586,"+143",600,"+114",55.128,"+0.773",160,"11",8,8586,1033,55.128
9,"=","FUN.","Some Nights",8294,"-132",-981,"+41",57.065,"-1.151",191,"21",2,13297,1295,93.147
10,"=","JUSTIN BIEBER","Beauty And A Beat f/...",7985,"+173",508,"+124",61.803,"+0.995",61,"9",10,7985,1998,61.803
11,"=","PINK","Try",7224,"+157",805,"+92",49.751,"+1.543",51,"16",11,7224,1515,49.751
12,"=","ED SHEERAN","The A Team",6979,"+161",822,"+67",54.977,"+0.674",121,"29",12,6979,868,54.977
13,"=","TAYLOR SWIFT","I Knew You Were Trou...",6976,"+285",1616,"+13",50.925,"+2.272",29,"3",13,6976,2452,50.925
14,"=","SWEDISH HOUSE MAFIA","Don't You Worry Chil...",6749,"+219",1136,"+101",54.005,"+1.533",100,"15",14,6749,1136,54.005
15,"=","NICKI MINAJ","Va Va Voom",5717,"-208",-505,"-190",36.565,"-1.218",60,"41",12,6322,1566,45.452
16,"+1","PITBULL","Don't Stop The Party",4214,"-1",250,"-38",30.557,"+0.228",72,"25",16,4215,567,30.557
17,"-1","TAYLOR SWIFT","We Are Never Ever Ge...",4121,"-125",-596,"+28",25.658,"-1.042",126,"37",2,13523,4592,90.881
18,"+1","ONE DIRECTION","Little Things",3783,"+134",868,"-31",24.141,"+0.826",30,"49",18,3783,1166,24.141
19,"+2","WILL.I.AM & BRITNEY ...","Scream And Shout",3751,"+203",1543,"+42",28.43,"+1.107",23,"5",19,3751,1543,28.43
20,"+2","CALVIN HARRIS","Sweet Nothing f/Flor...",3692,"+176",827,"+92",32.744,"+0.883",33,"31",20,3692,875,32.744
21,"-3","KELLY CLARKSON","Catch My Breath",3651,"-12",231,"-94",22.368,"+0.125",53,"39",18,3663,767,22.368
22,"-2","THE SCRIPT","Hall Of Fame f/will....",3635,"+35",167,"-60",18.873,"+0.221",93,"32",18,3635,493,18.873
23,"=","ALICIA KEYS","Girl On Fire",3597,"+141",881,"+34",30.918,"+0.931",56,"45/51",22,3597,893,30.918
24,"=","IMAGINE DRAGONS","It's Time",3487,"+71",764,"+28",24.201,"+0.738",86,"22",23,3487,764,24.201
25,"=","MAROON 5","Daylight",3401,"+166",904,"+47",22.137,"+0.835",25,"50",24,3401,1039,22.137
26,"=","LUDACRIS F/USHER/DAV...","Rest Of My Life",2306,"+61",244,"+20",18.664,"+0.563",36,"132",26,2306,615,18.664
27,"=","HUNTER HAYES","Wanted",2237,"+6",106,"-33",11.512,"-0.204",65,"35",27,2237,368,12.589
28,"=","ELLIE GOULDING","Anything Could Happe...",2111,"-40",-307,"-16",11.206,"-0.609",86,"30",25,2455,455,14.156
29,"=","BRIDGIT MENDLER","Ready Or Not",2016,"-112",-472,"-86",10.169,"-0.680",106,"65",23,2567,336,15.584
30,"=","ONEREPUBLIC","Feel Again",1734,"-197",-1559,"-72",13.321,"-0.873",103,"53",18,4153,813,25.014
31,"=","CHER LLOYD","Oath f/Becky G",1693,"-69",-413,"-60",6.94,"-0.444",72,"84",28,2120,343,11.061
32,"=","CHRIS WALLACE","Remember When (Push ...",1637,"+34",122,"+33",8.656,"+0.371",128,"275",32,1637,131,8.656
33,"=","THE READY SET","Give Me Your Hand",1394,"+14",160,"-2",4.166,"-0.098",51,"--",33,1394,324,4.412
34,"=","PSY","Gangnam Style",1287,"-70",-532,"-15",8.815,"-0.190",100,"12",10,7746,1695,59.817
35,"=","MIGUEL","Adorn",1232,"-22",-90,"-26",7.659,"-0.245",65,"118",34,1329,248,9.94
36,"=","OF MONSTERS AND MEN","Little Talks",1155,"+23",147,"+11",5.455,"+0.232",30,"33",36,1155,189,5.455
37,"=","MACKLEMORE & RYAN LE...","Thrift Shop f/Wanz",1125,"+60",288,"+29",10.457,"+0.326",30,"8",37,1125,288,10.457
38,"=","TRAIN","50 Ways To Say Goodb...",1011,"-8",-243,"+54",6.174,"-0.201",136,"76",16,4812,717,29.769
39,"=","CONOR MAYNARD","Turn Around f/Ne-Yo",847,"+6",62,"-9",2.662,"+0.006",41,"--",39,847,281,2.803
40,"+1","JONN HART","Who Booty f/French M...",659,"+43",220,"+37",3.107,"+0.185",15,"241",40,659,220,3.107
41,"-1","THE WANTED","I Found You",607,"-40",-254,"-24",4.519,"-0.269",67,"154",40,931,173,7.507
42,"=","THE CAB","Endlessly",391,"+0",23,"+2",1.129,"-0.022",21,"--",42,391,52,1.19
43,"=","SAM AND THE WOMP","Bom Bom",378,"-8",-40,"-9",1.125,"+0.009",18,"--",43,418,73,1.562
44,"=","NEON TREES","Lessons In Love (All...",364,"+19",37,"+18",1.169,"+0.044",9,"--",44,364,84,1.169
45,"+5","KE$HA","C'mon",334,"+61",291,"+51",4.835,"+0.969",2,"--",45,334,291,4.835
46,"-1","OWL CITY","Shooting Star",323,"+0",7,"-9",1.49,"+0.016",9,"--",45,324,89,1.539
47,"--","OLLY MURS","Troublemaker f/Flo R...",318,"--",231,"--",2.895,"--",1,"293",47,318,231,2.895
48,"-2","CODY SIMPSON","Wish U Were Here f/B...",311,"+5",-18,"+7",0.837,"-0.021",10,"--",46,331,14,1.147
49,"-2","BRITT NICOLE","Gold",307,"+19",172,"-2",0.55,"+0.031",2,"--",47,307,174,0.55
50,"-2","MUSE","Madness",293,"+11",32,"+6",0.781,"+0.038",3,"72",48,293,33,0.781
