"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",14056,-19,11,-56,91.711,-0.427,94,"5",1,14127,1893,93.336
"2",2,"=","ADELE Someone Like You",12657,137,1252,-201,86.963,0.836,65,"1",2,12657,2614,86.963
"3",3,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",12405,188,720,15,77.641,1.367,104,"6",2,12405,1685,77.641
"4",4,"=","FOSTER THE PEOPLE Pumped Up Kicks",11917,25,592,-74,68.293,0.129,89,"2",3,11917,1356,68.293
"5",5,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",10345,126,1005,30,63.063,0.458,119,"8",5,10345,1097,63.063
"6",6,"=","BAD MEETS EVIL Lighters f/Bruno Mars",8889,-235,-1217,-55,59.785,-0.863,107,"30",2,11835,1599,78.403
"7",7,"=","LMFAO Party Rock Anthem",7683,-58,-385,-21,50.029,-0.439,153,"10",1,14043,1859,94.193
"8",8,"=","LADY GAGA You And I",7638,-9,193,-37,43.858,0.227,63,"9",8,7647,1553,43.894
"9",9,"=","DAVID GUETTA Without You f/Usher",7434,101,509,-49,46.745,0.876,45,"7",9,7434,1586,46.745
"10",10,"=","DEV In The Dark",7104,11,207,-68,48.368,0.306,74,"15",10,7107,1224,48.368
"11",11,"=","BRITNEY SPEARS I Wanna Go",6916,-172,-1184,-32,45.22,-0.777,119,"56",1,12853,1768,82.422
"12",12,"=","PITBULL Give Me Everything f/Ne-Yo",6753,-56,-366,37,44.28,-0.438,153,"34",1,14233,1811,95.596
"13",13,"=","NICKI MINAJ Super Bass",6448,-117,-590,-4,44.413,-0.939,153,"21",3,12009,1188,73.23
"14",14,"=","KATY PERRY Last Friday Night (T.G.I.F.)",6283,-184,-1386,1,35.163,-0.645,136,"47",1,14935,2322,96.531
"15",15,"=","LMFAO Sexy And I Know It",5742,181,1067,73,35.373,0.891,45,"3",15,5742,1530,35.373
"16",16,"+1","JASON DERULO It Girl",5377,84,344,54,26.247,0.202,54,"11",16,5377,1048,26.247
"17",17,"-1","RIHANNA Cheers (Drink To That)",5045,-302,-1880,-35,26.659,-1.361,75,"13",10,8085,1594,43.942
"18",18,"=","KELLY CLARKSON Mr. Know It All",4570,44,314,-33,24.17,0.004,37,"18",18,4570,1093,24.17
"19",19,"=","ALEXANDRA STAN Mr. Saxobeat",4353,-12,169,-106,36.859,0.191,79,"24",19,4367,673,36.859
"20",20,"+1","RIHANNA We Found Love f/Calvin Harris",4341,264,2112,-25,30.216,1.201,16,"4",20,4341,2184,30.216
"21",21,"-1","THE SCRIPT Nothing",4331,25,357,9,20.504,0.096,73,"25",18,4331,722,20.504
"22",22,"=","ANDY GRAMMER Keep Your Head Up",3095,-16,115,-24,12.824,0.033,107,"88",22,3119,355,12.824
"23",23,"=","LIL WAYNE How To Love",2894,-40,-444,-11,18.642,-0.102,128,"23",9,8047,1328,45.275
"24",24,"=","NEW BOYZ Better With The Lights Off",2743,-9,78,-53,10.177,-0.04,67,"32",23,2777,423,10.454
