"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","ALESSIA CARA","Here",17468,37,315,82,104.451,-1.323,189,"19",1,17621,1489,109.076
"2",2,"+1","JUSTIN BIEBER","Sorry",16388,-89,-1029,349,108.848,-1.284,94,"5",1,19494,3902,127.324
"3",3,"-1","SELENA GOMEZ","Same Old Love",16388,-331,-1706,87,100.956,-2.451,131,"18",1,18836,1774,120.08
"4",4,"=","JUSTIN BIEBER","Love Yourself",16249,426,2468,324,114.133,1.692,51,"2",4,16249,4103,114.133
"5",5,"=","THE WEEKND","In The Night",14487,180,636,286,84.329,0.461,73,"29",4,14487,3011,84.329
"6",6,"=","TWENTY ONE PILOTS","Stressed Out",13812,287,1920,66,85.962,1.229,70,"1",6,13812,2702,85.962
"7",7,"=","THE CHAINSMOKERS","Roses f/Rozes",11631,244,825,360,70.531,1.014,119,"6",7,11631,2023,70.531
"8",8,"=","ADELE","Hello",11185,-130,-1382,334,82.415,-1.112,93,"4",1,19167,4705,124.831
"9",9,"+1","DAYA","Hide Away",9372,77,799,129,52.923,0.289,161,"14",9,9372,883,52.923
"10",10,"-1","MEGHAN TRAINOR","Like I'm Gonna Lose You",9037,-333,-2483,110,51.123,-2.37,209,"22",5,13735,1275,83.171
"11",11,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",8040,147,558,211,40.948,0.704,61,"17",11,8040,1989,40.948
"12",12,"+2","ADELE","When We Were Young",7373,200,614,212,36.111,0.47,39,"12",12,7373,1962,36.111
"13",13,"=","DNCE","Cake By The Ocean",7351,152,844,80,38.792,0.692,116,"13",13,7351,1111,38.792
"14",14,"-2","ONE DIRECTION","Perfect",7106,-208,-1137,6,37.188,-1.449,98,"26",10,8635,1211,42.552
"15",15,"=","DEMI LOVATO","Confident",6832,-307,-1656,-125,36.256,-1.812,115,"53",9,9049,1761,48.443
"16",16,"+1","TAYLOR SWIFT","Out Of The Woods",6262,162,1454,-93,38.272,0.692,21,"48",16,6262,2806,38.272
"17",17,"+1","FLO RIDA","My House",6241,284,1314,254,36.082,1.946,97,"3",17,6241,1338,36.082
"18",18,"-2","ELLIE GOULDING","On My Mind",6217,-36,-1426,378,44.287,-0.046,129,"63",4,14332,3457,82.642
"19",19,"=","CHARLIE PUTH","One Call Away",5412,119,537,84,24.22,0.349,76,"8",19,5412,819,24.22
"20",20,"+1","SELENA GOMEZ","Hands To Myself",5363,257,1447,-5,30.671,1.738,21,"7",20,5363,1952,30.671
"21",21,"-1","DRAKE","Hotline Bling",5166,-80,-775,215,32.535,-0.451,132,"25",2,16016,2377,99.499
"22",22,"=","JASON DERULO","Get Ugly",4065,20,435,-49,17.295,0.311,42,"58",22,4065,1110,17.295
"23",23,"=","FALL OUT BOY","Irresistible f/Demi Lovato",4054,12,4,47,16.275,-0.145,88,"52",21,4199,560,17.263
"24",24,"+2","ELLIE GOULDING","Something In The Way You Move",3543,291,1673,54,19.999,1.104,16,"172",24,3543,1673,19.999
"25",25,"-1","TORI KELLY","Hollow",3469,-16,244,-108,12.248,-0.234,77,"128",24,3485,501,12.482
"26",26,"-1","ROBIN SCHULZ","Sugar f/Francesco Yates",3346,80,551,65,18.316,0.412,58,"67",25,3346,551,18.316
"27",27,"=","TRAVI$ SCOTT","Antidote",2869,60,480,9,12.028,-0.088,56,"32",26,2869,545,12.148
"28",28,"+1","G-EAZY","Me Myself And I f/Bebe Rexha",2502,222,1127,99,14.996,1.393,17,"9",28,2502,1127,14.996
"29",29,"-1","RACHEL PLATTEN","Stand By You",2438,119,445,79,12.174,0.682,86,"15",28,2438,445,12.174
"30",30,"=","POST MALONE","White Iverson",2260,-14,-149,47,7.868,-0.014,70,"27",27,2470,451,8.258
"31",31,"=","DAVID GUETTA","Bang My Head f/Sia",2168,68,386,31,11.991,0.304,45,"161",30,2168,386,11.991
"32",32,"=","R. CITY","Make Up f/Chloe Angelides",1840,21,106,44,8.557,-0.022,49,"151",31,1866,348,9.56
