"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","G-EAZY","Me Myself And I f/Bebe Rexha",16118,-122,140,-258,96.672,-0.783,99,"26",1,16250,1836,97.757
"2",2,"=","DNCE","Cake By The Ocean",15286,111,523,62,90.201,0.434,198,"16",2,15286,1185,92.113
"3",3,"=","ZAYN","Pillowtalk",15018,186,1137,49,84.299,1.527,77,"13/93",3,15018,2441,84.299
"4",4,"+1","MIKE POSNER","I Took A Pill In Ibiza",14076,174,1138,31,85.825,0.485,91,"6",4,14076,1578,85.825
"5",5,"-1","JUSTIN BIEBER","Love Yourself",14020,-100,-364,40,96.56,-0.697,133,"20",1,19000,4103,124.28
"6",6,"=","FLO RIDA","My House",13488,-95,-908,96,85.068,-1.519,179,"9",1,18123,2285,104.909
"7",7,"+1","LUKAS GRAHAM","7 Years",12642,318,1851,133,75.166,2.28,89,"2",7,12642,1851,75.166
"8",8,"+1","MEGHAN TRAINOR","NO",12077,69,841,-89,68.406,0.143,42,"3",8,12077,5498,68.406
"9",9,"-2","SELENA GOMEZ","Hands To Myself",11762,-591,-3304,-180,69.24,-2.854,103,"45",1,16291,1952,91.457
"10",10,"=","TWENTY ONE PILOTS","Stressed Out",11681,-248,-1355,-53,80.996,-0.369,152,"19",1,19140,2702,124.646
"11",11,"=","FIFTH HARMONY","Work From Home",10587,110,1043,-64,59.516,0.707,49,"5",11,10587,4059,59.516
"12",12,"=","ZARA LARSSON & MNEK","Never Forget You",9821,103,915,6,57.804,0.881,72,"10",12,9821,1534,57.804
"13",13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8086,118,641,106,42.217,0.536,89,"28",13,8086,1239,42.217
"14",14,"=","ARIANA GRANDE","Dangerous Woman",7832,89,821,-64,42.756,0.969,35,"11",14,7832,4214,42.756
"15",15,"=","RIHANNA","Work f/Drake",7047,-350,-2992,68,43.245,-1.956,79,"15",8,11661,3999,67.246
"16",16,"=","JUSTIN BIEBER","Company",6454,-32,187,-114,30.609,-0.27,47,"90",16,6486,2006,31.446
"17",17,"=","NICK JONAS","Close f/Tove Lo",5959,128,1354,-62,29.179,0.721,21,"22",17,5959,3392,29.179
"18",18,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",5727,274,1809,63,34.978,1.705,33,"7",18,5727,1809,34.978
"19",19,"=","TROYE SIVAN","Youth",5385,24,211,12,21.476,0.186,103,"46",17,5385,660,21.476
"20",20,"=","ALESSIA CARA","Wild Things",4905,6,371,-45,19.229,0.339,75,"58",19,4905,814,19.229
"21",21,"=","JAMES BAY","Let It Go",3622,42,556,-24,18.489,0.482,54,"24",21,3622,885,18.489
"22",22,"+1","JASON DERULO","If It Ain't Love",3501,247,1279,-89,15.699,0.833,14,"151",22,3501,2192,17.198
"23",23,"+1","GWEN STEFANI","Make Me Like You",3242,14,117,-36,10.393,0.009,57,"115",23,3265,1040,10.548
"24",24,"-2","TAYLOR SWIFT","New Romantics",3129,-224,-1878,56,15.605,-1.427,51,"14",17,5862,2558,28.461
"25",25,"=","IGGY AZALEA","Team",2922,29,245,-34,10.644,0.009,26,"56",25,2922,1132,10.644
"26",26,"=","RUTH B.","Lost Boy",2838,69,490,21,12.153,0.516,60,"18",26,2838,490,12.153
"27",27,"=","SHAWN HOOK","Sound Of Your Heart",2254,-250,-886,-246,6.506,-0.7,96,"166",22,3274,576,10.588
"28",28,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",2077,-64,-339,-24,16.523,-0.499,140,"181",13,7836,1193,44.484
"29",29,"+1","RIHANNA","Kiss It Better",1680,117,978,6,7.622,0.515,9,"118",29,1680,978,7.622
"30",30,"+3","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",1678,255,1675,252,13.913,1.235,7,"25",30,1678,1675,13.913
"31",31,"-2","PANIC! AT THE DISCO","Victorious",1639,10,55,2,4.671,0.013,48,"51",29,1641,273,4.676
"32",32,"-1","GRACE","You Don't Own Me f/G-Eazy",1608,66,430,24,6.737,0.242,28,"36",31,1608,430,6.737
"33",33,"+1","FLUME","Never Be Like You f/Kai",1457,52,281,42,7.629,0.164,31,"68",33,1457,284,7.629
"34",34,"+1","MAJOR LAZER","Light It Up f/Nyla",1413,21,157,24,5.34,-0.017,44,"124",32,1413,288,5.389
"35",35,"+1","HAILEE STEINFELD","Rock Bottom f/DNCE",1383,10,57,-5,3.69,0.049,43,"169",32,1387,560,3.738
"36",36,"+1","SIA","Cheap Thrills",1315,33,200,8,5.243,0.004,38,"66",36,1315,234,5.243
"37",37,"-5","NATHAN SYKES","Over And Over Again f/A.Grande",1226,-207,-917,-157,3.952,-0.446,80,"378",27,2248,585,6.953
"38",38,"+2","DRAKE","One Dance f/Wizkid & Kyla",1154,211,909,128,9.258,1.713,5,"1",38,1154,909,9.258
"39",39,"=","HALSEY","Colors",1010,21,124,18,2.684,0.07,40,"262",39,1010,304,2.684
"40",40,"-2","DEMI LOVATO","Stone Cold",990,-95,-301,-124,3.669,-0.629,25,"122",34,1291,688,6.342
"41",41,"=","DAYA","Sit Still, Look Pretty",944,29,179,5,2.857,0.097,19,"180",41,944,242,2.857
"42",42,"=","JEREMIH","Oui",924,33,147,10,2.466,0.11,26,"37",42,924,214,2.466
"43",43,"+1","MELANIE MARTINEZ","Pity Party",869,15,121,3,2.416,-0.011,17,"314",43,869,316,2.427
"44",44,"+1","TWENTY ONE PILOTS","Ride",790,91,319,74,2.773,0.268,5,"61",44,790,319,2.773
"45",45,"-2","NELLY","Die A Happy Man",787,-83,-582,-22,2.756,-0.231,54,"322",31,1530,555,4.651
"46",46,"=","ANDRA DAY","Rise Up",639,-14,-73,-3,1.48,-0.064,33,"130",42,736,124,1.77
"47",47,"=","ELLE KING","America's Sweetheart",610,15,47,18,1.569,0.094,16,"57",47,610,345,1.569
"48",48,"+1","BELLY","Might Not f/The Weeknd",537,19,65,-10,2.127,0.121,4,"100",48,537,246,2.214
"49",49,"+1","TRYON","Somebody To Love Me",527,11,49,7,0.721,-0.027,6,"--",49,527,95,0.748
"50",50,"-2","DILLON FRANCIS & KYGO","Coming Over f/James Hersey",514,-68,-497,-17,1.555,-0.171,40,"1325",35,1201,283,4.369
