"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","CHARLI XCX","Boom Clap",16544,"+178",825,"+200",103.667,"+1.224",85,"13",1,16544,2210,103.667
2,"+1","MAROON 5","Maps",13694,"+195",1145,"+66",74.326,"+1.125",83,"7",2,13694,4866,74.326
3,"-1","SAM SMITH","Stay With Me",13348,"-212",-1880,"-52",81.312,"-1.559",118,"12",1,17277,2202,112.938
4,"=","MEGHAN TRAINOR","All About That Bass",13326,"+381",2676,"+122",78.507,"+2.260",61,"1",4,13326,2676,78.507
5,"=","ARIANA GRANDE","Break Free f/Zedd",11537,"+322",1351,"+230",73.63,"+1.711",64,"6",5,11537,2327,73.63
6,"=","TAYLOR SWIFT","Shake It Off",11395,"+229",1738,"+19",75.521,"+1.358",20,"2",6,11395,9016,75.521
7,"+1","CLEAN BANDIT","Rather Be f/Jess Glynne",11294,"+191",1417,"+130",70.541,"+0.502",101,"9",7,11294,1429,70.541
8,"-1","MAGIC!","Rude",10953,"-203",-2366,"+161",70.951,"-1.832",144,"15",1,17959,2371,118.65
9,"=","IGGY AZALEA","Black Widow f/Rita Ora",10279,"+241",1343,"+166",68.131,"+1.773",70,"5",9,10279,1492,68.131
10,"=","NICO & VINZ","Am I Wrong",9459,"-123",-1393,"+84",61.277,"-1.077",159,"33",1,17731,2409,119.274
11,"=","SIA","Chandelier",9367,"-3",96,"-17",63.133,"+0.214",140,"11",10,9370,1217,63.133
12,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",8726,"+112",391,"+58",65.825,"+0.682",105,"22",12,8726,1299,65.825
13,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",8388,"+126",699,"+101",51.265,"+0.396",40,"3",13,8388,4716,51.265
14,"=","DISCLOSURE","Latch f/Sam Smith",7996,"-260",-2003,"+52",49.368,"-1.086",217,"31",3,15461,1542,91.17
15,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",6644,"-239",-2033,"-65",44.85,"-1.596",105,"39",7,9530,1152,57.524
16,"=","JEREMIH","Don't Tell 'Em f/YG",6200,"+219",1458,"+75",42.914,"+1.491",49,"16",16,6200,1458,42.914
17,"=","ARIANA GRANDE","Problem f/Iggy Azalea",5651,"-111",-1368,"+106",37.453,"-0.479",130,"18",1,17403,2576,116.283
18,"=","ECHOSMITH","Cool Kids",5570,"+123",978,"+22",29.213,"+0.639",91,"14",18,5570,978,29.213
19,"=","TOVE LO","Habits (Stay High)",5274,"+100",918,"-117",29.855,"+0.274",76,"17/91",19,5274,1161,29.855
20,"+1","KIESZA","Hideaway",5254,"+145",361,"+258",31.241,"+0.105",70,"29",17,5254,788,31.241
21,"-1","KATY PERRY","This Is How We Do",5236,"+87",734,"-93",27.063,"+0.858",32,"25",19,5236,1638,27.063
22,"=","ED SHEERAN","Don't",5058,"+171",875,"+39",27.238,"+0.659",56,"23",22,5058,875,27.238
23,"=","5 SECONDS OF SUMMER","Amnesia",4789,"+66",392,"+45",21.532,"+0.463",53,"24",18,4789,912,21.532
24,"=","COLDPLAY","A Sky Full Of Stars",4118,"+167",905,"+56",28.981,"+0.578",70,"26",24,4118,918,28.981
25,"=","INGRID MICHAELSON","Girls Chase Boys",3452,"+83",251,"+104",14.632,"+0.274",91,"54",25,3452,499,14.632
26,"=","TINASHE","2 On f/Schoolboy Q",2833,"+38",103,"+50",14.529,"+0.370",90,"85",26,2833,403,14.907
27,"=","PITBULL","Fireball f/John Ryan",2612,"+71",472,"+1",14.277,"+0.348",35,"19",27,2612,739,14.277
28,"=","NICKI MINAJ","Anaconda",2433,"+32",517,"-87",10.213,"+0.294",33,"4/60",28,2433,974,10.213
29,"=","ONEREPUBLIC","Love Runs Out",2078,"-105",-1053,"+58",11.675,"-0.382",128,"38",9,8849,1336,45.354
30,"=","RITA ORA","I Will Never Let You Down",1849,"-183",-1228,"-34",8.303,"-0.905",105,"105",20,3585,643,15.988
31,"=","JASON DERULO","Trumpets",1658,"+103",693,"-1",7.325,"+0.566",13,"28",31,1658,717,7.325
32,"+1","MR PROBZ","Waves",1633,"+134",504,"+81",11.356,"+0.592",56,"57",32,1633,504,11.356
33,"-1","THE 1975","Girls",1582,"+28",225,"-24",4.505,"+0.095",48,"--",31,1582,385,4.505
34,"=","STEVE AOKI, C. LAKE & TUJAMO","Delirious (Boneless) f/Kid Ink",1359,"+20",169,"-39",7.564,"+0.167",56,"69",33,1359,337,7.57
35,"+1","JAKE MILLER","First Flight Home",1277,"+38",156,"+39",3.454,"+0.072",41,"--",35,1277,212,3.454
36,"-1","BECKY G","Shower",1105,"-216",-1660,"+50",5.278,"-0.755",114,"36",16,5432,853,23.665
37,"=","MKTO","American Dream",1057,"+28",189,"+12",4.204,"+0.206",25,"--",37,1057,259,4.204
38,"=","KIM CESARION","Undressed",1018,"+20",171,"-5",4.059,"+0.082",27,"200",38,1018,217,4.059
39,"+3","LIL JON","Bend Ova f/Tyga",919,"+100",237,"+100",3.596,"+0.607",22,"175",39,919,272,3.596
40,"-1","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",908,"-62",-707,"+78",4.417,"-0.157",52,"78",26,2686,1589,13.043
41,"-1","RIXTON","Wait On Me",890,"-12",150,"-17",2.585,"-0.046",16,"--",40,902,352,2.631
42,"+1","BEBE REXHA","Can't Stop Drinking About You",859,"+78",189,"+64",2.621,"+0.479",16,"--",42,859,292,2.621
43,"-2","CHILDISH GAMBINO","V. 3005",830,"+6",161,"-29",5.66,"-0.143",31,"--",41,830,190,5.803
44,"=","MARY LAMBERT","Secrets",779,"+11",187,"-25",3.069,"+0.027",8,"107",44,779,260,3.069
45,"=","G.R.L.","Ugly Heart",700,"+5",56,"+14",2.36,"+0.088",62,"112",42,704,134,2.36
46,"+1","DAVID GUETTA","Lovers On The Sun f/Sam Martin",620,"+78",88,"+125",2.594,"+0.308",20,"156",46,620,134,2.594
47,"-1","FIFTH HARMONY","BO$$",549,"-54",-392,"+0",1.741,"-0.141",49,"75",35,1145,398,3.859
48,"--","HILARY DUFF","All About You",504,"--",412,"--",0.998,"--",1,"--",48,504,412,0.998
49,"-1","JESSE MCCARTNEY","Superbad",502,"+13",24,"+19",1.296,"+0.090",15,"--",48,502,66,1.508
50,"-1","USHER","She Came To Give It To You",470,"-16",-95,"+3",1.921,"-0.118",40,"98",39,995,498,3.003
