"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MAGIC!","Rude",17894,52,59,-33,116.466,0.143,107,"5",1,17955,2371,118.65
2,"=","NICO & VINZ","Am I Wrong",16926,-159,-569,-113,110.924,-0.365,122,"16",1,17731,2409,119.274
3,"=","SAM SMITH","Stay With Me",15853,253,1507,-53,103.134,1.49,81,"6",3,15853,2202,103.134
4,"=","DISCLOSURE","Latch f/Sam Smith",14428,138,932,-109,87.554,0.64,180,"19",4,14428,1542,87.554
5,"=","ARIANA GRANDE","Problem f/Iggy Azalea",13537,-272,-1896,-31,87.108,-1.413,93,"10",1,17403,2576,116.283
6,"+1","MAROON 5","Maps",10132,78,654,-51,55.916,0.502,46,"4",6,10132,4866,55.916
7,"-1","CALVIN HARRIS","Summer",10006,-362,-2300,17,61.728,-1.653,133,"32",3,14953,1917,95.785
8,"+1","CHARLI XCX","Boom Clap",9927,295,1312,26,59.658,2.392,48,"9",8,9927,1942,59.658
9,"-1","IGGY AZALEA","Fancy f/Charlie XCX",9687,-204,-1133,-73,72.206,-1.936,133,"18/42",1,17156,2440,116.166
10,"=","ONEREPUBLIC","Love Runs Out",8829,-20,279,-99,45.06,-0.268,91,"20",9,8849,1336,45.354
11,"=","DEMI LOVATO","Really Don't Care f/Cher Lloyd",8752,104,690,-51,49.828,0.653,68,"39",10,8752,1152,49.828
12,"=","ARIANA GRANDE","Break Free f/Zedd",7044,219,1147,-9,42.481,0.984,27,"12",12,7044,2327,42.481
13,"=","PHARRELL WILLIAMS","Come Get It Bae",6784,12,210,-33,28.629,-0.122,70,"47",12,6784,993,29
14,"=","SIA","Chandelier",6573,187,826,80,39.765,0.848,103,"8",13,6573,1217,39.765
15,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",6301,170,697,47,40.976,1.125,64,"14",14,6301,1347,40.976
16,"=","IGGY AZALEA","Black Widow f/Rita Ora",5220,221,1097,93,30.706,1.381,33,"15",16,5220,1396,30.706
17,"=","BECKY G","Shower",5073,74,497,41,22.519,0.537,77,"13",16,5073,853,22.519
18,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",5037,166,1139,38,47.099,1.226,68,"22",18,5037,1139,47.099
19,"=","TIESTO","Wasted",3564,-143,-243,-128,15.774,-0.939,80,"48",19,3825,775,19.749
20,"=","KONGOS","Come With Me Now",3315,-247,-1398,-81,14.055,-0.955,105,"25",14,5298,652,21.39
21,"=","KIESZA","Hideaway",3079,61,640,-21,22.115,0.32,33,"56",21,3079,714,22.115
22,"+1","RITA ORA","I Will Never Let You Down",3061,74,252,61,13.839,0.277,68,"109",22,3061,643,13.839
23,"-1","AFROJACK","Ten Feet Tall f/Wrabel",2767,-221,-891,-113,10.918,-0.789,124,"135",19,3920,633,17.363
24,"+3","MEGHAN TRAINOR","All About That Bass",2317,202,958,66,11.479,0.942,24,"2",24,2317,958,11.479
25,"+9","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",2281,512,2281,512,20.751,3.608,3,"1",25,2281,2281,20.751
26,"-2","AJR","I'm Ready",2220,-109,-268,-79,6.972,-0.259,112,"36",24,2537,461,8.111
27,"-1","FLORIDA-GEORGIA LINE","This Is How We Roll f/J.Derulo",2183,59,248,6,11.23,0.281,15,"62",26,2183,1589,11.23
28,"-3","JASON DERULO","Wiggle f/Snoop Dogg",2125,-80,-1257,277,9.049,-0.299,84,"31",10,7555,1666,36.719
29,"-1","ED SHEERAN","Don't",2106,97,644,-26,9.826,0.452,19,"54",28,2106,795,9.826
30,"=","5 SECONDS OF SUMMER","Amnesia",2076,94,672,-55,8.57,0.568,16,"44",29,2076,912,8.57
31,"-2","ECHOSMITH","Cool Kids",2042,39,298,-28,9.989,0.408,54,"24",27,2042,377,9.989
32,"-1","INGRID MICHAELSON","Girls Chase Boys",1975,63,300,18,8.71,0.192,54,"41",28,1975,420,8.71
33,"-1","TINASHE","2 On f/Schoolboy Q",1927,45,379,-12,10.15,0.206,53,"61",32,1927,391,10.15
34,"-1","MADDEN BROTHERS","We Are Done",1821,45,114,14,5.742,-0.048,49,"--",31,1821,424,6.009
35,"=","COLDPLAY","A Sky Full Of Stars",1504,52,318,40,7.726,0.363,33,"38",35,1504,318,7.726
36,"+1","TOVE LO","Habits (Stay High)",1349,16,165,-18,5.789,0.229,39,"81",36,1349,231,5.789
37,"-1","TREY SONGZ","Na Na",1332,-79,-667,26,10.29,-0.6,119,"84",27,2847,394,18.704
38,"=","ED SHEERAN","Sing",1264,-27,-276,24,6.028,-0.099,115,"71",6,10622,2778,57.807
39,"=","LORDE","Tennis Court",1112,-113,-1162,105,5.57,-0.481,94,"116",22,3658,590,16.188
40,"=","KATY PERRY","Birthday",1087,-32,-528,78,5.113,-0.143,117,"128",7,9576,2209,52.775
41,"=","STEVE AOKI, C. LAKE & TUJAMO","Delirious (Boneless) f/Kid Ink",1036,37,251,4,6.836,0.211,19,"85",40,1036,337,6.836
42,"+1","JEREMIH","Don't Tell 'Em f/YG",991,70,425,18,9.306,0.86,12,"29",42,991,425,9.306
43,"-1","FIFTH HARMONY","BO$$",947,19,234,-34,3.092,0.05,12,"70",41,947,398,3.092
44,"=","CHROMEO","Jealous (I Ain't With It)",811,-24,-52,-28,1.826,-0.087,61,"--",40,922,182,3.368
45,"=","CAPITAL CITIES","One Minute More",780,-14,3,-22,1.895,-0.077,40,"--",42,804,180,2.058
46,"=","USHER","She Came To Give It To You",763,53,442,6,2.735,-0.104,5,"--",46,763,442,2.839
47,"=","THE 1975","Girls",670,43,136,10,1.582,0.074,11,"--",45,670,353,1.582
48,"+2","JAKE MILLER","First Flight Home",573,36,211,10,1.867,0.073,4,"--",48,573,212,1.867
49,"-1","MR PROBZ","Waves",558,5,20,-3,2.805,0.059,19,"119",46,558,116,3.029
50,"-1","G.R.L.","Ugly Heart",542,-2,37,4,1.468,-0.022,25,"--",45,544,134,1.757
