"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",14039,"+31",569,"-29",92.381,"+0.340",87,"2",1,14039,1893,92.381
"2",2,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",11680,"+168",1549,"-136",70.371,"+1.209",97,"7",2,11680,1685,70.371
"3",3,"+1","ADELE Someone Like You",11399,"+332",2614,"+33",78.901,"+1.806",58,"1",3,11399,2614,78.901
"4",4,"-1","FOSTER THE PEOPLE Pumped Up Kicks",11322,"+96",1244,"-112",65.296,"+0.354",82,"3",3,11322,1356,65.296
"5",5,"=","BAD MEETS EVIL Lighters f/Bruno Mars",10100,"-186",-881,"-89",62.167,"-0.663",100,"23",2,11835,1599,78.403
"6",6,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",9338,"+94",952,"-21",60.153,"+0.821",112,"11",6,9338,1017,60.153
"7",7,"=","BRITNEY SPEARS I Wanna Go",8097,"-143",-1338,"+108",51.914,"-1.236",112,"41",1,12853,1768,82.422
"8",8,"=","LMFAO Party Rock Anthem",8065,"-40",-247,"+48",52.601,"-0.151",146,"9",1,14043,1859,94.193
"9",9,"=","KATY PERRY Last Friday Night (T.G.I.F.)",7667,"-187",-940,"+23",41.996,"-1.610",129,"39",1,14935,2322,96.531
"10",10,"=","LADY GAGA You And I",7445,"+28",238,"-45",43.183,"+0.362",56,"12",10,7445,1553,43.183
"11",11,"=","PITBULL Give Me Everything f/Ne-Yo",7116,"-96",-264,"-35",47.462,"-0.883",146,"30",1,14233,1811,95.596
"12",12,"+1","NICKI MINAJ Super Bass",7037,"-114",-1341,"+128",49.198,"-0.429",146,"27",3,12009,1188,73.23
"13",13,"+2","DAVID GUETTA Without You f/Usher",6924,"+149",1408,"-40",42.831,"+0.501",38,"8",13,6924,1586,42.831
"14",14,"-2","RIHANNA Cheers (Drink To That)",6924,"-268",-1014,"-275",33.512,"-1.391",68,"10",10,8085,1594,43.942
"15",15,"-1","DEV In The Dark",6893,"+75",732,"+11",46.486,"+0.804",67,"14",14,6893,1224,46.486
"16",16,"=","JASON DERULO It Girl",5032,"+29",525,"-68",24.759,"+0.319",47,"13",16,5032,1048,24.759
"17",17,"=","LMFAO Sexy And I Know It",4674,"+107",1422,"-108",28.595,"+1.002",38,"4",17,4674,1530,28.595
