"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","RIHANNA We Found Love f/Calvin Harris",14122,"+7",56,"-19",94.855,"-0.005",81,"1",1,14122,2184,94.869
"2",2,"=","LMFAO Sexy And I Know It",11813,"-2",-161,"+24",73.673,"-0.342",110,"2",2,12000,1530,74.768
"3",3,"=","BRUNO MARS It Will Rain",11734,"+228",1937,"-25",68.251,"+0.988",73,"4",3,11734,2024,68.251
"4",4,"+1","KATY PERRY The One That Got Away",11394,"+108",1165,"-65",71.203,"+0.770",69,"5",4,11394,1631,71.203
"5",5,"-1","DAVID GUETTA Without You f/Usher",11240,"-144",-1341,"+62",67.104,"-0.475",110,"18",1,13428,1586,84.476
"6",6,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",9491,"-117",-1164,"+70",63.276,"-0.595",169,"22",1,13951,1685,86.013
"7",7,"=","FLO RIDA Good Feeling",9471,"+74",615,"-14",62.077,"+0.381",81,"3",7,9471,1207,62.077
"8",8,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",7610,"-112",-1084,"+21",49.517,"-0.188",159,"13",1,14127,1893,93.336
"9",9,"=","ADELE Someone Like You",7187,"-101",-927,"-37",54.254,"-0.227",130,"9",2,13563,2614,91.686
"10",10,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",6562,"-95",-1054,"+69",42.51,"-0.532",184,"42",4,11548,1097,70.438
"11",11,"=","KELLY CLARKSON Mr. Know It All",6369,"-39",1,"-74",33.796,"-0.162",102,"47",11,6408,1093,34.137
"12",12,"=","SELENA GOMEZ & THE SCENE Love You Like A...",6330,"+84",972,"-76",32.962,"+0.692",114,"34",12,6330,1048,32.962
"13",13,"=","T-PAIN 5 O'clock f/Wiz Khalifa",6212,"+66",639,"+2",33.297,"+0.019",68,"10",12,6212,1264,33.297
"14",14,"=","LADY GAGA Marry The Night",5183,"+63",446,"-17",28.44,"+0.072",36,"39",14,5183,1570,28.44
"15",15,"=","DEV In The Dark",4492,"-78",-397,"+27",35.565,"-0.640",139,"90",8,8037,1224,51.486
"16",16,"=","GAVIN DEGRAW Not Over You",4481,"+50",420,"-44",20.771,"+0.055",112,"24",16,4481,545,20.771
"17",17,"=","JESSIE J Domino",4146,"+115",458,"+59",23.603,"+0.633",90,"28",17,4146,600,23.603
"18",18,"=","DRAKE Headlines",4076,"+73",424,"+10",27.394,"+0.324",60,"26",17,4076,754,27.394
"19",19,"=","RIHANNA You Da One",3832,"-4",80,"-32",21.664,"-0.214",34,"23",19,3836,3394,36.963
"20",20,"=","J. COLE Workout",3615,"+84",548,"+5",27.202,"+0.042",52,"19",20,3615,631,27.202
"21",21,"=","BREATHE CAROLINA Blackout",3359,"+38",384,"-5",18.452,"+0.187",112,"48",21,3359,498,18.452
"22",22,"+3","ADELE Set Fire To The Rain",3210,"+221",1203,"+83",20.06,"+0.948",20,"7",22,3210,1203,20.06
"23",23,"=","JASON DERULO It Girl",3145,"-98",-799,"+61",13.86,"-0.407",119,"52",10,6647,1048,29.647
"24",24,"-2","NICKI MINAJ Fly f/Rihanna",3090,"-222",-1506,"-73",16.71,"-1.239",88,"64",15,4998,987,27.303
"25",25,"-1","HOT CHELLE RAE I Like It Like That f/New...",3067,"+24",209,"-61",13.725,"+0.162",76,"36",24,3067,407,13.725
"26",26,"=","JAY Z & KANYE WEST N***** In Paris",3012,"+156",785,"+128",19.54,"+1.398",39,"6",25,3012,785,19.54
"27",27,"=","LADY ANTEBELLUM Just A Kiss",2488,"-58",-245,"-44",11.945,"-0.345",85,"45",23,2755,525,13.059
"28",28,"=","FRAY Heartbeat",2412,"+25",46,"+41",11.778,"+0.015",49,"67",27,2412,677,12.101
"29",29,"=","OUTASIGHT Tonight Is The Night",2382,"+18",212,"-1",12.476,"-0.029",44,"51",29,2382,500,12.701
"30",30,"=","PITBULL F/CHRIS BROWN International Love",2006,"+54",331,"+38",16.087,"+0.594",42,"25",30,2006,418,16.087
"31",31,"=","AVRIL LAVIGNE Wish You Were Here",1856,"+11",126,"-19",7.153,"+0.074",39,"84",31,1856,503,7.153
"32",32,"=","ALEXANDRA STAN Mr. Saxobeat",1790,"-44",-291,"-50",16.639,"-0.266",144,"138",18,4585,673,38.816
"33",33,"+1","GYM CLASS HEROES Ass Back Home",1392,"+45",301,"-16",10.347,"+0.408",21,"232",33,1392,385,10.347
"34",34,"-1","LADY GAGA You And I",1359,"-66",-732,"+33",6.46,"-0.250",128,"65",7,7824,1553,44.474
"35",35,"=","TIMBALAND Pass At Me f/Pitbull",1095,"-27",-24,"-49",7.051,"-0.011",32,"223",35,1142,319,7.395
"36",36,"=","KARMIN Crash Your Party",1052,"-13",-5,"-45",4.766,"-0.069",32,"441",36,1073,234,5.128
"37",37,"=","WE THE KINGS Say You Like Me",1029,"+5",45,"+3",2.55,"+0.025",87,"676",37,1029,320,2.55
"38",38,"+1","BIG TIME RUSH Music Sounds Better With U",957,"+23",142,"-6",3.244,"+0.111",18,"--",38,957,221,3.244
"39",39,"-1","TAIO CRUZ Hangover f/Flo Rida",940,"-26",-92,"-27",3.258,"-0.006",48,"278",35,1035,194,3.767
"40",40,"=","JOJO Disaster",902,"+4",100,"-10",1.979,"+0.054",32,"922",40,902,197,1.979
"41",41,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",882,"+32",162,"+10",4.304,"+0.217",21,"12",41,882,194,4.304
"42",42,"=","COLBIE CAILLAT Brighter Than The Sun",817,"+13",6,"+1",2.334,"+0.095",39,"97",41,832,119,2.334
"43",43,"=","WILL.I.AM T.H.E (The Hardest Ever)",707,"+48",329,"+20",1.808,"+0.106",7,"91",43,707,329,1.808
"44",44,"+2","DAVID GUETTA Turn Me On f/Nicki Minaj",684,"+83",462,"+30",4.704,"+0.567",4,"77",44,684,462,4.704
"45",45,"-1","COLDPLAY Princess Of China",644,"+24",52,"+26",3.313,"+0.104",19,"203",43,644,149,3.487
"46",46,"-1","BIG SEAN Dance (A$$)",633,"+20",116,"+13",3.567,"+0.302",11,"17",44,633,139,3.567
"47",47,"=","DAUGHTRY Crawling Back To You",581,"+19",28,"+28",1.914,"+0.085",48,"399",46,581,134,1.914
"48",48,"=","THE CAB Bad",541,"-16",-60,"+1",1.134,"-0.021",58,"797",45,655,106,1.379
"49",49,"=","FREESOL Fascinated",361,"-9",-23,"-14",0.529,"-0.003",8,"--",49,383,96,0.612
"50",50,"--","AVICII Levels (ID)",335,"--",-13,"--",0.902,"--",1,"--",50,335,0,0.902
