"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KATY PERRY","Roar",16278,"-46",585,"-409",113.29,"-0.066",46,"2",1,16324,6098,113.356
"2",2,"+1","LANA DEL REY","Summertime Sadnes...",13123,"+106",786,"-62",87.142,"+0.013",85,"22/39",2,13123,1923,87.142
"3",3,"-1","CAPITAL CITIES","Safe And Sound",12892,"-128",-683,"-102",81.393,"-0.851",158,"21",2,13601,1309,86.941
"4",4,"=","AVICII","Wake Me Up",12370,"+265",1522,"-45",85.784,"+2.335",61,"4",4,12370,2103,85.784
"5",5,"=","LORDE","Royals",10622,"+316",1796,"-48",72.044,"+2.248",45,"1",5,10622,2237,72.044
"6",6,"=","JAY Z","Holy Grail f/Just...",10148,"+162",1039,"-1",69.494,"+1.833",84,"10",6,10148,2095,69.494
"7",7,"=","LADY GAGA","Applause",9563,"+137",1013,"-80",68.584,"+0.755",45,"7",7,9563,3922,68.584
"8",8,"=","MACKLEMORE & RYAN...","Same Love f/Mary ...",8895,"-206",-1581,"-18",51.736,"-1.712",125,"48",5,11178,1815,71.324
"9",9,"=","ROBIN THICKE","Blurred Lines f/P...",8494,"-304",-2235,"+57",51.945,"-1.674",140,"13",1,16771,2544,113.5
"10",10,"=","ZEDD","Clarity f/Foxes",8328,"-301",-2550,"+96",55.608,"-1.433",193,"49",2,14188,1183,92.157
"11",11,"=","CALVIN HARRIS F/E...","I Need Your Love",7996,"-285",-2080,"-98",47.282,"-1.655",174,"112",5,10846,1386,72.137
"12",12,"=","DRAKE","Hold On We're Goi...",7584,"+167",1330,"-21",49.692,"+1.655",46,"14",12,7584,1610,49.692
"13",13,"+1","PARAMORE","Still Into You",6095,"+106",668,"-6",37.705,"+0.047",140,"35",13,6095,711,37.705
"14",14,"-1","MAROON 5","Love Somebody",5966,"-322",-2031,"-36",40.197,"-2.702",134,"93",2,13931,1278,87.913
"15",15,"=","MILEY CYRUS","Wrecking Ball",5540,"+394",2954,"+35",41.295,"+2.286",15,"3",15,5540,2954,41.295
"16",16,"=","ROBIN THICKE","Give It 2 U f/Ken...",4989,"+217",616,"+124",28.447,"+0.461",53,"55",16,4989,1340,28.447
"17",17,"=","SELENA GOMEZ","Slow Down",4849,"+79",654,"-38",28.093,"+0.161",39,"59",17,4849,1167,28.093
"18",18,"=","TAYLOR SWIFT","Everything Has .....",4664,"+49",114,"+18",23.812,"+0.005",74,"60",16,4664,990,24.085
"19",19,"+1","BRUNO MARS","Gorilla",4566,"+216",1816,"-29",28.969,"+1.121",17,"43",19,4566,1872,28.969
"20",20,"-1","MILEY CYRUS","We Can't Stop",4162,"-327",-2587,"-7",23.098,"-1.295",113,"18",9,9405,1276,55.184
"21",21,"=","PHILLIP PHILLIPS","Gone, Gone, Gone",4052,"-117",-298,"-98",21.639,"-0.379",121,"56",19,4407,462,24.14
"22",22,"=","EMINEM","Berzerk",3854,"+29",321,"-74",19.538,"-0.296",30,"8",22,3854,1757,19.834
"23",23,"+1","AWOLNATION","Sail",3422,"+89",530,"+61",15.971,"+0.357",126,"19",23,3422,530,15.971
"24",24,"-1","BRUNO MARS","Treasure",3266,"-83",-1139,"+148",20.173,"+0.060",138,"94",5,11434,2114,69.467
"25",25,"+2","BRITNEY SPEARS","Work Bitch",3255,"+179",1074,"-172",23.05,"+1.112",11,"29",25,3489,3487,29.745
"26",26,"-1","TEGAN & SARA","Closer",3171,"+23",384,"-39",17.64,"+0.142",102,"164",25,3171,570,17.64
"27",27,"+1","BONNIE MCKEE","American Girl",2997,"-67",-76,"-65",12.573,"-0.353",81,"81",23,3167,740,15.059
"28",28,"-2","ONE DIRECTION","Best Song Ever",2959,"-151",-1768,"+45",12.236,"-0.976",68,"52",16,5307,1660,25.473
"29",29,"=","PINK","True Love f/Lily ...",2748,"+49",297,"+20",11.99,"+0.174",67,"107",28,2748,503,11.99
"30",30,"=","NEIGHBOURHOOD","Sweater Weather",2007,"+23",112,"+21",7.4,"+0.001",89,"58",30,2007,262,7.4
"31",31,"=","FIFTH HARMONY","Miss Movin' On",1998,"+35",173,"+26",8.745,"-0.063",79,"145",31,1998,324,8.808
"32",32,"=","KREWELLA","Live For The Nigh...",1861,"-5",26,"-24",7.81,"+0.048",66,"157",31,1869,288,7.836
"33",33,"=","IMAGINE DRAGONS","Demons",1654,"+76",659,"-27",10.803,"+0.495",25,"34",33,1654,686,10.803
"34",34,"=","ARMIN VAN BUUREN","This Is What It F...",1492,"+3",-27,"-8",12.987,"+0.026",63,"132",33,1550,249,13.184
"35",35,"=","JASON DERULO","Marry Me",1476,"+116",625,"+22",8.018,"+0.799",12,"106",35,1476,633,8.018
"36",36,"=","J. COLE","Crooked Smile f/T...",1254,"+47",292,"+3",4.51,"+0.225",38,"138",36,1254,292,4.51
