"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",13653,"-68",-349,"-16",92.016,"+0.417",47,1,14295,2273,96.15
"2",2,"=","PITBULL Give Me Everything f/Ne-Yo",13303,"+37",461,"-174",91.742,"+0.498",47,2,13306,1811,91.742
"3",3,"=","LADY GAGA The Edge Of Glory",10519,"+44",974,"-103",61.316,"-0.503",47,3,10519,2193,62.253
"4",4,"+1","KATY PERRY E.T.",9845,"-3",-746,"+125",73.429,"-0.233",47,1,14624,0,96.745
"5",5,"-1","BRUNO MARS Lazy Song",9756,"-209",-1306,"-168",46.718,"-1.448",47,3,11422,1054,61.587
"6",6,"=","BLACK EYED PEAS Just Can't Get Enough",9511,"-105",-969,"+8",64.752,"-0.251",47,2,13366,715,84.474
"7",7,"=","LMFAO Party Rock Anthem",9502,"+202",1787,"+4",65.91,"+1.354",47,7,9502,1859,65.91
"8",8,"=","LUPE FIASCO The Show Goes On",8378,"-30",293,"-155",52.222,"-0.438",47,8,8408,1043,52.66
"9",9,"+2","KATY PERRY Last Friday Night (T.G.I.F.)",6962,"+295",1752,"+87",44.698,"+1.705",30,9,6962,2124,44.698
"10",10,"-1","BRITNEY SPEARS Till The World Ends",6949,"-304",-1504,"-113",44.552,"-1.890",47,3,11896,966,75.819
"11",11,"-1","JASON DERULO Don't Wanna Go Home",6709,"+24",528,"-86",36.469,"-0.013",45,10,6709,1463,37.039
"12",12,"=","HOT CHELLE RAE Tonight Tonight",6065,"+18",746,"-92",30.932,"+0.050",47,12,6065,838,30.932
"13",13,"+1","NICKI MINAJ Super Bass",5887,"+141",971,"-55",35.81,"+0.800",47,13,5887,1188,35.81
"14",14,"+1","ONEREPUBLIC Good Life",5709,"+97",597,"+35",30.817,"+0.570",47,14,5709,604,30.817
"15",15,"-2","JENNIFER LOPEZ F/PITBULL On The Floor",5528,"-258",-1920,"-115",38.428,"-0.857",47,5,10169,668,65.118
"16",16,"=","WIZ KHALIFA Roll Up",4722,"-21",-321,"-21",22.702,"-0.481",47,14,5043,725,26.478
"17",17,"=","SELENA GOMEZ & THE SCENE Who Says",4388,"-13",-171,"-77",23.602,"-0.454",47,17,4559,707,27.282
