"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","DAVID GUETTA Without You f/Usher",13201,94,784,56,80.479,1.193,87,"7",1,13201,1586,80.479
2,"+1","RIHANNA We Found Love f/Calvin Harris",12590,202,1361,-76,87.655,0.803,58,"1",2,12590,2184,87.655
3,"-1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",12441,-169,-432,-105,79.381,-0.63,146,"10",1,13951,1685,86.013
4,"=","ADELE Someone Like You",10726,-243,-1121,-54,69.8,-0.907,107,"6",2,13563,2614,91.686
5,"+1","LMFAO Sexy And I Know It",10657,96,258,40,69.571,0.841,87,"2",5,10657,1530,69.571
6,"-1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",10421,-163,-860,-123,71.755,-1.553,136,"9",1,14127,1893,93.336
7,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",10255,-169,-1037,-179,61.185,-0.602,161,"23",4,11548,1097,70.438
8,"=","BRUNO MARS It Will Rain",7583,173,1115,39,42.805,0.882,50,"3",8,7583,1337,42.805
9,"=","KATY PERRY The One That Got Away",7500,150,896,45,46.369,1.086,46,"4",9,7500,1631,46.369
10,"+1","FLO RIDA Good Feeling",6886,140,1017,-22,44.957,1.145,58,"5",10,6886,1207,44.957
11,"-1","DEV In The Dark",6603,-170,-1158,-166,45.981,-0.903,116,"54",8,8037,1224,51.486
12,"=","JASON DERULO It Girl",6591,-13,28,-7,29.647,0.069,96,"25",10,6647,1048,29.647
13,"=","FOSTER THE PEOPLE Pumped Up Kicks",6412,-137,-951,37,37.875,-0.602,131,"13",3,12112,1356,70.246
14,"=","KELLY CLARKSON Mr. Know It All",6005,60,301,52,32.619,0.552,79,"17",13,6005,1093,32.619
15,"=","LMFAO Party Rock Anthem",5071,-52,-139,9,33.273,-0.489,195,"12",1,14043,1859,94.193
16,"=","NICKI MINAJ Fly f/Rihanna",4940,31,196,51,26.798,0.04,65,"28",16,4940,987,26.798
17,"=","T-PAIN 5 O'clock f/Wiz Khalifa",4470,145,1251,19,25.503,0.862,45,"15",17,4470,1251,25.503
18,"=","SELENA GOMEZ & THE SCENE Love You Like A...",4093,82,503,-7,19.944,0.268,91,"46",17,4093,636,19.944
19,"=","BAD MEETS EVIL Lighters f/Bruno Mars",3324,-93,-604,45,21.941,-0.386,149,"132",2,11835,1599,78.403
20,"+1","GAVIN DEGRAW Not Over You",2934,41,224,-19,14.227,0.077,89,"32",20,2934,532,14.227
