"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Set Fire To The Rain",13290,"+36",675,"-71",86.923,"+0.813",81,"4",1,13290,2301,86.923
"2",2,"=","FLO RIDA Good Feeling",12437,"-141",-713,"-155",78.324,"-1.165",142,"25",1,13154,1657,85.747
"3",3,"=","JESSIE J Domino",10833,"+164",707,"+74",64.532,"+0.526",151,"37",3,10833,1524,64.532
"4",4,"+1","RIHANNA We Found Love f/Calvin Harris",10106,"-89",-615,"+31",69.046,"-1.135",142,"16",1,14238,2184,95.593
"5",5,"-1","KATY PERRY The One That Got Away",9896,"-345",-1276,"-28",54.139,"-2.120",130,"75",1,13402,1631,80.623
"6",6,"+1","DAVID GUETTA Turn Me On f/Nicki Minaj",9404,"+108",783,"-117",55.812,"+0.457",65,"13",6,9404,1674,55.812
"7",7,"-1","BRUNO MARS It Will Rain",9191,"-344",-1718,"-157",51.044,"-1.270",134,"14",1,13635,2024,86.477
"8",8,"+1","PITBULL F/CHRIS BROWN International Love",7648,"+157",1086,"+45",49.242,"+1.271",103,"36",8,7648,1086,49.242
"9",9,"+1","KELLY CLARKSON Stronger (What Doesn't Ki...",7644,"+321",1843,"+39",53.284,"+1.942",37,"7",9,7644,1947,53.284
"10",10,"-2","SELENA GOMEZ & THE SCENE Love You Like A...",7515,"-185",-1009,"-35",40.682,"-0.892",175,"59",6,9154,1208,48.131
"11",11,"=","GYM CLASS HEROES Ass Back Home",6984,"+64",492,"-48",43.459,"+0.525",82,"29",11,6984,1379,43.459
"12",12,"=","GAVIN DEGRAW Not Over You",6878,"-5",299,"-85",36.86,"-0.282",173,"48",10,6884,547,37.142
"13",13,"=","LMFAO Sexy And I Know It",6205,"-126",-701,"-42",36.414,"-0.907",171,"12",2,12000,1530,74.768
"14",14,"+1","WANTED Glad You Came",5464,"+145",910,"+8",32.097,"+1.031",37,"31",14,5464,1330,32.097
"15",15,"-1","DAVID GUETTA Without You f/Usher",5252,"-85",-691,"+122",36.113,"-0.566",171,"91",1,13428,1586,84.476
"16",16,"=","HOT CHELLE RAE I Like It Like That f/New...",5029,"-22",-150,"-6",21.685,"-0.612",137,"58",15,5237,639,24.246
"17",17,"=","BREATHE CAROLINA Blackout",4602,"+1",-22,"-23",22.924,"-0.078",173,"82",17,4661,498,24.36
"18",18,"+2","OUTASIGHT Tonight Is The Night",4461,"+121",492,"+146",23.418,"+0.605",105,"84",18,4461,506,23.418
"19",19,"-1","JAY Z & KANYE WEST N***** In Paris",4450,"-123",-705,"-143",30.152,"-1.355",100,"41",15,5155,785,36.602
"20",20,"+1","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",4388,"+72",549,"-22",27.637,"-0.138",82,"22",20,4388,643,27.875
"21",21,"-2","J. COLE Workout",4272,"-262",-1231,"-174",26.092,"-0.894",113,"70",12,5803,659,35.209
"22",22,"=","DRAKE Take Care f/Rihanna",3693,"+165",1115,"+45",28.483,"+0.484",38,"43",22,3693,1115,28.483
"23",23,"=","LMFAO Sorry For Party Rocking",3469,"+152",943,"+111",16.004,"+0.508",35,"117",23,3469,943,16.004
"24",24,"=","FRAY Heartbeat",2839,"-137",-430,"-138",11.206,"-0.672",110,"45",22,3331,677,14.271
"25",25,"=","MADONNA Give Me All Your Luvin'",2792,"+84",-708,"-210",16.347,"+0.023",10,"20",20,4569,4569,39.788
"26",26,"=","BIG SEAN Dance (A$$)",1891,"-34",-141,"-50",12.103,"-0.462",72,"83",26,2066,366,15.151
"27",27,"+2","TRAIN Drive By",1865,"+60",353,"-5",7.708,"+0.252",30,"62",27,1865,500,7.708
"28",28,"=","JOJO Disaster",1825,"+17",112,"-13",7.022,"+0.213",93,"491",28,1827,318,7.022
"29",29,"-2","RIHANNA You Da One",1656,"-208",-1286,"+34",11.514,"-0.819",95,"97",17,4573,3394,36.963
"30",30,"=","BIG TIME RUSH Music Sounds Better With U",1518,"-130",-565,"-138",5.023,"-0.452",79,"1004",26,2083,409,7.699
"31",31,"=","COLDPLAY Princess Of China",1501,"+17",167,"-16",7.205,"+0.152",80,"35",31,1501,303,7.205
"32",32,"=","WE THE KINGS Say You Like Me",1466,"+10",78,"-8",4.38,"+0.047",148,"401",31,1466,320,4.38
"33",33,"=","CHRIS BROWN Turn Up The Music",1454,"+141",761,"+66",10.187,"+0.654",13,"23",33,1454,761,10.187
"34",34,"=","AVICII Levels (ID)",1211,"+38",217,"+33",9.067,"+0.041",40,"120",34,1211,260,9.067
"35",35,"+1","COBRA STARSHIP Middle Finger f/Mac Mille...",1184,"+21",59,"+30",4.915,"+0.056",52,"263",34,1184,195,4.915
"36",36,"+1","FOSTER THE PEOPLE Don't Stop (Color On T...",1160,"+18",115,"+11",3.977,"-0.026",33,"121",36,1160,295,4.003
"37",37,"--","KATY PERRY Part Of Me",1122,"--",1122,"--",11.039,"--",1,"3",37,1122,1122,11.039
"38",38,"-3","DRAKE Headlines",1107,"-63",-361,"-31",8.089,"-0.342",121,"130",16,4778,754,30.781
"39",39,"-1","COLBIE CAILLAT Brighter Than The Sun",1091,"-1",-1,"-22",3.804,"+0.003",100,"115",34,1094,157,3.855
"40",40,"-1","CHRISTINA PERRI A Thousand Years",1022,"+4",93,"-5",4.391,"-0.034",40,"34",39,1022,187,4.425
"41",41,"-1","DEV & ENRIQUE IGLESIAS Naked",983,"+21",160,"+7",3.222,"-0.019",24,"816",40,983,318,3.241
"42",42,"+1","JASON DERULO Breathing",909,"+64",421,"+18",3.064,"+0.208",10,"551",42,909,421,3.064
"43",43,"-1","TYGA Rack City",908,"+22",257,"-9",8.843,"+0.416",18,"15",42,908,287,8.843
"44",44,"-3","WILL.I.AM T.H.E (The Hardest Ever)",849,"-54",-546,"+0",2.834,"-0.152",68,"320",30,1534,355,5.769
"45",45,"-1","FLO RIDA Wild Ones f/Sia",846,"+77",366,"+56",11.121,"+0.765",10,"56",44,846,366,11.121
"46",46,"-1","CALVIN HARRIS Feel So Close",768,"+120",473,"+77",9.415,"+0.652",5,"270",45,768,473,9.415
"47",47,"-1","RIHANNA Talk That Talk f/Jay Z",596,"+24",236,"+12",3.659,"-0.131",7,"144",46,596,236,3.888
"48",48,"=","HAVANA BROWN We Run The Night f/Pitbull",523,"+27",237,"+6",3.991,"+0.240",2,"608",48,523,237,3.991
"49",49,"-2","CHIDDY BANG Ray Charles",512,"+11",104,"-13",1.241,"-0.053",9,"--",46,512,150,1.311
"50",50,"-1","CHILDISH GAMBINO Heartbeat",505,"+13",78,"+15",1.858,"+0.010",23,"255",44,505,88,2.366
