"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","G-EAZY","Me Myself And I f/Bebe Rexha",16240,47,398,36,97.455,-0.08,98,"27",1,16250,1836,97.757
"2",2,"=","DNCE","Cake By The Ocean",15175,128,461,57,89.767,0.166,197,"17",2,15175,1185,92.113
"3",3,"=","ZAYN","Pillowtalk",14832,153,1088,21,82.772,1.099,76,"13",3,14832,2441,83.181
"4",4,"=","JUSTIN BIEBER","Love Yourself",14120,-59,-404,27,97.257,-0.295,132,"20",1,19000,4103,124.28
"5",5,"+1","MIKE POSNER","I Took A Pill In Ibiza",13902,227,1107,191,85.34,0.944,90,"7",5,13902,1578,85.34
"6",6,"-1","FLO RIDA","My House",13583,-142,-1004,6,86.587,-1.358,178,"11",1,18123,2285,104.909
"7",7,"=","SELENA GOMEZ","Hands To Myself",12353,-725,-3124,-439,72.094,-3.706,102,"46",1,16291,1952,91.457
"8",8,"+1","LUKAS GRAHAM","7 Years",12324,281,1718,133,72.886,2.203,88,"2",8,12324,1718,72.886
"9",9,"+1","MEGHAN TRAINOR","NO",12008,179,930,54,68.263,0.449,41,"3",9,12008,5498,68.263
"10",10,"-2","TWENTY ONE PILOTS","Stressed Out",11929,-306,-1302,-165,81.365,-0.912,151,"21",1,19140,2702,124.646
"11",11,"=","FIFTH HARMONY","Work From Home",10477,138,1107,-129,58.809,1.075,48,"6",11,10477,4059,58.809
"12",12,"=","ZARA LARSSON & MNEK","Never Forget You",9718,20,909,-143,56.923,0.494,71,"9",12,9718,1534,56.923
"13",13,"+1","DJ SNAKE","Middle f/Bipolar Sunshine",7968,92,535,31,41.681,0.258,88,"28",13,7968,1239,41.681
"14",14,"+1","ARIANA GRANDE","Dangerous Woman",7743,191,885,113,41.787,1.133,34,"10",14,7743,4214,41.787
"15",15,"-2","RIHANNA","Work f/Drake",7397,-489,-3060,-109,45.201,-2.097,78,"15",8,11661,3999,67.246
"16",16,"=","JUSTIN BIEBER","Company",6486,49,301,-9,30.879,0.007,46,"93",16,6486,2006,31.446
"17",17,"=","NICK JONAS","Close f/Tove Lo",5831,101,1416,-168,28.458,0.598,20,"22",17,5831,3392,28.458
"18",18,"+1","THE CHAINSMOKERS","Don't Let Me Down f/Daya",5453,311,1746,126,33.273,1.483,32,"8",18,5453,1746,33.273
"19",19,"-1","TROYE SIVAN","Youth",5361,-12,199,-74,21.29,0.333,102,"49",17,5373,660,21.29
"20",20,"=","ALESSIA CARA","Wild Things",4899,34,416,-25,18.89,0.348,74,"62",19,4899,814,18.89
"21",21,"+1","JAMES BAY","Let It Go",3580,87,580,-3,18.007,0.339,53,"24",21,3580,885,18.007
"22",22,"-1","TAYLOR SWIFT","New Romantics",3353,-290,-1934,-54,17.032,-1.454,50,"12",17,5862,2558,28.461
"23",23,"+1","JASON DERULO","If It Ain't Love",3254,259,1368,-46,14.866,0.762,13,"165",23,3254,2192,17.198
"24",24,"-1","GWEN STEFANI","Make Me Like You",3228,-37,153,-55,10.384,-0.164,56,"125",23,3265,1040,10.548
"25",25,"=","IGGY AZALEA","Team",2893,0,279,-81,10.635,0.272,25,"56",25,2893,1132,10.635
"26",26,"+1","RUTH B.","Lost Boy",2769,92,469,54,11.637,0.419,59,"18",26,2769,469,11.637
"27",27,"-1","SHAWN HOOK","Sound Of Your Heart",2504,-184,-640,-148,7.206,-0.609,95,"162",22,3274,576,10.588
