"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","TAYLOR SWIFT","Shake It Off",16679,"-205",-632,"-191",102.911,"-1.938",71,"1",1,17531,9016,110.142
2,"=","IGGY AZALEA","Black Widow f/Rita Ora",15775,"-350",-1746,"-326",103.154,"-2.086",121,"32",1,17547,2437,115.226
3,"=","JESSIE J/A. GRANDE/N. MINAJ","Bang Bang",15620,"-16",186,"-42",93.894,"+0.097",91,"14",3,15699,4716,94.236
4,"=","MEGHAN TRAINOR","All About That Bass",14893,"-165",-915,"-13",101.61,"-1.271",112,"3",1,17875,3030,116.17
5,"=","TOVE LO","Habits (Stay High)",13150,"+324",1386,"+199",88.985,"+1.524",127,"13",5,13150,1460,88.985
6,"=","JEREMIH","Don't Tell 'Em f/YG",12541,"-35",7,"-121",72.007,"-0.248",100,"35",5,12620,1458,74.757
7,"=","ED SHEERAN","Don't",10696,"+96",529,"-20",66.453,"+0.596",107,"29",7,10696,1458,66.453
8,"=","MAROON 5","Animals",9376,"+311",1681,"+114",62.874,"+2.826",35,"7",8,9376,2460,62.874
9,"=","CALVIN HARRIS","Blame f/John Newman",8859,"+135",614,"+46",54.945,"+0.894",50,"38",8,8859,1988,54.945
10,"=","ECHOSMITH","Cool Kids",8177,"-112",-213,"-102",42.94,"-0.471",142,"20",8,8425,978,46.431
11,"=","NICK JONAS","Jealous",7272,"+77",635,"+32",38.7,"+0.305",47,"23",11,7272,1846,38.7
12,"+1","MR PROBZ","Waves",7196,"+164",806,"+121",52.413,"+1.331",107,"31",12,7196,1001,52.413
13,"-1","JASON DERULO","Trumpets",7168,"+91",669,"+18",37.438,"+0.511",64,"12",12,7168,1238,37.438
14,"=","ARIANA GRANDE","Break Free f/Zedd",6239,"-217",-1787,"+242",49.825,"-1.641",115,"54",4,14321,2327,87.942
15,"=","CHARLI XCX","Boom Clap",5860,"-145",-808,"-46",38.628,"-0.849",136,"75",1,16743,2210,108.049
16,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",5846,"-26",-239,"+31",54.6,"+0.138",152,"25",6,11598,1590,74.965
17,"=","PITBULL","Fireball f/John Ryan",5432,"-26",31,"-67",25.352,"-0.302",86,"17",17,5516,739,26.223
18,"=","SAM SMITH","I'm Not The Only One",5236,"+63",983,"-42",25.31,"+0.446",33,"15",18,5236,1424,25.31
19,"=","5 SECONDS OF SUMMER","Amnesia",4764,"-258",-1042,"-247",21.66,"-1.384",104,"53",14,5943,912,27.287
20,"=","ONE DIRECTION","Steal My Girl",4595,"+101",341,"-22",17.701,"+0.329",29,"18",20,4595,2502,17.701
21,"=","ARIANA GRANDE & THE WEEKND","Love Me Harder",4281,"+265",1335,"+93",26.866,"+0.970",21,"47",21,4281,1751,26.866
22,"=","MAROON 5","Maps",3526,"-33",-365,"+13",23.728,"-0.049",134,"62",2,14278,4866,79.434
23,"+1","FERGIE","L.A.LOVE (la la)",3455,"+82",525,"+2",14.328,"+0.245",25,"51",23,3455,1105,14.328
24,"-1","NICO & VINZ","In Your Arms",3442,"-56",51,"-98",16.279,"-0.208",34,"72",23,3498,1121,16.487
25,"+1","ALESSO","Heroes",3134,"+41",200,"+20",17.884,"+0.019",50,"65",25,3134,589,18.13
26,"-1","COLDPLAY","A Sky Full Of Stars",3013,"-214",-1929,"+176",20.253,"-0.742",121,"66",12,6757,946,41.834
27,"=","MARY LAMBERT","Secrets",2940,"-2",270,"-95",12.68,"-0.105",59,"91",27,2942,817,12.871
28,"+1","FALL OUT BOY","Centuries",2273,"+51",298,"+15",12.665,"+0.235",41,"16",28,2273,556,12.665
29,"+1","KENDRICK LAMAR","i",2054,"+11",142,"-47",12.392,"-0.082",30,"79",29,2054,591,13.612
30,"+1","KIM CESARION","Undressed",2013,"-12",2,"-30",6.779,"-0.058",78,"136",29,2078,260,7.093
31,"+3","DAVID GUETTA","Dangerous f/Sam Martin",1944,"+9",159,"-77",11.094,"+0.016",22,"77",31,1944,1540,16.342
32,"+3","CHARLI XCX","Break The Rules",1939,"+33",206,"-11",7.092,"+0.263",27,"222",32,1939,609,7.092
33,"-5","GWEN STEFANI","Baby Don't Lie",1849,"-808",681,"-1970",10.731,"-10.067",8,"46",28,2657,2651,20.798
34,"-1","TINASHE","2 On f/Schoolboy Q",1839,"-102",-700,"+95",11.739,"-0.247",141,"126",20,3927,419,21.823
35,"+3","IGGY AZALEA","Beg For It f/MØ",1763,"+204",1763,"+204",18.224,"+1.744",4,"27",35,1763,1763,18.224
36,"-4","NICKI MINAJ","Anaconda",1725,"-234",-1701,"-76",9.679,"-0.894",84,"63",21,4506,974,22.917
37,"-1","BEBE REXHA","Can't Stop Drinking About You",1647,"+6",62,"-16",5.21,"+0.013",67,"135",35,1669,292,5.352
38,"+1","HOZIER","Take Me To Church",1638,"+82",402,"-11",5.478,"+0.284",15,"5",38,1638,674,5.478
39,"-2","RIXTON","Wait On Me",1566,"-43",-69,"-43",5.353,"-0.137",67,"266",32,1650,352,5.49
40,"=","MEGHAN TRAINOR","Lips Are Movin",1507,"+205",1008,"+135",6.913,"+0.846",8,"44",40,1507,1008,6.913
41,"+1","CHRIS BROWN","New Flame f/Usher & Rick Ross",1126,"+27",167,"-7",5.006,"+0.135",21,"85",41,1126,255,5.006
42,"-1","ELLA HENDERSON","Ghost",1110,"+7",85,"-20",3.274,"-0.003",47,"58",40,1110,172,3.277
43,"=","HILARY DUFF","All About You",1051,"-8",-65,"-3",2.06,"-0.024",52,"514",39,1177,454,2.842
44,"=","JESSIE J","Burnin' Up f/2 Chainz",835,"+35",339,"-23",6.441,"+0.355",8,"122",44,835,468,6.441
45,"=","COBRA STARSHIP","Never Been In Love f/Icona Pop",775,"+6",1,"+4",2.388,"+0.076",40,"525",43,792,140,2.388
46,"+1","TREY SONGZ","Touchin, Lovin f/Nicki Minaj",692,"+6",68,"-9",3.578,"+0.037",13,"107",46,692,142,3.621
47,"-1","BEA MILLER","Young Blood",687,"+1",79,"-26",1.464,"+0.002",11,"305",46,690,173,1.539
48,"=","JACOB LATIMORE","Heartbreak Heard Around The...",627,"-11",8,"-8",2.692,"+0.000",21,"--",45,649,146,2.885
49,"+1","MILKY CHANCE","Stolen Dance",581,"+15",107,"-13",2.371,"+0.087",3,"45",49,581,161,2.371
50,"--","VANCE JOY","Riptide",578,"--",119,"--",2.387,"--",2,"50",50,578,123,2.387
