"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"+1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",13758,"+263",457,"+276",85.17,"+1.278",121,"9",1,13758,1685,85.17
"2",2,"-1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",13601,"+31",-300,"+50",91.85,"+0.275",111,"7",1,14127,1893,93.336
"3",3,"=","ADELE Someone Like You",13563,"+184",107,"+147",90.828,"+0.918",82,"3",2,13563,2614,91.686
"4",4,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",11249,"+96",192,"+29",70.438,"+0.182",136,"16",4,11249,1097,70.438
"5",5,"=","FOSTER THE PEOPLE Pumped Up Kicks",11165,"+74",-486,"+230",63.788,"-0.119",106,"5",3,12112,1356,70.246
"6",6,"=","DAVID GUETTA Without You f/Usher",10560,"+297",1125,"+149",63.96,"+2.221",62,"6",6,10560,1586,63.96
"7",7,"=","LMFAO Sexy And I Know It",8444,"+275",1194,"+103",55.183,"+1.275",62,"2",7,8444,1530,55.183
"8",8,"=","DEV In The Dark",7856,"+123",174,"+93",49.931,"-0.065",91,"22",8,7856,1224,50.748
"9",9,"=","LADY GAGA You And I",7668,"-48",-156,"-49",40.193,"-0.752",80,"21",7,7824,1553,44.474
"10",10,"=","RIHANNA We Found Love f/Calvin Harris",7498,"+270",1095,"+148",52.104,"+2.459",33,"1",10,7498,2184,52.104
"11",11,"=","LMFAO Party Rock Anthem",6716,"+85",-283,"+181",44.487,"+0.128",170,"12",1,14043,1859,94.193
"12",12,"=","JASON DERULO It Girl",6100,"+171",333,"+150",28.028,"+0.374",71,"18",12,6100,1048,28.028
"13",13,"=","PITBULL Give Me Everything f/Ne-Yo",5898,"+5",-154,"+39",40.194,"-0.110",170,"43",1,14233,1811,95.596
"14",14,"=","BAD MEETS EVIL Lighters f/Bruno Mars",5751,"-81",-833,"+24",36.414,"-0.504",124,"62",2,11835,1599,78.403
"15",15,"=","NICKI MINAJ Super Bass",5465,"+50",-278,"+119",36.483,"+0.378",170,"32",3,12009,1188,73.23
"16",16,"=","KELLY CLARKSON Mr. Know It All",5307,"+147",420,"+97",26.141,"+0.381",54,"8",16,5307,1093,26.141
"17",17,"=","BRITNEY SPEARS I Wanna Go",4539,"-20",-588,"+101",30.445,"-0.304",136,"100",1,12853,1768,82.422
"18",18,"=","ALEXANDRA STAN Mr. Saxobeat",4499,"+132",-49,"+143",36.742,"-0.027",96,"60",18,4585,673,38.816
"19",19,"=","BRUNO MARS It Will Rain",4226,"+189",1156,"-10",23.617,"+1.063",25,"17",19,4226,1337,23.617
"20",20,"+1","KATY PERRY The One That Got Away",3966,"+229",1280,"+29",26.328,"+2.089",21,"33",20,3966,1631,26.328
"21",21,"+1","NICKI MINAJ Fly f/Rihanna",3646,"+253",911,"+176",19.56,"+1.166",40,"27",21,3646,911,19.56
"22",22,"-2","THE SCRIPT Nothing",3518,"-225",-741,"-167",17.566,"-0.794",90,"44",18,4360,722,20.667
"23",23,"+2","FLO RIDA Good Feeling",3294,"+266",1066,"+142",18.931,"+1.567",33,"10",23,3294,1066,18.931
"24",24,"-1","ANDY GRAMMER Keep Your Head Up",3156,"-33",-31,"-35",13.584,"-0.270",124,"102",21,3215,355,13.959
"25",25,"-1","BRITNEY SPEARS Criminal",3140,"+93",526,"+35",15.432,"+0.583",37,"56",24,3140,669,15.432
"26",26,"=","SELENA GOMEZ & THE SCENE Love You Like A...",2597,"+53",344,"+26",12.556,"+0.178",66,"38",26,2597,366,12.556
"27",27,"=","LIL WAYNE How To Love",2362,"+85",-145,"+105",15.405,"-0.043",145,"40",9,8047,1328,45.275
"28",28,"+1","GAVIN DEGRAW Not Over You",1716,"+54",257,"+40",8.146,"+0.180",64,"35",28,1716,310,8.146
