"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ELLIE GOULDING","Lights",13071,-130,-902,-111,99.45,-0.275,193,"15",1,13999,1482,101.262
"2",2,"=","KATY PERRY","Wide Awake",13057,-111,-672,-72,89.76,-0.681,91,"14",1,14124,2824,100.029
"3",3,"=","DAVID GUETTA","Titanium f/Sia",11225,-43,396,-132,76.071,-0.981,135,"18",3,11268,1091,79.723
"4",4,"=","DEMI LOVATO","Give Your Heart A Br...",10375,172,1247,22,71.978,0.883,174,"25",4,10375,1250,71.978
"5",5,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",9380,-4,120,-73,59.339,-0.454,115,"31",5,9398,1254,61.384
"6",6,"=","MAROON 5","Payphone f/Wiz Khali...",9208,-140,-829,43,67.834,-1.318,127,"28",1,14353,3415,107.136
"7",7,"=","FLO RIDA","Whistle",8986,149,933,-14,61.688,1.001,77,"2",7,8986,1412,61.688
"8",8,"+1","PINK","Blow Me (One Last Ki...",8615,146,646,48,56.629,1.059,48,"16",8,8615,2737,56.629
"9",9,"-1","RIHANNA","Where Have You Been",8494,-215,-1818,-3,68.079,-1.095,128,"39",2,12963,1884,95.69
"10",10,"=","CHER LLOYD","Want U Back",7866,91,464,33,45.084,-0.076,101,"6",10,7866,1103,45.16
"11",11,"=","NEON TREES","Everybody Talks",7413,215,1522,-64,47.549,1.659,134,"10",11,7413,1632,47.549
"12",12,"=","OWL CITY & CARLY RAE...","Good Time",6899,70,424,36,44.484,0.726,56,"7",12,6899,1961,44.484
"13",13,"=","USHER","Scream",5951,-115,-1999,264,44.003,-1.304,117,"37",6,9627,2323,68.266
"14",14,"=","JUSTIN BIEBER","As Long As You Love ...",5934,158,1263,35,39.076,0.312,47,"5",14,5934,1263,39.076
"15",15,"=","MAROON 5","One More Night",5400,199,1133,100,34.137,1.804,34,"4",15,5400,1236,34.137
"16",16,"+1","TAYLOR SWIFT","We Are Never Ever Ge...",4863,363,4592,92,40.646,2.71,7,"1",16,4863,4592,40.646
"17",17,"+1","FUN.","Some Nights",4597,97,1035,-62,28.797,0.922,72,"3",17,4597,1097,28.797
"18",18,"-2","THE WANTED","Chasing The Sun",4581,-52,-83,-135,26.215,0.106,109,"46",16,4729,656,26.67
"19",19,"=","NO DOUBT","Settle Down",4243,45,306,22,23.111,-0.158,34,"60",19,4243,1467,23.29
