"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"+1","CARLY RAE JEPSEN Call Me Maybe",13889,"+217",1504,"-63",106.759,"+0.999",91,"1",1,13889,1711,106.759
"2",2,"-1","GOTYE Somebody That I Used To Know",13796,"-75",-121,"-119",103.968,"-0.420",101,"2",1,14242,2018,106.819
"3",3,"+1","MAROON 5 Payphone f/Wiz Khalifa",11906,"+129",1142,"-175",86.259,"+0.542",55,"3",3,11906,3415,86.259
"4",4,"-1","ONE DIRECTION What Makes You Beautiful",11808,"+26",102,"-115",80.109,"+0.682",102,"7",3,11838,1579,80.109
"5",5,"=","NICKI MINAJ Starships",10971,"-107",-734,"-107",80.01,"-1.232",117,"20/39",3,12071,1834,87.938
"6",6,"=","FUN. We Are Young f/Janelle Monae",10318,"-349",-1534,"-249",75.583,"-1.634",109,"--",1,14439,2738,110.772
"7",7,"=","FLO RIDA Wild Ones f/Sia",8888,"-152",-909,"+104",71.255,"-1.347",127,"10",2,12595,1940,93.589
"8",8,"=","WANTED Glad You Came",7876,"-37",-672,"-19",60.64,"-0.645",154,"28",1,13712,1363,101.962
"9",9,"=","RIHANNA Where Have You Been",7841,"+170",983,"+95",61.938,"+1.122",56,"6",9,7841,1884,61.938
"10",10,"=","JUSTIN BIEBER Boyfriend",7625,"-7",363,"-111",50.47,"+0.353",76,"9",9,7937,4726,51.492
"11",11,"=","USHER Scream",7514,"-17",349,"-97",51.774,"+0.369",45,"14",9,7531,2323,51.774
"12",12,"=","KARMIN Broken Hearted",7308,"+35",298,"-111",46.394,"-0.482",112,"17",10,7308,936,47.276
"13",13,"=","ELLIE GOULDING Lights",6418,"+48",545,"-114",43.399,"+0.357",121,"13",13,6418,786,43.399
"14",14,"=","PITBULL Back In Time",5776,"+72",252,"-17",36.687,"+0.514",73,"5",14,5776,925,36.687
"15",15,"+1","KATY PERRY Wide Awake",5707,"+185",1725,"-288",42.107,"+1.722",19,"4",15,5707,2824,42.107
"16",16,"-1","TRAIN Drive By",5536,"-88",-463,"-64",32.981,"-0.419",147,"21",13,6123,601,36.311
"17",17,"=","DAVID GUETTA Titanium f/Sia",5492,"+81",814,"-82",37.61,"+0.758",63,"15",16,5492,987,37.61
"18",18,"=","GYM CLASS HEROES Fighter f/Ryan Tedder",5098,"+20",553,"-145",32.618,"+0.596",41,"25",18,5098,1441,32.618
"19",19,"=","KATY PERRY Part Of Me",4819,"-67",-616,"-3",34.759,"-0.550",118,"50",3,12039,3625,78.553
"20",20,"+1","CALVIN HARRIS Feel So Close",3750,"-118",-650,"-58",25.964,"-0.697",122,"42",7,8145,1329,55.352
"21",21,"+1","DEMI LOVATO Give Your Heart A Break",3738,"+17",134,"-25",25.916,"-0.108",102,"31",21,3738,665,26.024
"22",22,"-2","ADELE Rumour Has It",3730,"-176",-1132,"-48",25.993,"-0.918",98,"43",8,8497,1514,56.313
"23",23,"+1","CALVIN HARRIS Let's Go f/Ne-Yo",2996,"+85",639,"-65",22.727,"+0.533",43,"60",23,2996,836,22.727
"24",24,"+2","ONE DIRECTION One Thing",2965,"+114",778,"-61",16.267,"+0.630",35,"40",24,2965,975,16.267
"25",25,"=","HAVANA BROWN We Run The Night f/Pitbull",2917,"+39",154,"+25",22.644,"+0.441",119,"38",24,2917,278,22.644
"26",26,"-3","DRAKE Take Care f/Rihanna",2912,"-37",-325,"-23",24.172,"-0.708",155,"104",8,7620,1220,60.618
