"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5","One More Night",14588,"-143",-764,"-112",114.897,"-0.841",121,"7",1,15401,1593,119.954
"2",2,"=","FUN.","Some Nights",13078,"-85",-108,"-102",91.979,"-1.168",159,"10",2,13297,1295,93.147
"3",3,"=","KE$HA","Die Young",12532,"+320",2102,"+111",92.194,"+3.577",52,"5",3,12532,3842,92.194
"4",4,"=","TAYLOR SWIFT","We Are Never Ever Ge...",11795,"-397",-1352,"-225",79.018,"-3.295",94,"13",2,13523,4592,90.881
"5",5,"=","ALEX CLARE","Too Close",11766,"-44",-14,"-151",71.908,"-0.789",171,"25",4,11973,1328,81.998
"6",6,"=","NE-YO","Let Me Love You",10640,"+164",1182,"-30",87.352,"+0.764",99,"17",6,10640,1345,87.352
"7",7,"=","CHRIS BROWN","Don't Wake Me Up",10320,"-24",-32,"+6",75.215,"+0.178",152,"39",6,10385,1456,75.301
"8",8,"+1","RIHANNA","Diamonds",9675,"+139",788,"+41",76.932,"+0.907",51,"1",8,9675,2812,76.932
"9",9,"-1","JUSTIN BIEBER","As Long As You Love ...",9360,"-289",-2342,"+47",70.406,"-2.210",134,"40",2,13498,1300,100.233
"10",10,"=","BRUNO MARS","Locked Out Of Heaven",8920,"+184",1087,"+6",67.482,"+1.876",46,"2",10,8920,2790,67.482
"11",11,"+1","FLO RIDA","I Cry",6783,"+98",970,"-47",52.193,"+0.853",62,"8",11,6783,1268,52.193
"12",12,"-1","PINK","Blow Me (One Last Ki...",6573,"-146",-952,"-5",51.212,"-1.383",135,"52",1,12762,2737,90.315
"13",13,"=","ENRIQUE IGLESIAS","Finally Found You f/...",6203,"-249",-801,"-187",39.687,"-1.609",79,"64",12,7155,1803,47.652
"14",14,"+1","PHILLIP PHILLIPS","Home",5987,"+143",1033,"+14",42.38,"+0.623",128,"9",14,5987,1033,42.38
"15",15,"-1","OWL CITY & CARLY RAE...","Good Time",5730,"-150",-1310,"+35",42.781,"-1.142",143,"47",4,10627,1961,71.832
"16",16,"=","PSY","Gangnam Style",4997,"-308",-1834,"-66",34.429,"-2.296",68,"3",10,7746,1695,59.817
