"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ROBIN THICKE","Blurred Lines f/P...",16437,"-4",-258,"+6",111.798,"+0.191",102,"2/99",1,16771,2544,113.5
"2",2,"=","MAROON 5","Love Somebody",13608,"+127",838,"+115",86.706,"+0.298",96,"28",2,13608,1278,86.892
"3",3,"+1","ZEDD","Clarity f/Foxes",13370,"-25",387,"-17",89.763,"-0.339",155,"18",3,13395,1183,90.102
"4",4,"-1","IMAGINE DRAGONS","Radioactive",13275,"-129",-699,"-86",86.263,"-0.412",128,"8",2,14606,2069,92.777
"5",5,"=","BRUNO MARS","Treasure",10799,"-173",-475,"-130",61.085,"-1.550",100,"19/60",5,11434,2114,69.467
"6",6,"=","CALVIN HARRIS F/E...","I Need Your Love",10239,"+45",93,"-54",67.459,"-0.519",136,"33",6,10239,1386,72.137
"7",7,"=","MACKLEMORE & RYAN...","Same Love f/Mary ...",10188,"+158",482,"+118",68.602,"+0.431",87,"12",7,10188,1815,68.602
"8",8,"=","CAPITAL CITIES","Safe And Sound",9567,"+114",830,"+45",63.777,"+1.624",120,"10",8,9567,1083,63.777
"9",9,"=","ANNA KENDRICK","Cups (Pitch Perfe...",9458,"+74",241,"+28",58.479,"+0.366",144,"14",9,9458,992,59.103
"10",10,"=","JASON DERULO","The Other Side",8973,"-257",-1873,"-107",51.281,"-1.294",122,"43",5,11323,2399,66.105
"11",11,"+1","MILEY CYRUS","We Can't Stop",8615,"+18",229,"-41",49.093,"+0.156",75,"6",11,8615,1276,49.093
"12",12,"-1","DAFT PUNK","Get Lucky",8244,"-481",-2873,"-206",56.456,"-1.618",119,"15",2,14968,2173,99.686
"13",13,"=","LANA DEL REY","Summertime Sadnes...",7121,"+262",1813,"+44",48.336,"+1.421",47,"17/27",13,7121,1813,48.336
"14",14,"=","JUSTIN TIMBERLAKE","Take Back The Nig...",6734,"+31",208,"+33",38.198,"-0.150",38,"57",13,6734,3722,40.113
"15",15,"=","KATY PERRY","Roar",6252,"-323",4413,"-1609",47.774,"-5.496",8,"1",15,6575,6098,53.27
"16",16,"+1","JAY Z","Holy Grail f/Just...",4930,"+74",827,"-22",31.252,"+0.512",46,"4",16,4930,2095,31.252
"17",17,"+2","ONE DIRECTION","Best Song Ever",4446,"+73",388,"-40",20.574,"+0.745",30,"16",17,4446,1660,20.574
"18",18,"=","SELENA GOMEZ","Come & Get It",4349,"-46",-685,"+27",28.287,"-0.265",132,"37",1,14547,2034,86.045
"19",19,"+1","PHILLIP PHILLIPS","Gone, Gone, Gone",3969,"+36",320,"+13",22.215,"+0.370",83,"23",19,3969,462,22.215
"20",20,"+5","LADY GAGA","Applause",3922,"+541",3922,"+541",34.077,"+3.948",7,"7",20,3922,3922,34.077
"21",21,"=","PARAMORE","Still Into You",3724,"+10",201,"-58",18.614,"+0.059",102,"21",21,3724,711,18.614
"22",22,"=","ENRIQUE IGLESIAS","Turn The Night Up",3671,"+130",640,"-3",19.995,"+0.428",28,"53",22,3671,2260,24.628
"23",23,"+4","AVICII","Wake Me Up",3484,"+206",1457,"+0",26.925,"+2.025",23,"5",23,3484,1457,26.925
"24",24,"+4","TAYLOR SWIFT","Everything Has .....",3332,"+93",347,"+72",19.352,"+0.553",36,"64",24,3332,990,19.352
