"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL Give Me Everything f/Ne-Yo",14039,-8,408,-91,94.658,0.199,59,1,14047,1811,94.658
"2",2,"=","ADELE Rolling In The Deep",12539,-102,-560,3,86.023,-0.725,59,1,14295,2273,96.15
"3",3,"=","LMFAO Party Rock Anthem",11954,169,1416,11,78.104,0.785,59,3,11954,1859,78.104
"4",4,"=","LADY GAGA The Edge Of Glory",11491,67,394,-10,66.764,0.16,59,3,11491,2193,66.764
"5",5,"=","KATY PERRY Last Friday Night (T.G.I.F.)",10543,367,2053,130,66.82,1.501,42,5,10543,2124,66.82
"6",6,"=","LUPE FIASCO The Show Goes On",8825,37,152,21,51.225,0.314,59,6,8825,1043,53.459
"7",7,"=","BLACK EYED PEAS Just Can't Get Enough",7746,-102,-758,90,57.027,-0.318,59,2,13366,715,84.474
"8",8,"=","KATY PERRY E.T.",7703,-140,-1208,62,54.917,-0.442,59,1,14624,0,96.745
"9",9,"=","NICKI MINAJ Super Bass",7438,114,827,-12,46.574,1.251,59,9,7438,1188,46.574
"10",10,"+1","JASON DERULO Don't Wanna Go Home",7176,18,280,-32,37.179,0.255,57,10,7176,1463,37.179
"11",11,"+1","ONEREPUBLIC Good Life",7096,91,762,4,41.248,0.179,59,11,7096,898,41.248
"12",12,"-2","BRUNO MARS Lazy Song",7027,-138,-1237,98,34.785,-0.489,59,3,11422,1054,61.587
"13",13,"=","HOT CHELLE RAE Tonight Tonight",6832,79,502,64,36.04,0.525,59,12,6832,838,36.04
"14",14,"=","BRITNEY SPEARS Till The World Ends",5752,-122,-472,-42,38.396,-0.334,59,3,11896,966,75.819
"15",15,"=","BRITNEY SPEARS I Wanna Go",4940,155,1190,-66,33.574,0.908,25,15,4940,1768,33.574
"16",16,"=","JENNIFER LOPEZ F/PITBULL On The Floor",4573,-19,-262,99,31.815,-0.404,59,5,10169,668,65.118
"17",17,"=","NICOLE SCHERZINGER Right There",4085,56,304,23,20.558,0.303,43,17,4085,720,20.558
"18",18,"=","THE BAND PERRY If I Die Young",3720,66,425,1,19.102,0.359,59,18,3720,655,19.102
"19",19,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3702,77,364,4,18.285,0.663,59,19,3702,525,18.285
