"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","JOHN LEGEND","All Of Me",16637,"+15",-333,"+111",113.979,"+0.098",104,"4",1,17233,2520,121.78
"2",2,"+1","JUSTIN TIMBERLAKE","Not A Bad Thing",14618,"+172",839,"-122",95.023,"+0.958",79,"22",2,14618,2024,95.023
"3",3,"-1","JASON DERULO","Talk Dirty f/2 Chainz",14383,"-122",-912,"-22",91.664,"-1.584",135,"48/61",1,16827,2775,114.964
"4",4,"=","AMERICAN AUTHORS","Best Day Of My Life",11501,"-65",-303,"-89",58.188,"-0.344",155,"35",4,11803,1116,61.737
"5",5,"=","PARAMORE","Ain't It Fun",11217,"+157",1122,"-80",68.933,"+1.108",94,"16",5,11217,1853,68.933
"6",6,"=","KATY PERRY","Dark Horse",10358,"-257",-1428,"-175",75.986,"-1.996",172,"26",1,17515,2780,123.167
"7",7,"=","PHARRELL WILLIAMS","Happy",10137,"-370",-2122,"-121",61.943,"-2.313",115,"7",1,17173,2414,120.293
"8",8,"=","ED SHEERAN","Sing",9470,"+35",733,"-164",55.37,"+0.144",35,"20",8,9470,2778,55.37
"9",9,"=","RIXTON","Me And My Broken Heart",9037,"+189",1110,"+76",47.857,"+0.920",72,"14",9,9037,1397,47.857
"10",10,"=","NAUGHTY BOY","La La La f/Sam Smith",8593,"+148",625,"+129",44.161,"+1.007",121,"30",10,8593,984,44.161
"11",11,"=","DJ SNAKE & LIL JON","Turn Down For What",8543,"+203",1198,"-13",54.555,"+1.248",114,"9",11,8543,1435,54.555
"12",12,"=","IGGY AZALEA","Fancy f/Charlie XCX",8531,"+344",2239,"+105",57.715,"+2.101",53,"2",12,8531,2440,57.715
"13",13,"=","KATY PERRY","Birthday",7041,"+128",1168,"-59",42.671,"+0.711",37,"55",13,7041,2209,42.671
"14",14,"=","PITBULL","Wild Wild Love f/GRL",6441,"-30",29,"-137",34.215,"-0.197",72,"29",13,6471,1068,37.119
"15",15,"=","CALVIN HARRIS","Summer",6288,"+217",1357,"+70",49.039,"+1.010",53,"15",15,6288,1521,49.039
"16",16,"=","MKTO","Classic",6072,"+9",290,"-62",29.439,"-0.026",163,"23",16,6072,682,29.465
"17",17,"=","TIESTO","Red Lights",6025,"+48",211,"+33",34.628,"+1.127",81,"78",15,6025,850,34.628
"18",18,"=","NICO & VINZ","Am I Wrong",5695,"+133",832,"-25",31.481,"+1.271",42,"10",18,5695,1267,31.481
"19",19,"=","5 SECONDS OF SUMMER","She Looks So Perfect",5472,"+75",311,"+18",23.288,"+0.125",50,"32",18,5472,1186,23.288
