"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Set Fire To The Rain",13371,"+81",660,"-15",87.934,"+1.011",82,"4",1,13371,2301,87.934
2,"=","FLO RIDA Good Feeling",12276,"-161",-878,"-165",76.538,"-1.786",143,"25",1,13154,1657,85.747
3,"=","JESSIE J Domino",10964,"+131",772,"+65",64.721,"+0.189",152,"29",3,10964,1524,64.721
4,"=","RIHANNA We Found Love f/Calvin Harris",10004,"-102",-603,"+12",69.108,"+0.062",143,"20",1,14238,2184,95.593
5,"+1","DAVID GUETTA Turn Me On f/Nicki Minaj",9558,"+154",789,"+6",56.36,"+0.548",66,"14",5,9558,1674,56.36
6,"-1","KATY PERRY The One That Got Away",9553,"-343",-1379,"-103",52.243,"-1.896",131,"73",1,13402,1631,80.623
7,"=","BRUNO MARS It Will Rain",8846,"-345",-1842,"-124",49.71,"-1.334",135,"18",1,13635,2024,86.477
8,"+1","KELLY CLARKSON Stronger (What Doesn't Ki...",8024,"+380",1991,"+148",55.323,"+2.039",38,"8",8,8024,1991,55.323
9,"-1","PITBULL F/CHRIS BROWN International Love",7732,"+84",991,"-95",49.559,"+0.317",104,"32",8,7732,1086,49.559
10,"=","SELENA GOMEZ & THE SCENE Love You Like A...",7331,"-184",-1126,"-117",39.701,"-0.981",176,"21",6,9154,1208,48.131
11,"=","GYM CLASS HEROES Ass Back Home",7056,"+72",485,"-7",43.837,"+0.378",83,"28",11,7056,1379,43.837
12,"=","GAVIN DEGRAW Not Over You",6909,"+31",233,"-66",36.872,"+0.012",174,"42",10,6909,547,37.142
13,"=","LMFAO Sexy And I Know It",6091,"-114",-722,"-21",35.81,"-0.604",172,"12",2,12000,1530,74.768
14,"=","WANTED Glad You Came",5599,"+135",934,"+24",32.806,"+0.709",38,"27",14,5599,1330,32.806
15,"=","DAVID GUETTA Without You f/Usher",5104,"-148",-727,"-36",35.164,"-0.949",172,"91",1,13428,1586,84.476
16,"=","HOT CHELLE RAE I Like It Like That f/New...",4973,"-56",-172,"-22",20.805,"-0.880",138,"46",15,5237,639,24.246
17,"=","BREATHE CAROLINA Blackout",4588,"-14",-45,"-23",22.692,"-0.232",174,"82",17,4661,498,24.36
18,"=","OUTASIGHT Tonight Is The Night",4560,"+99",572,"+80",23.774,"+0.356",106,"88",18,4560,572,23.774
19,"+1","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",4503,"+115",581,"+32",28.391,"+0.754",83,"17",19,4503,643,28.391
20,"-1","JAY Z & KANYE WEST N***** In Paris",4290,"-160",-828,"-123",29.11,"-1.042",101,"33",15,5155,785,36.602
21,"=","J. COLE Workout",4009,"-263",-1399,"-168",25.073,"-1.019",114,"60",12,5803,659,35.209
22,"=","DRAKE Take Care f/Rihanna",3888,"+195",1220,"+105",29.395,"+0.912",39,"36",22,3888,1220,29.395
23,"=","LMFAO Sorry For Party Rocking",3602,"+133",1009,"+66",16.401,"+0.397",36,"113",23,3602,1009,16.401
24,"+1","MADONNA Give Me All Your Luvin'",2865,"+73",-943,"-235",16.304,"-0.043",11,"31",20,4569,4569,39.788
25,"-1","FRAY Heartbeat",2680,"-159",-545,"-115",10.51,"-0.696",111,"64",22,3331,677,14.271
