"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","SELENA GOMEZ","Come & Get It",14159,-98,-181,-191,83.815,-0.5,88,"10",1,14547,2034,86.045
2,"=","ROBIN THICKE","Blurred Lines f/P...",14059,325,2244,57,93.397,1.977,58,"1",2,14059,2498,93.397
3,"=","DAFT PUNK","Get Lucky",13732,163,859,50,90.23,1.24,75,"4",3,13732,2173,90.23
4,"=","MACKLEMORE & RYAN...","Can't Hold Us f/R...",13211,-217,-1512,-104,89.281,-0.578,114,"6",1,16503,2448,112.279
5,"=","IMAGINE DRAGONS","Radioactive",12972,198,1506,-13,79.46,1.242,84,"3",5,12972,2069,79.46
6,"=","JUSTIN TIMBERLAKE","Mirrors",11091,-93,-1156,99,82.575,-1.999,106,"15",1,16201,3114,111.865
7,"=","FLORIDA-GEORGIA L...","Cruise",10114,-11,-76,-23,51.103,0.294,102,"5/22",6,10190,1411,52.727
8,"=","ICONA POP","I Love It f/Charl...",9618,-202,-2058,143,66.391,-1.243,148,"26",2,14326,1359,93.264
9,"=","JASON DERULO","The Other Side",9524,111,707,-4,59.006,0.532,78,"20",9,9524,2399,59.006
10,"=","ZEDD","Clarity f/Foxes",9323,122,587,7,68.513,1.092,111,"12",10,9323,1183,68.513
11,"=","BRUNO MARS","Treasure",8435,42,-125,46,52.624,0.528,56,"8/38",11,8564,2114,52.624
12,"=","FALL OUT BOY","My Songs Know Wha...",7826,-116,-1112,-61,43.09,-0.27,146,"14",8,9172,1015,52.286
13,"=","MAROON 5","Love Somebody",7395,114,1012,9,46.502,0.936,52,"13",13,7395,1161,46.502
14,"=","CALVIN HARRIS F/E...","I Need Your Love",7312,57,463,-93,52.611,0.705,92,"24",13,7312,1386,52.611
15,"=","PINK","Just Give Me A Re...",6009,-133,-1620,138,41.181,-1.002,136,"16",1,15624,1949,106.133
16,"=","ANNA KENDRICK","Cups (Pitch Perfe...",5869,100,508,43,38.662,1.11,100,"9",16,5869,902,38.662
17,"=","ARIANA GRANDE","The Way f/Mac Mil...",5485,-103,-1132,96,28.243,-0.553,97,"19",11,7681,1373,40.497
18,"=","MARIAH CAREY","#Beautiful f/Migu...",4966,-191,-1030,-100,25.432,-1.301,61,"23/86",14,6467,3429,35.886
19,"=","CAPITAL CITIES","Safe And Sound",4875,150,876,17,30.235,1.365,76,"21",19,4875,1083,30.235
20,"=","MACKLEMORE & RYAN...","Same Love f/Mary ...",4603,176,1111,38,35.15,0.704,43,"7",20,4603,1111,35.15
21,"=","MILEY CYRUS","We Can't Stop",4367,152,1229,-28,24.735,0.812,31,"2",21,4367,1276,24.735
22,"=","RIHANNA","Right Now f/David...",4170,67,694,-86,26.616,0.706,41,"97",21,4170,1144,26.616
23,"=","DEMI LOVATO","Heart Attack",3699,-106,-982,-58,24.834,-0.839,128,"55",4,12179,2482,74.905
24,"=","KE$HA","Crazy Kids",3613,48,350,-22,17.923,0.519,65,"46",22,3613,529,17.923
25,"=","BRITNEY SPEARS","Ooh La La",3486,14,416,-171,19.915,0.232,19,"144",23,3486,2895,27.844
26,"=","AUSTIN MAHONE","What About Love",3269,90,613,17,19.419,0.125,27,"90",26,3269,982,19.419
27,"=","ED SHEERAN","Lego House",2861,-104,-682,22,13.735,-0.342,118,"79",20,3897,788,21.532
28,"=","NIKKI WILLIAMS","Glowing",2564,29,75,-8,16.251,0.304,90,"143",26,2564,309,16.251
29,"=","EMBLEM3","Chloe (You're The...",2074,18,299,-16,7.011,0.11,69,"85",29,2074,382,7.011
30,"=","PHILLIP PHILLIPS","Gone, Gone, Gone",1853,65,444,25,9.607,0.36,39,"28",30,1853,444,9.607
31,"=","LABRINTH","Beneath Your Beau...",1745,-27,139,-73,8.239,-0.011,50,"72",30,1780,362,9.135
32,"+1","JAY Z","Holy Grail f/Just...",1510,84,1510,84,14.32,0.815,2,"--",32,1510,1510,14.32
33,"-1","SEAN KINGSTON","Beat It f/Chris B...",1454,0,-7,0,4.602,-0.009,54,"89",32,1484,303,4.746
34,"=","J. COLE","Power Trip f/Migu...",1418,1,16,-16,4.316,0.085,48,"--",33,1431,241,4.316
35,"=","PARAMORE","Still Into You",1352,31,170,16,5.587,0.32,58,"127",34,1352,186,5.587
36,"=","DAVID GUETTA","Play Hard f/Ne-Yo...",1329,38,209,20,6.074,0.325,28,"91",36,1329,368,6.074
37,"+1","AWOLNATION","Sail",1221,46,299,6,4.937,0.274,44,"29",37,1221,299,4.937
38,"-1","KELLY CLARKSON","People Like Us",1190,-14,-347,42,6.015,0.01,70,"68",29,1843,571,8.278
39,"=","PITBULL","Outta Nowhere f/D...",994,33,317,-13,6.778,0.031,20,"--",38,994,372,6.778
40,"=","KARMIN","Acapella",958,29,296,-6,3.919,0.197,13,"--",40,958,376,3.919
41,"=","WILL.I.AM F/JUSTI...","#thatpower",888,-16,-327,77,4.377,-0.169,104,"99",9,7421,1416,38.399
42,"=","EMELI SANDE","Next To Me",819,-8,-282,72,3.663,-0.117,140,"76",17,5214,560,24.65
43,"=","MAJOR LAZER","Bubble Butt f/Bru...",798,-13,-9,-15,3.28,-0.106,27,"65",41,826,300,3.962
44,"=","AVRIL LAVIGNE","Here's To Never G...",754,-51,-823,108,3.475,-0.145,86,"59",18,4774,1758,21.911
45,"=","TEGAN & SARA","Closer",664,12,100,12,1.529,0.016,20,"--",44,664,154,1.529
