"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PINK","Blow Me (One Last Ki...",12328,"+94",933,"-59",81.599,"+1.100",79,"6",1,12328,2737,81.599
"2",2,"=","FLO RIDA","Whistle",11834,"-169",-345,"-273",72.142,"-1.365",108,"7",1,12179,1412,76.089
"3",3,"+1","MAROON 5","One More Night",11082,"+253",1504,"+32",75.352,"+1.178",65,"2",3,11082,1504,75.352
"4",4,"-1","NEON TREES","Everybody Talks",10871,"-20",487,"-127",64.968,"+0.029",165,"19",3,10891,1632,66.269
"5",5,"=","DEMI LOVATO","Give Your Heart A Br...",10013,"-297",-1482,"-162",67.813,"-1.306",205,"41",1,11880,1256,80.294
"6",6,"=","OWL CITY & CARLY RAE...","Good Time",9847,"+132",924,"+14",68.663,"+1.078",87,"15",6,9847,1961,68.663
"7",7,"=","JUSTIN BIEBER","As Long As You Love ...",9775,"+157",1055,"+19",70.708,"+0.719",78,"13",7,9775,1300,70.708
"8",8,"=","ELLIE GOULDING","Lights",9145,"-165",-1256,"+49",69.636,"-1.344",224,"43",1,13999,1482,101.262
"9",9,"=","TAYLOR SWIFT","We Are Never Ever Ge...",8453,"+104",612,"+23",56.517,"+0.831",38,"3",9,8453,4592,56.517
"10",10,"=","FUN.","Some Nights",8177,"+187",1295,"+8",52.437,"+1.048",103,"4",10,8177,1295,52.437
"11",11,"=","KATY PERRY","Wide Awake",7770,"-180",-1286,"+64",50.596,"-1.067",122,"36",1,14124,2824,100.029
"12",12,"=","DAVID GUETTA","Titanium f/Sia",7539,"-183",-1443,"+116",56.603,"-1.594",166,"46",3,11268,1091,79.723
"13",13,"=","ALEX CLARE","Too Close",7205,"+82",1174,"-101",46.514,"+0.402",115,"5",13,7205,1328,46.514
"14",14,"=","NICKI MINAJ","Pound The Alarm",6572,"+45",472,"-24",45.402,"+0.360",67,"32",13,6572,1036,45.402
"15",15,"=","CHRIS BROWN","Don't Wake Me Up",5371,"+48",508,"-55",42.499,"+0.723",96,"21",15,5371,982,42.499
"16",16,"+2","ENRIQUE IGLESIAS","Finally Found You f/...",4346,"+104",1145,"-112",29.192,"+0.361",23,"--",16,4346,1803,29.192
"17",17,"-1","KARMIN","Hello",4335,"-17",354,"-60",25.599,"-0.048",45,"57",16,4370,1012,25.647
"18",18,"-1","CHER LLOYD","Want U Back",4118,"-177",-1222,"-5",22.387,"-0.878",132,"33",9,8069,1103,45.503
"19",19,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",3586,"-103",-1185,"+105",23.434,"-0.753",146,"89",5,9398,1254,61.384
"20",20,"=","TRAIN","50 Ways To Say Goodb...",3480,"+42",450,"-30",19.279,"+0.191",48,"17",20,3480,717,19.279
"21",21,"=","NE-YO","Let Me Love You",3346,"+65",631,"-56",25.461,"+0.550",43,"26",21,3346,687,25.461
"22",22,"+1","DAVID GUETTA","I Can Only Imagine f...",3210,"+48",347,"-7",21.04,"-0.026",54,"70",22,3210,589,21.066
"23",23,"-1","JASON MRAZ","I Won't Give Up",3132,"-133",-427,"-113",22.159,"-1.316",159,"23",20,3773,443,26.174
"24",24,"=","PSY","Gangnam Style",2751,"+255",1671,"+90",21.985,"+1.696",12,"1",24,2751,1671,21.985
"25",25,"=","LINKIN PARK","Burn It Down",2518,"+48",231,"+6",11.19,"+0.301",107,"88",25,2518,475,11.19
"26",26,"=","OLLY MURS","Heart Skips A Beat",2416,"+15",93,"+12",12.817,"-0.188",70,"99",26,2416,401,13.274
"27",27,"+4","CHRISTINA AGUILERA","Your Body",2059,"+346",2059,"+346",18.79,"+2.040",7,"9",27,2059,2059,18.79
"28",28,"-1","KELLY CLARKSON","Dark Side",2053,"-225",-1186,"-103",14.384,"-0.816",104,"81",20,3559,493,18.412
"29",29,"+1","USHER","Numb",2011,"+181",853,"+94",9.842,"+0.957",19,"229",29,2011,853,9.842
"30",30,"-2","ONEREPUBLIC","Feel Again",1946,"+58",732,"-47",8.937,"+0.267",15,"60",28,1946,813,8.937
"31",31,"-2","CONOR MAYNARD","Vegas Girl",1861,"-2",153,"-29",8.826,"+0.042",55,"123",27,1863,280,8.826
"32",32,"=","PHILLIP PHILLIPS","Home",1622,"+59",273,"+27",8.828,"+0.275",72,"12",30,1622,311,8.828
"33",33,"=","ED SHEERAN","The A Team",1271,"+16",200,"-10",8.214,"+0.159",33,"45",32,1271,231,8.214
"34",34,"=","ZEDD","Spectrum f/Matthew K...",1193,"+7",247,"-34",6.665,"+0.005",31,"175",34,1193,305,6.665
"35",35,"=","TREY SONGZ","2 Reasons f/T.I.",1178,"+18",216,"+5",6.539,"+0.249",33,"122",34,1178,243,6.539
"36",36,"=","AUSTIN MAHONE","Say Somethin",1037,"+21",134,"+11",4.51,"-0.051",49,"292",36,1037,195,4.562
"37",37,"=","RITA ORA","R.I.P. f/Tinie Tempa...",982,"+38",247,"-3",3.963,"+0.102",19,"248",37,982,352,3.963
"38",38,"=","CHRIS WALLACE","Remember When (Push ...",848,"-12",24,"-23",2.462,"-0.079",40,"--",37,860,122,2.541
"39",39,"=","BRIDGIT MENDLER","Ready Or Not",715,"+14",102,"-4",3.091,"-0.008",18,"128",39,715,218,3.198
"40",40,"=","KANYE WEST","Mercy f/Big Sean/Pus...",699,"+5",38,"+2",6.287,"+0.075",31,"37",40,699,131,6.287
"41",41,"+2","WIZ KHALIFA","Work Hard, Play Hard",651,"-6",-13,"-3",2.435,"-0.048",65,"92",41,681,95,2.822
"42",42,"=","MATCHBOX TWENTY","She's So Mean",637,"-28",-202,"-1",2.805,"-0.101",96,"73",33,1064,574,5.015
