"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL Give Me Everything f/Ne-Yo",14121,"+82",443,"+35",94.995,"+0.337",60,1,14121,1811,94.995
"2",2,"=","ADELE Rolling In The Deep",12472,"-67",-440,"+120",85.667,"-0.356",60,1,14295,2273,96.15
"3",3,"=","LMFAO Party Rock Anthem",12189,"+235",1503,"+87",79.512,"+1.408",60,3,12189,1859,79.512
"4",4,"=","LADY GAGA The Edge Of Glory",11583,"+92",437,"+43",67.063,"+0.299",60,3,11583,2193,67.063
"5",5,"=","KATY PERRY Last Friday Night (T.G.I.F.)",10822,"+279",2093,"+40",67.994,"+1.174",43,5,10822,2124,67.994
"6",6,"=","LUPE FIASCO The Show Goes On",8814,"-11",89,"-63",51.449,"+0.224",60,6,8825,1043,53.459
"7",7,"=","BLACK EYED PEAS Just Can't Get Enough",7663,"-83",-597,"+161",56.7,"-0.327",60,2,13366,715,84.474
"8",8,"=","KATY PERRY E.T.",7602,"-101",-1074,"+134",54.674,"-0.243",60,1,14624,0,96.745
"9",9,"=","NICKI MINAJ Super Bass",7550,"+112",788,"-39",47.589,"+1.015",60,9,7550,1188,47.589
"10",10,"=","JASON DERULO Don't Wanna Go Home",7257,"+81",351,"+71",37.564,"+0.385",58,10,7257,1463,37.564
"11",11,"=","ONEREPUBLIC Good Life",7206,"+110",825,"+63",41.733,"+0.485",60,11,7206,898,41.733
"12",12,"+1","HOT CHELLE RAE Tonight Tonight",6894,"+62",575,"+73",36.325,"+0.285",60,12,6894,838,36.325
"13",13,"-1","BRUNO MARS Lazy Song",6832,"-195",-1205,"+32",33.874,"-0.911",60,3,11422,1054,61.587
"14",14,"=","BRITNEY SPEARS Till The World Ends",5667,"-85",-371,"+101",37.803,"-0.593",60,3,11896,966,75.819
"15",15,"=","BRITNEY SPEARS I Wanna Go",5078,"+138",1160,"-30",34.143,"+0.569",26,15,5078,1768,34.143
"16",16,"=","JENNIFER LOPEZ F/PITBULL On The Floor",4485,"-88",-283,"-21",31.441,"-0.374",60,5,10169,668,65.118
