"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","GOTYE Somebody That I Used To Know",14212,123,1233,-60,106.394,0.754,82,"2",1,14212,2018,106.394
"2",2,"=","FUN. We Are Young f/Janelle Monae",13160,-80,-746,11,99.082,-0.867,90,"4",1,14439,2738,110.772
"3",3,"=","FLO RIDA Wild Ones f/Sia",12455,-81,-90,-115,93.532,0.084,108,"5",2,12595,1940,93.589
"4",4,"=","NICKI MINAJ Starships",12030,91,491,26,87.703,0.386,98,"9/36",4,12030,1834,87.703
"5",5,"=","ONE DIRECTION What Makes You Beautiful",11230,87,602,26,74.935,0.133,83,"7",5,11230,1579,74.935
"6",6,"=","WANTED Glad You Came",10010,-114,-816,27,78.295,-1.212,135,"15",1,13712,1363,101.962
"7",7,"=","CARLY RAE JEPSEN Call Me Maybe",9771,207,1422,30,73.869,1.42,72,"1",7,9771,1422,73.869
"8",8,"=","MAROON 5 Payphone f/Wiz Khalifa",8624,173,1137,61,61.966,1.3,36,"3",8,8624,3415,61.966
"9",9,"=","ADELE Rumour Has It",6954,-274,-1309,-220,40.558,-1.833,79,"37",8,8497,1514,56.313
"10",10,"=","KATY PERRY Part Of Me",6658,-103,-1711,135,52.05,-0.041,99,"30",3,12039,3625,78.553
"11",11,"=","JUSTIN BIEBER Boyfriend",6620,-9,-218,87,40.684,0.093,57,"6",9,7937,4726,51.492
"12",12,"=","KARMIN Broken Hearted",6394,42,374,17,38.937,0.221,93,"--",12,6394,936,38.937
"13",13,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",6197,-81,-738,47,42.899,-0.313,135,"35",1,13549,2321,99.332
"14",14,"+1","USHER Scream",6104,206,1209,76,41.473,1.113,26,"10",14,6104,2323,41.473
"15",15,"-1","TRAIN Drive By",6099,-24,121,-84,34.313,-0.145,128,"11",14,6123,601,35.3
"16",16,"=","RIHANNA Where Have You Been",5704,111,799,-39,40.896,1.049,37,"13",16,5704,1884,40.896
"17",17,"=","CALVIN HARRIS Feel So Close",5419,-130,-768,15,39.065,-0.215,103,"28",7,8145,1329,55.352
"18",18,"=","PITBULL Back In Time",4928,34,352,-47,30.82,0.312,54,"8",18,4928,925,30.82
"19",19,"=","ELLIE GOULDING Lights",4591,88,585,-9,29.721,1.054,102,"19",19,4591,786,29.721
"20",20,"=","DRAKE Take Care f/Rihanna",3927,-68,-584,17,32.513,-0.712,136,"62",8,7620,1220,60.618
"21",21,"=","DEMI LOVATO Give Your Heart A Break",3387,43,302,17,22.118,0.086,83,"29",21,3387,665,22.118
"22",22,"=","DAVID GUETTA Titanium f/Sia",3364,103,465,25,23.936,0.765,44,"18",22,3364,694,23.936
"23",23,"=","JENNIFER LOPEZ Dance Again f/Pitbull",2831,-272,-1515,-176,16.09,-1.749,53,"14",17,4851,2243,30.831
"24",24,"+1","GYM CLASS HEROES Fighter f/Ryan Tedder",2654,256,1316,158,15.805,1.469,22,"58",24,2654,1316,15.805
"25",25,"-1","HAVANA BROWN We Run The Night f/Pitbull",2477,47,278,29,19.402,0.547,100,"48",24,2477,278,19.402
"26",26,"=","CHRIS RENE Young Homie",1922,23,93,19,8.554,0.054,72,"113",25,1922,226,8.646
"27",27,"=","RITA ORA How We Do (Party)",1883,32,279,-14,10.588,0.201,26,"148",27,1883,620,10.588
"28",28,"=","TAYLOR SWIFT Eyes Open",1486,-28,-547,28,6.959,-0.1,58,"38",20,3925,1442,22.308
"29",29,"+2","DRAKE The Motto f/Lil Wayne",1352,-46,-333,12,13.711,-0.246,93,"39",25,2047,321,19.147
"30",30,"+3","CALVIN HARRIS Let's Go f/Ne-Yo",1335,61,453,-5,12.261,0.614,24,"85",30,1335,458,12.261
"31",31,"+1","HOT CHELLE RAE Honestly",1331,19,123,1,5.922,0.144,51,"117",30,1331,284,5.922
"32",32,"-2","B.O.B So Good",1327,-77,-562,6,5.842,-0.479,80,"--",18,4675,1013,31.923
"33",33,"-4","NEON HITCH F U Betta",1325,-95,-406,-92,6.701,-0.334,79,"--",28,1758,247,7.978
"34",34,"=","KIRKO BANGZ Drank In My Cup",1291,34,275,-18,5.534,0.046,49,"59",33,1291,310,5.534
"35",35,"=","ONE DIRECTION One Thing",1143,63,552,8,7.96,0.335,16,"68",35,1143,552,7.96
"36",36,"=","NEON TREES Everybody Talks",1069,18,106,13,5.281,0.103,43,"--",33,1069,211,5.281
"37",37,"=","GROUPLOVE Tongue Tied",987,27,189,8,4.442,0.229,28,"65",36,987,284,4.442
"38",38,"=","COLDPLAY Paradise",872,9,125,-4,5.851,0.042,62,"50",37,892,255,5.851
"39",39,"=","JASON MRAZ I Won't Give Up",862,10,53,-11,4.092,0.042,37,"--",36,862,210,4.092
"40",40,"=","THE WANTED Chasing The Sun",859,51,387,39,8.409,0.225,18,"--",40,859,387,8.409
"41",41,"+1","B.O.B Both Of Us f/Taylor Swift",782,67,486,23,4.294,0.349,9,"77",41,782,486,4.294
"42",42,"-1","NELLY FURTADO Big Hoops (Bigger The Bett...",754,10,158,-19,2.31,-0.009,17,"355",40,754,318,2.319
"43",43,"=","CHER LLOYD Want U Back",666,35,299,-14,2.561,0.187,10,"254",43,666,335,2.561
"44",44,"=","OUTASIGHT Now Or Never",526,30,155,6,1.416,0.118,12,"202",44,526,206,1.416
"45",45,"=","SAMMY ADAMS Only One",412,35,220,25,1.473,0.008,3,"389",45,412,220,1.473
"46",46,"=","THE CAB La La",375,-2,8,-11,0.794,0,45,"--",45,377,82,0.904
"47",47,"+1","RIHANNA Birthday Cake",344,-5,-13,-13,1.349,-0.032,50,"57",40,479,116,1.742
"48",48,"-1","KEVIN RUDOLF Don't Give Up",339,-12,-20,-18,0.663,-0.045,23,"--",45,359,132,0.708
"49",49,"=","SELENA GOMEZ & THE SCENE Hit The Lights",338,-8,-37,-17,1.351,-0.04,26,"--",44,379,75,1.54
"50",50,"=","CHIDDY BANG Mind Your Manners f/Icona Po...",251,16,88,22,0.794,0.046,2,"--",50,251,88,0.794
