"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"+1","PITBULL Give Me Everything f/Ne-Yo",13456,54,400,-66,92.554,0.23,49,1,13456,1811,92.554
"2",2,"-1","ADELE Rolling In The Deep",13389,-126,-616,-141,91.387,-0.506,49,1,14295,2273,96.15
"3",3,"=","LADY GAGA The Edge Of Glory",10787,98,810,-109,61.539,0.198,49,3,10787,2193,62.253
"4",4,"+1","LMFAO Party Rock Anthem",9956,209,1674,-70,67.919,0.938,49,4,9956,1859,67.919
"5",5,"-1","KATY PERRY E.T.",9585,-197,-690,-79,71.712,-1.465,49,1,14624,0,96.745
"6",6,"+1","BLACK EYED PEAS Just Can't Get Enough",9097,-252,-1084,-123,62.933,-1.321,49,2,13366,715,84.474
"7",7,"-1","BRUNO MARS Lazy Song",9039,-347,-1916,-264,43.282,-1.449,49,3,11422,1054,61.587
"8",8,"=","LUPE FIASCO The Show Goes On",8533,90,308,28,53.459,0.347,49,8,8533,1043,53.459
"9",9,"=","KATY PERRY Last Friday Night (T.G.I.F.)",7598,353,1918,113,48.96,2.583,32,9,7598,2124,48.96
"10",10,"+1","JASON DERULO Don't Wanna Go Home",6778,42,364,-67,36.136,-0.289,47,10,6778,1463,37.039
"11",11,"-1","BRITNEY SPEARS Till The World Ends",6632,-131,-1484,92,43.246,-0.538,49,3,11896,966,75.819
"12",12,"=","HOT CHELLE RAE Tonight Tonight",6209,50,697,-67,31.361,0.129,49,12,6209,838,31.361
"13",13,"=","NICKI MINAJ Super Bass",6156,130,960,-16,37.181,0.907,49,13,6156,1188,37.181
"14",14,"=","ONEREPUBLIC Good Life",5982,166,692,69,32.967,1.183,49,14,5982,692,32.967
"15",15,"=","JENNIFER LOPEZ F/PITBULL On The Floor",5198,-148,-1730,114,36.711,-0.962,49,5,10169,668,65.118
"16",16,"=","WIZ KHALIFA Roll Up",4598,-55,-376,-12,21.35,-0.477,49,14,5043,725,26.478
"17",17,"=","SELENA GOMEZ & THE SCENE Who Says",4309,-55,-228,-44,22.041,-0.755,49,17,4559,707,27.282
"18",18,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3869,8,93,12,21.525,0.004,47,18,3879,864,21.943
"19",19,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3692,-104,-339,-141,21.708,-0.562,49,18,4031,605,23.761
"20",20,"=","NICOLE SCHERZINGER Right There",3570,83,672,1,18.881,0.283,33,20,3570,720,18.881
"21",21,"=","TINIE TEMPAH Written In The Stars",3322,-135,-1292,91,20.152,-0.49,49,7,8819,756,54.175
"22",22,"=","TAYLOR SWIFT The Story Of Us",3283,-8,97,14,16.585,-0.292,49,21,3295,587,17.303
"23",23,"=","RIHANNA California King Bed",3170,57,268,12,14.599,0,44,23,3170,616,14.846
"24",24,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3161,79,486,28,15.165,0.347,49,24,3161,525,15.165
"25",25,"=","THE BAND PERRY If I Die Young",3128,51,467,-42,16.415,0.222,49,24,3128,655,16.415
"26",26,"=","BRITNEY SPEARS I Wanna Go",3066,246,1744,56,21.91,1.924,15,26,3066,1744,21.91
"27",27,"=","JEREMIH Down On Me f/50 Cent",2680,-93,-341,-75,16.756,-0.342,49,10,8052,153,44.2
"28",28,"=","BEYONCE Best Thing I Never Had",2506,105,801,15,13.299,0.663,21,28,2506,856,13.299
"29",29,"=","MAROON 5 Never Gonna Leave This Bed",2214,46,190,41,9.467,0.171,49,28,2214,312,9.467
"30",30,"+1","CHRIS BROWN She Ain't You",1769,69,352,34,9.079,0.532,38,30,1769,352,9.079
"31",31,"-1","LADY GAGA Born This Way",1767,-8,-38,-17,11.523,0,49,19,3651,0,20.436
"32",32,"=","LIL WAYNE How To Love",1586,89,473,31,8.753,0.243,24,32,1586,473,8.753
"33",33,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1466,74,502,16,7.046,0.3,24,33,1466,502,7.046
"34",34,"=","T-PAIN Best Love Song f/Chris Brown",1331,10,101,-19,6.559,0.041,47,34,1331,260,6.559
"35",35,"=","NEW BOYZ Back Seat f/Cataracs & Dev",1230,-50,-515,49,7.295,-0.076,49,17,4096,331,21.342
"36",36,"=","AVRIL LAVIGNE Smile",1201,37,219,13,4.126,0.13,31,36,1201,226,4.126
"37",37,"=","CHRIS BROWN Look At Me Now",984,-21,-305,-11,7.102,-0.104,49,28,1861,229,12.746
