"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KATY PERRY E.T.",14434,"-80",-273,"-43",95.294,"-0.488",5,1,14624,0,96.745
"2",2,"=","BLACK EYED PEAS Just Can't Get Enough",13114,"+83",337,"-7",82.451,"+0.448",5,2,13114,715,82.451
"3",3,"=","BRITNEY SPEARS Till The World Ends",11424,"+10",594,"-112",74.212,"+0.285",5,3,11424,966,74.212
"4",4,"=","ADELE Rolling In The Deep",10902,"+245",2198,"+28",73.002,"+1.284",5,4,10902,2273,73.002
"5",5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9660,"+9",413,"-67",61.735,"-0.412",5,5,9660,668,62.323
"6",6,"=","KE$HA Blow",9206,"-222",-1330,"-144",51.652,"-0.709",5,4,10135,0,56.264
"7",7,"+1","BRUNO MARS Lazy Song",8700,"+110",806,"+68",51.496,"+1.035",5,7,8700,806,51.496
"8",8,"-1","RIHANNA S&M",8649,"-310",-2471,"-114",56.06,"-1.840",5,5,10081,0,64.524
"9",9,"=","TINIE TEMPAH Written In The Stars",8577,"+28",550,"-94",52.921,"+0.262",5,8,8577,756,52.921
"10",10,"=","JEREMIH Down On Me f/50 Cent",7946,"-31",-87,"-64",42.972,"-0.322",5,10,8052,153,44.2
"11",11,"=","THE SCRIPT For The First Time",6048,"+31",433,"+11",32.673,"-0.287",5,11,6048,433,33.625
"12",12,"=","JESSIE J Price Tag f/B.O.B",5727,"+76",362,"+8",29.768,"+0.167",5,12,5727,582,29.975
"13",13,"=","CEE LO GREEN F**k You (Forget You)",5600,"+7",-720,"+297",31.787,"+0.158",5,11,5830,0,32.865
"14",14,"=","PITBULL Give Me Everything f/Ne-Yo",5302,"+167",1232,"+49",40.399,"+1.302",5,14,5302,1232,40.399
"15",15,"=","PINK F**kin' Perfect (Perfect)",5044,"-59",-549,"-35",25.656,"-0.386",5,14,5394,0,27.986
"16",16,"=","LUPE FIASCO The Show Goes On",4472,"+121",725,"+14",28.668,"+0.396",5,16,4472,786,28.668
"17",17,"=","LADY GAGA Judas",3787,"-284",-1327,"-405",17.745,"-2.737",5,15,4801,0,27.232
"18",18,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3703,"-16",192,"-27",19.061,"+0.051",5,18,3719,331,19.061
"19",19,"=","LADY GAGA Born This Way",3376,"-32",-590,"+51",17.82,"-0.557",5,19,3651,0,20.436
"20",20,"=","SELENA GOMEZ & THE SCENE Who Says",3323,"+94",707,"+79",18.696,"+0.502",5,20,3323,707,18.696
"21",21,"+2","WIZ KHALIFA Roll Up",3164,"+66",491,"-37",15.681,"+0.302",5,21,3164,725,15.681
"22",22,"-1","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",3130,"-26",-55,"-37",13.262,"-0.145",5,21,3233,127,13.744
"23",23,"-1","DR. DRE I Need A Doctor f/Eminem",2999,"-148",-762,"-162",17.657,"-1.259",5,20,3521,0,21.933
"24",24,"=","HOT CHELLE RAE Tonight Tonight",2947,"+106",628,"+27",13.22,"+0.912",5,24,2947,628,13.22
"25",25,"=","ONEREPUBLIC Good Life",2683,"+69",443,"+5",13.266,"+0.408",5,25,2683,456,13.266
"26",26,"+2","MARTIN SOLVEIG & DRAGONETTE Hello",2615,"+103",408,"+34",18.473,"+0.527",5,26,2615,560,18.473
"27",27,"=","LMFAO Party Rock Anthem",2575,"+49",378,"+33",16.041,"+0.550",5,27,2575,378,16.041
"28",28,"-2","AVRIL LAVIGNE What The Hell",2391,"-147",-982,"-41",11.474,"-0.808",5,24,2903,0,13.876
"29",29,"=","TAYLOR SWIFT The Story Of Us",2002,"+23",200,"-16",10.427,"+0.096",5,29,2002,291,10.427
"30",30,"=","MY CHEMICAL ROMANCE Sing",1915,"-6",-140,"-6",7.832,"+0.181",5,29,2009,0,7.995
"31",31,"=","BIG TIME RUSH Boyfriend",1894,"+0",48,"-101",7.301,"+0.007",5,31,1894,197,7.301
"32",32,"=","NICKI MINAJ Moment 4 Life f/Drake",1757,"-51",-837,"+197",11.205,"-0.345",5,29,2036,0,13.564
"33",33,"+2","LADY GAGA The Edge Of Glory",1708,"+324",1708,"+324",15.79,"+2.584",5,33,1708,1708,15.79
"34",34,"-1","CHRIS BROWN Look At Me Now",1653,"-14",38,"-71",11.195,"-0.381",5,33,1692,229,11.837
"35",35,"-1","SHONTELLE Say Hello To Goodbye",1411,"+24",111,"+2",4.046,"+0.077",5,34,1411,142,4.046
"36",36,"=","BEYONCE Run The World (Girls)",1237,"+44",-51,"+1",5.123,"+0.382",5,35,1285,242,5.356
"37",37,"+1","KANYE WEST All Of The Lights",1116,"-25",-31,"-44",7.283,"-0.136",5,37,1170,71,7.48
