"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","JUSTIN BIEBER","Sorry",19062,-32,-137,-73,122.293,-0.355,66,"2",1,19494,3902,127.324
"2",2,"=","SELENA GOMEZ","Same Old Love",17733,21,244,67,108.133,0.04,103,"7",2,18064,1774,111.646
"3",3,"=","ADELE","Hello",17605,-58,-1034,-8,113.856,-0.235,65,"1",1,19167,4705,124.831
"4",4,"=","ALESSIA CARA","Here",15301,-73,310,-278,95.254,-0.441,161,"11",4,15650,1467,98.324
"5",5,"=","ELLIE GOULDING","On My Mind",13915,-104,-184,-216,79.011,-0.688,101,"33",4,14332,3457,82.642
"6",6,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",13429,-51,303,-238,79.422,-1.08,181,"13",6,13735,1275,83.171
"7",7,"=","THE WEEKND","In The Night",11000,-75,279,-190,65.145,-0.632,45,"32",7,11187,3011,67.098
"8",8,"=","SHAWN MENDES","Stitches",9816,-15,-596,169,71.027,-0.1,219,"6",1,17999,2130,108.715
"9",9,"=","DEMI LOVATO","Confident",8705,-145,-156,-266,45.411,-0.795,87,"17",9,9049,1761,47.803
"10",10,"=","DRAKE","Hotline Bling",8290,-147,-1866,227,52.099,-1.301,104,"4",2,16016,2377,99.499
"11",11,"=","ONE DIRECTION","Perfect",8262,-41,-28,-188,40.475,-0.291,70,"16",11,8440,1211,41.357
"12",12,"=","THE CHAINSMOKERS","Roses f/Rozes",7989,-132,362,-277,43.338,-0.46,91,"21",12,8185,1619,44.567
"13",13,"=","DAYA","Hide Away",7648,12,204,-42,40.747,-0.097,133,"20",13,7718,851,41.389
"14",14,"=","TWENTY ONE PILOTS","Stressed Out",7536,110,1194,-117,42.895,0.617,42,"5",14,7536,1684,43.045
"15",15,"=","TAYLOR SWIFT","Wildest Dreams",7177,-88,-666,19,48.197,-0.562,122,"18",1,18848,3531,112.715
"16",16,"=","JUSTIN BIEBER","Love Yourself",7035,91,1601,-333,46.459,1.046,23,"3",16,7035,2930,46.459
"17",17,"=","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",6236,0,520,-173,30.515,-0.124,33,"19",17,6335,1989,31.644
"18",18,"+1","THE WEEKND","The Hills",5832,-137,-400,-30,46.241,-0.722,147,"27",2,17451,2705,105.256
"19",19,"-1","ELLE KING","Ex's and Oh's",5809,-246,-1468,80,36.405,-1.74,135,"12",7,12070,1468,71.394
"20",20,"=","JUSTIN BIEBER","What Do You Mean?",5462,-138,-817,-40,48.792,-0.914,121,"8",1,18691,5900,114.523
"21",21,"=","GWEN STEFANI","Used To Love You",5093,-96,-17,-207,21.264,-0.823,59,"84",19,5224,1038,22.087
"22",22,"=","DNCE","Cake By The Ocean",4784,27,408,4,20.863,-0.136,88,"43",22,4784,613,20.999
"23",23,"=","CHARLIE PUTH","One Call Away",3946,35,412,-87,16.953,0.049,48,"22",23,3946,819,17.475
"24",24,"=","FALL OUT BOY","Irresistible f/Demi Lovato",3733,-12,-7,-26,16.251,-0.17,60,"100",23,3796,560,16.657
"25",25,"=","HALSEY","New Americana",3017,-24,19,-40,9.076,-0.267,91,"54",25,3060,537,9.352
"26",26,"=","FLO RIDA","My House",2944,-73,240,-219,11.888,-0.313,69,"14",26,3039,666,12.364
"27",27,"+1","TORI KELLY","Hollow",2771,31,192,-11,10.038,0.016,49,"97",27,2773,501,10.502
"28",28,"+1","ADELE","When We Were Young",2751,101,1124,-106,19.096,0.469,11,"37",28,2751,1461,19.096
"29",29,"-2","ONE DIRECTION","Drag Me Down",2733,-92,-362,-55,18.235,-0.646,149,"26",5,10402,3358,53.211
"30",30,"+1","JASON DERULO","Get Ugly",2420,65,811,-132,10.288,0.364,14,"85",30,2420,1110,10.288
"31",31,"-1","NELLY","The Fix f/Jeremih",2343,-26,23,-61,8.998,-0.231,71,"87",30,2407,341,9.703
"32",32,"=","X AMBASSADORS","Renegades",2228,-31,-215,-9,11.626,0.085,139,"76",8,9986,1573,48.866
"33",33,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",2027,8,169,-43,11.27,0.051,30,"484",33,2039,451,11.778
"34",34,"=","POST MALONE","White Iverson",2007,45,287,-24,7.293,0.06,42,"24",34,2007,451,7.296
"35",35,"=","CHRIS BROWN","Zero",1948,94,253,77,8.043,0.378,61,"159",33,1948,391,8.043
