"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",13829,-84,-282,-21,91.099,0.125,44,1,14295,2273,96.15
2,"=","PITBULL Give Me Everything f/Ne-Yo",13255,111,1084,-84,90.353,1.325,44,2,13255,1811,90.353
3,"=","BRUNO MARS Lazy Song",10523,-272,-637,-241,52.254,-2.005,44,3,11422,1054,61.587
4,"+1","LADY GAGA The Edge Of Glory",10300,154,1274,-53,62.249,0.064,44,4,10300,2193,62.253
5,"-1","KATY PERRY E.T.",10030,-117,-1028,-19,74.457,-0.458,44,1,14624,0,96.745
6,"=","BLACK EYED PEAS Just Can't Get Enough",9917,-100,-948,82,66.155,-0.546,44,2,13366,715,84.474
7,"=","LMFAO Party Rock Anthem",8835,266,1794,50,61.217,1.798,44,7,8835,1794,61.217
8,"=","LUPE FIASCO The Show Goes On",8316,53,585,-26,51.836,0.519,44,8,8316,1043,51.836
9,"=","BRITNEY SPEARS Till The World Ends",7712,-203,-1405,14,49.211,-1.102,44,3,11896,966,75.819
10,"+1","JASON DERULO Don't Wanna Go Home",6592,83,728,31,36.996,-0.043,42,10,6592,1463,37.039
11,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",6409,-257,-1553,-110,41.606,-1.247,44,5,10169,668,65.118
12,"=","KATY PERRY Last Friday Night (T.G.I.F.)",6173,237,1784,-50,39.545,1.061,27,12,6173,2124,39.545
13,"=","HOT CHELLE RAE Tonight Tonight",5773,125,633,65,29.601,0.636,44,12,5773,643,29.601
14,"+1","NICKI MINAJ Super Bass",5467,130,1026,-8,33.653,0.506,44,14,5467,1188,33.653
15,"-1","ONEREPUBLIC Good Life",5438,80,565,-3,28.774,0.576,44,14,5438,604,28.774
16,"=","WIZ KHALIFA Roll Up",4888,-35,-73,-16,24.515,-0.595,44,14,5043,725,26.478
17,"=","SELENA GOMEZ & THE SCENE Who Says",4462,-30,36,-45,25.527,-0.452,44,17,4559,707,27.282
18,"=","TINIE TEMPAH Written In The Stars",4197,-178,-1307,-9,24.095,-0.8,44,7,8819,756,54.175
19,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3986,-1,-16,-18,23.722,0.156,44,19,4031,605,23.722
20,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3797,10,159,-4,21.717,0.032,42,20,3797,864,21.718
21,"=","TAYLOR SWIFT The Story Of Us",3250,33,100,16,17.303,0.067,44,21,3250,587,17.303
22,"+1","NICOLE SCHERZINGER Right There",3109,117,697,53,16.497,0.698,28,22,3109,720,16.497
23,"+1","RIHANNA California King Bed",2974,7,372,-40,14.692,-0.154,39,23,2974,616,14.846
24,"-2","JEREMIH Down On Me f/50 Cent",2952,-55,-407,30,18.148,-0.313,44,10,8052,153,44.2
25,"+1","THE BAND PERRY If I Die Young",2811,71,584,-11,13.81,0.58,44,25,2811,655,13.81
26,"-1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",2800,49,443,31,14.123,0.253,44,25,2800,525,14.123
27,"=","JESSIE J Price Tag f/B.O.B",2236,-126,-1214,75,11.144,-0.441,44,12,5959,582,30.453
28,"=","MAROON 5 Never Gonna Leave This Bed",2053,23,217,-3,8.53,0.043,44,28,2053,312,8.53
29,"=","BEYONCE Best Thing I Never Had",1929,102,741,-16,10.027,0.443,16,29,1929,856,10.027
30,"=","LADY GAGA Born This Way",1769,-1,-148,27,10.887,0.16,44,19,3651,0,20.436
31,"+1","BRITNEY SPEARS I Wanna Go",1766,227,1123,130,12.04,1.293,10,31,1766,1123,12.04
32,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",1608,-69,-825,78,8.93,-0.221,44,17,4096,331,21.342
33,"=","CHRIS BROWN She Ain't You",1501,35,272,-18,7.357,0.288,33,32,1501,337,7.357
34,"=","T-PAIN Best Love Song f/Chris Brown",1280,27,254,3,6.39,0.012,42,34,1280,260,6.39
35,"+1","LIL WAYNE How To Love",1243,57,377,-2,5.972,0.58,19,35,1243,379,5.972
36,"-1","CHRIS BROWN Look At Me Now",1204,-45,-136,-68,8.93,-0.294,44,28,1861,229,12.746
37,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1118,78,410,29,5.721,0.275,19,37,1118,410,5.721
38,"=","AVRIL LAVIGNE Smile",1044,23,160,-10,3.113,0.114,26,37,1044,226,3.113
39,"=","IYAZ Pretty Girls",927,23,224,-11,3.309,0.069,19,39,927,271,3.309
40,"=","CEE LO GREEN Bright Lights Bigger City",807,13,119,-5,2.862,0.084,25,40,807,125,2.862
41,"=","STEVEN TYLER (It) Feels So Good",699,-49,-192,-37,2.583,-0.229,33,40,903,326,3.408
42,"+2","COBRA STARSHIP You Make Me Feel... f/Sab...",669,36,181,20,2.031,-0.027,10,42,669,214,2.105
43,"-1","SHONTELLE Say Hello To Goodbye",648,-93,-802,13,2.32,-0.245,44,29,1775,174,5.629
45,"=","BIG SEAN My Last f/Chris Brown",641,18,136,-5,2.47,0.013,19,44,641,169,2.47
44,"+2","ALL TIME LOW I Feel Like Dancin�",641,46,259,22,1.831,0.12,5,44,641,259,1.831
46,"-3","NEON TREES Your Surrender",635,-98,-350,-85,1.562,-0.292,44,36,1091,173,2.732
47,"=","TRAIN Save Me San Francisco",506,10,11,12,1.884,0.032,24,45,509,92,2.155
48,"=","JASON ALDEAN/KELLY CLARKSON Don't You Wa...",357,2,46,-10,1.006,0.003,5,48,357,66,1.007
49,"+1","AFROJACK Take Over Control f/Eva Simons",343,24,74,17,4.597,0.088,4,49,343,74,4.597
50,"-1","CODY SIMPSON On My Mind",330,6,53,4,1.132,-0.005,5,49,330,53,1.137
