"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","TAYLOR SWIFT","Style",18252,"+94",463,"-135",113.735,"+0.818",69,"9",1,18252,3111,113.735
"2",2,"=","ED SHEERAN","Thinking Out Loud",17918,"-196",-1001,"-342",112.697,"-0.895",98,"4",1,18914,3319,118.241
"3",3,"=","MARK RONSON","Uptown Funk f/Bruno Mars",17858,"-55",-910,"+73",116.534,"-0.641",125,"1",1,19386,3126,125.545
"4",4,"=","MAROON 5","Sugar",16331,"+137",1508,"-125",102.572,"+0.919",63,"5",4,16331,2244,102.572
"5",5,"=","PITBULL","Time Of Our Lives f/Ne-Yo",15661,"-15",134,"-171",93.856,"+0.088",107,"13",4,15695,2867,94.608
"6",6,"=","ELLIE GOULDING","Love Me Like You Do",11786,"+362",1760,"+117",79.406,"+3.090",64,"2",6,11786,1760,79.406
"7",7,"=","RIHANNA/KANYE WEST/P MCCARTNEY","FourFiveSeconds",11045,"+19",1,"-16",64.311,"+0.190",49,"3",6,11092,3932,64.311
"8",8,"=","LILLYWOOD & ROBIN SCHULZ","Prayer In C",8809,"-396",-1736,"-296",52.709,"-2.626",133,"54",6,10755,1413,68.631
"9",9,"=","CALVIN HARRIS","Outside f/Ellie Goulding",8691,"+31",183,"+36",56.149,"-0.337",85,"34",9,8691,1280,58.599
"10",10,"=","NATALIE LA ROSE","Somebody f/Jeremih",7941,"+174",1272,"-3",45.867,"+1.001",70,"15",10,7941,1409,45.867
"11",11,"=","ARIANA GRANDE","One Last Time",7655,"+133",1105,"-163",45.886,"+1.142",36,"26",11,7655,2135,45.886
"12",12,"=","TAYLOR SWIFT","Blank Space",7285,"-126",-1193,"+192",54.67,"-1.377",138,"19",1,18014,3248,118.647
"13",13,"=","NICK JONAS","Chains",6982,"+91",571,"+33",39.939,"+0.449",63,"14",13,6982,1264,39.939
"14",14,"=","ONE DIRECTION","Night Changes",6457,"+24",48,"-11",34.479,"+0.553",120,"51",14,6457,1221,34.479
"15",15,"+1","ZEDD","I Want You To Know f/S. Gomez",6329,"+261",1802,"-118",40.34,"+1.297",20,"29",15,6329,3786,40.34
"16",16,"-1","USHER","I Don't Mind f/Juicy J",6232,"+18",237,"+18",33.017,"-0.636",98,"33",15,6241,911,35.105
"17",17,"=","MEGHAN TRAINOR","Lips Are Movin",5394,"-359",-2518,"+120",30.64,"-1.617",146,"24",4,13569,1988,75.882
"18",18,"=","NE-YO","She Knows f/Juicy J",5176,"-117",-353,"-160",21.91,"-0.548",77,"39",17,5524,1028,24.954
"19",19,"=","KELLY CLARKSON","Heartbeat Song",4575,"-5",214,"-52",20.327,"+0.133",60,"23",19,4580,1093,20.327
"20",20,"=","FLO RIDA","GDFR f/Sage The Gemini",4328,"+197",686,"+58",22.919,"+1.090",65,"8",20,4328,985,22.919
"21",21,"=","VANCE JOY","Riptide",4159,"+41",48,"+8",20.758,"+0.045",138,"37",21,4178,802,21.444
"22",22,"+1","TORI KELLY","Nobody Love",4038,"+129",666,"+25",19.388,"+0.346",33,"78",22,4038,1398,19.388
"23",23,"-1","ELLA HENDERSON","Ghost",3859,"-225",-2297,"+101",19.775,"-1.326",185,"38",11,8217,1207,40.362
"24",24,"=","JASON DERULO","Want To Want Me",3669,"+620",3669,"+620",34.607,"+4.810",6,"21",24,3669,3669,34.607
"25",25,"=","THE WEEKND","Earned It",3136,"+168",972,"+64",23.395,"+1.351",25,"7",25,3136,972,23.395
"26",26,"=","TOVE LO","Talking Body",3043,"+88",82,"+48",18.304,"+0.482",59,"32",24,3043,589,18.304
"27",27,"=","NICKI MINAJ","Truffle Butter f/Drake...",2915,"+6",82,"-34",16.085,"+0.169",56,"18",24,2915,577,16.085
"28",28,"=","SAM SMITH","Lay Me Down",2850,"+19",228,"+0",12.8,"+0.118",33,"56",26,2850,1008,12.8
"29",29,"=","IMAGINE DRAGONS","I Bet My Life",1966,"+23",109,"+57",8.03,"+0.141",69,"48",28,1966,436,8.03
"30",30,"=","WHO IS FANCY","Goodbye",1773,"+63",219,"-1",9.538,"+0.188",29,"108",29,1773,427,9.545
"31",31,"=","ECHOSMITH","Bright",1685,"+45",183,"-30",6.702,"+0.489",41,"96",31,1685,405,6.702
"32",32,"=","LUNCHMONEY LEWIS","Bills",1672,"+40",179,"-48",7.842,"+0.211",21,"135",30,1672,672,7.842
"33",33,"=","WALK THE MOON","Shut Up And Dance",1604,"+25",220,"-20",8.21,"+0.206",29,"11",33,1604,365,8.21
"34",34,"=","CHRIS BROWN & TYGA","Ayo",1493,"+51",296,"-16",7.032,"+0.205",26,"49",34,1493,336,7.032
"35",35,"=","SELENA GOMEZ","The Heart Wants What It Wants",1302,"-63",-419,"-12",8.626,"-0.367",129,"114",7,10523,2058,67.628
"36",36,"=","JESSIE J","Masterpiece",1131,"-101",-610,"-79",3.946,"-0.520",61,"35",29,1834,587,6.61
"37",37,"+1","FIFTH HARMONY","Worth It f/Kid Ink",1122,"+80",332,"-20",5.29,"+0.273",11,"69",37,1122,418,5.29
"38",38,"-1","IGGY AZALEA","Trouble f/Jennifer Hudson",1064,"+10",54,"-12",3.441,"-0.033",27,"305",36,1066,298,3.474
"39",39,"=","CASH CASH","Surrender",1040,"+58",62,"+103",4.508,"+0.289",56,"422",37,1040,224,4.508
"40",40,"=","GEORGE EZRA","Budapest",946,"+12",238,"-27",3.166,"+0.087",13,"59",40,946,300,3.166
"41",41,"=","SHAGGY F/MOHOMBI/FAYDEE/COSTI","I Need Your Love",944,"+23",167,"-3",4.387,"+0.123",21,"344",39,944,182,4.387
"42",42,"=","ANDY GRAMMER","Honey, I'm Good",806,"+11",110,"-21",2.454,"+0.053",18,"28",42,806,151,2.454
"43",43,"=","LIFE OF DILLON","Overload",785,"+20",76,"+19",1.68,"+0.045",17,"385",43,785,364,1.745
"44",44,"=","CHARLI XCX","Doing It",740,"+7",63,"-19",1.517,"+0.100",16,"--",44,740,126,1.517
"45",45,"+2","DJ SNAKE & ALUNAGEORGE","You Know You Like It",680,"+19",150,"-5",6.253,"-0.002",8,"143",45,680,155,6.255
"46",46,"+2","RYN WEAVER","OctaHate",666,"+13",153,"-20",1.747,"+0.047",7,"275",46,666,252,1.747
"47",47,"-1","KALIN & MYLES","Trampoline",660,"-8",-75,"+27",2.458,"-0.048",25,"130",41,784,333,3.136
"48",48,"-3","RIXTON","Hotel Ceiling",646,"-25",-23,"-69",1.292,"-0.050",12,"795",44,719,216,1.349
"49",49,"=","DAVID GUETTA","Hey Mama  f/Nicki Minaj",533,"+14",108,"-19",3.244,"+0.214",7,"142",49,533,156,3.244
"50",50,"--","SHEPPARD","Geronimo",497,"--",86,"--",2.082,"--",24,"22",47,497,86,2.082
