"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","IMAGINE DRAGONS","Demons",13831,117,1515,-177,92.822,0.867,93,"12",1,13831,1982,92.822
2,"=","MILEY CYRUS","Wrecking Ball",13297,-137,-1073,26,90.046,-1.168,83,"16",1,15459,2954,107.57
3,"=","AVICII","Wake Me Up",12727,-61,-563,95,101.56,-0.232,129,"14",1,17010,2103,116.977
4,"=","EMINEM","The Monster f/Rih...",12585,327,2180,-38,92.723,1.627,35,"2/50",4,12585,2904,92.723
5,"=","LORDE","Royals",11627,-201,-1038,-15,77.209,-0.758,113,"9",1,16495,2817,112.509
6,"=","ONEREPUBLIC","Counting Stars",11623,257,2423,-186,86.834,1.436,52,"6",6,11623,2609,86.834
7,"=","DRAKE","Hold On We're Goi...",10655,-213,-845,-168,60.206,-0.752,114,"25",4,11961,1610,74.25
8,"=","SELENA GOMEZ","Slow Down",9560,-172,-212,-224,51.58,-1.282,107,"57",7,9868,1167,57.795
9,"=","PITBULL","Timber f/Ke$ha",9433,102,1422,-99,62.839,0.639,50,"1",9,9433,1716,62.839
10,"=","KATY PERRY","Unconditionally",8877,-59,358,-240,50.666,-0.627,45,"17",9,8936,3384,51.293
11,"=","ZEDD","Stay The Night f/...",8167,69,632,-106,55.606,0.223,65,"21",11,8167,1238,55.606
12,"=","LADY GAGA","Applause",7842,-102,-2063,343,56.155,-0.515,113,"31",4,12273,3922,81.876
13,"=","KATY PERRY","Roar",6906,-187,-1611,74,49.38,-1.073,114,"13",1,17176,6098,117.145
14,"+1","NEIGHBOURHOOD","Sweater Weather",6631,106,603,39,34.841,0.685,157,"18",14,6631,869,34.841
15,"-1","JUSTIN TIMBERLAKE","TKO",6498,-88,-149,-124,30.339,-0.363,70,"86",11,6739,1724,32.813
16,"=","LADY GAGA","Do What U Want f/...",6335,80,1089,-156,41.984,0.629,35,"19",16,6335,1408,41.984
17,"=","JASON DERULO","Marry Me",6133,15,259,8,31.751,-0.012,80,"40",14,6133,856,31.947
18,"=","PASSENGER","Let Her Go",5392,171,974,65,31.726,0.591,65,"10",18,5392,1223,31.726
19,"=","ONE DIRECTION","Story Of My Life",5132,9,697,-204,29.919,-0.001,34,"8",19,5132,1292,29.92
20,"=","MACKLEMORE & RYAN...","White Walls f/ScH...",4922,82,558,-35,27.502,0.405,80,"23",19,4922,762,27.502
21,"=","ELLIE GOULDING","Burn",4391,147,895,55,32.061,1.325,58,"15",21,4391,1109,32.061
22,"=","FALL OUT BOY","Alone Together",2694,-7,215,-50,12.145,0.091,106,"80",22,2701,357,12.145
23,"+2","BRITNEY SPEARS","Perfume",2626,145,781,38,12.213,0.925,24,"93",23,2626,896,12.213
24,"=","SARA BAREILLES","Brave",2549,50,301,36,15.527,0.206,93,"26",24,2549,380,15.527
25,"-2","ENRIQUE IGLESIAS","Heart Attack",2495,-63,-199,-61,10.974,-0.463,58,"91",23,2696,649,13.314
26,"+1","JOHN NEWMAN","Love Me Again",2406,27,363,-20,11.621,0.07,60,"81",26,2406,392,11.621
27,"+1","ZENDAYA","Replay",2309,4,313,-49,9.236,0.072,47,"77",27,2309,457,9.236
28,"-2","TRAVIE MCCOY","Rough Water f/Jas...",2286,-152,-1062,-56,10.671,-0.642,71,"117",20,3883,705,22.115
29,"=","BASTILLE","Pompeii",1941,58,397,2,13.655,0.436,25,"41",29,1941,548,13.655
30,"+1","LORDE","Team",1812,63,856,-108,12.533,0.479,10,"58",30,1812,964,12.533
31,"-1","RIHANNA","What Now",1788,23,-678,334,7.417,-0.117,73,"121",19,4043,821,17.344
32,"+2","A GREAT BIG WORLD","Say Something w/C...",1578,82,630,2,10.625,0.771,11,"7/98",32,1578,656,10.625
33,"-1","FLO RIDA","How I Feel",1578,12,387,-52,7.692,0.145,25,"151",32,1578,439,7.692
34,"-1","CALVIN HARRIS","Thinking About Yo...",1569,20,229,-11,9.552,0.493,32,"245",32,1569,242,9.552
35,"=","NEW POLITICS","Harlem",1398,-24,31,-34,4.63,-0.206,89,"199",33,1422,285,4.934
36,"=","ARIANA GRANDE","Right There f/Big...",1146,-1,74,-11,5.292,0.013,31,"181",36,1171,258,5.513
37,"+1","ROBIN THICKE","Feel Good",1096,20,216,-7,4.104,0.085,16,"--",37,1096,544,4.104
38,"-1","CHRIS WALLACE","Keep Me Crazy",1091,-3,47,-8,2.536,-0.022,90,"--",37,1094,133,2.558
39,"=","LUPE FIASCO","Old School Love f...",988,2,92,-35,5.103,0.086,16,"204",39,988,284,5.103
40,"=","BRUNO MARS","Gorilla",934,-22,-625,174,4.758,-0.061,85,"145",10,7264,1872,38.774
41,"=","CHRIS BROWN","Love More f/Nicki...",885,-8,-8,-9,3.945,-0.015,71,"111",39,1132,161,6.171
42,"=","EMBLEM3","3000 Miles",859,15,121,9,2.616,0.036,17,"--",42,859,149,2.616
43,"+1","DEMI LOVATO","Neon Lights",692,32,305,-19,3.024,0.32,5,"330",43,692,367,3.024
44,"-1","CASH CASH","Take Me Home f/Be...",682,17,-9,17,2.504,0.031,16,"380",43,722,160,2.729
45,"=","KATY PERRY","Dark Horse",676,28,110,11,6.496,0.403,11,"27",45,676,328,6.496
46,"=","THE 1975","Chocolate",620,10,37,0,1.518,0.058,9,"319",46,632,68,1.586
47,"=","MARTIN GARRIX","Animals",597,2,133,-23,5.989,-0.028,3,"65",47,597,169,6.017
48,"=","BIG SEAN","Beware f/Lil Wayn...",571,-1,-11,21,3.48,0.024,37,"136",44,837,225,3.577
49,"=","MKTO","Classic",545,1,45,-2,0.922,0.018,2,"210",49,545,47,0.922
50,"=","JAKE MILLER","Collide",533,4,58,-7,0.858,0.001,2,"--",50,533,65,0.858
