"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","PHARRELL WILLIAMS","Happy",17080,-6,-93,-56,120.235,0.031,76,"1",1,17173,2414,120.293
"2",2,"=","JASON DERULO","Talk Dirty f/2 Chainz",15427,184,1083,78,98.467,1.331,96,"6/20",2,15427,2775,98.467
"3",3,"+1","JOHN LEGEND","All Of Me",14683,174,1682,-125,106.011,1.252,65,"2",3,14683,2520,106.011
"4",4,"-1","KATY PERRY","Dark Horse",14628,-68,-910,80,107.847,-0.998,133,"4",1,17515,2780,123.167
"5",5,"=","LORDE","Team",13550,-278,-1810,-94,91.26,-0.7,132,"26",1,16451,1641,108.342
"6",6,"=","BASTILLE","Pompeii",13289,-291,-1396,-151,88.468,-1.179,147,"11",3,15079,1804,100.897
"7",7,"=","DEMI LOVATO","Neon Lights",9016,96,501,61,52.503,0.46,127,"59",7,9016,967,52.503
"8",8,"=","ALOE BLACC","The Man",8867,91,413,50,43.362,0.371,72,"5",8,8867,1722,43.362
"9",9,"=","AMERICAN AUTHORS","Best Day Of My Life",8801,190,898,122,53.204,1.328,116,"14",9,8801,1116,53.204
"10",10,"+1","JUSTIN TIMBERLAKE","Not A Bad Thing",8009,92,1058,-53,53.409,0.037,40,"8",10,8009,2024,53.409
"11",11,"-1","AVICII","Hey Brother",7995,44,441,-46,48.751,0.358,120,"15",10,7995,816,48.751
"12",12,"=","ONEREPUBLIC","Counting Stars",7537,-61,-521,25,56.417,-1.361,174,"28",1,16524,2609,113.696
"13",13,"=","MARTIN GARRIX","Animals",6698,126,323,84,41.016,1.033,124,"21",13,6698,993,41.016
"14",14,"=","THE CHAINSMOKERS","#Selfie",6049,78,372,-8,29.209,-0.333,46,"12",14,6049,1709,33.093
"15",15,"+2","NAUGHTY BOY","La La La f/Sam Smith",5614,77,563,-10,29.875,0.478,82,"22",15,5614,697,29.875
"16",16,"+2","PARAMORE","Ain't It Fun",5515,95,915,-63,32.927,0.585,55,"18",16,5515,978,32.927
"17",17,"-2","BEYONCE","Drunk In Love f/Jay Z",5333,-297,-1453,-166,28.904,-1.36,75,"35",12,7095,1663,41.601
"18",18,"-2","CASH CASH","Take Me Home f/Bebe Rexha",5300,-281,-1241,-198,30.138,-1.291,138,"91",13,6726,1074,37.25
"19",19,"=","RIXTON","Me And My Broken Heart",4457,133,1053,12,23.61,0.816,33,"52",19,4457,1397,23.61
"20",20,"=","KID INK","Show Me f/Chris Brown",3783,-49,-162,-87,20.364,-0.001,89,"39",19,3945,644,21.33
"21",21,"+1","AUSTIN MAHONE","Mmm Yeah f/Pitbull",3653,78,619,30,16.067,0.166,59,"29",21,3653,619,16.067
"22",22,"-1","MKTO","Classic",3652,75,364,5,16.065,0.443,124,"25",21,3652,570,16.065
"23",23,"=","TIESTO","Red Lights",3444,117,549,46,22.607,0.556,42,"96",23,3444,676,22.607
"24",24,"=","DJ SNAKE & LIL JON","Turn Down For What",3053,56,334,-20,19.551,0.165,75,"7",24,3053,469,19.551
"25",25,"=","PITBULL","Wild Wild Love f/GRL",3037,91,958,-40,20.7,0.762,33,"37",25,3037,1015,20.7
"26",26,"+1","EMINEM","Headlights",2507,65,334,27,12.83,0.466,48,"58",26,2507,453,12.83
"27",27,"-1","BRUNO MARS","Young Girls",2419,-207,-1495,49,12.28,-0.936,112,"155",8,8405,938,46.994
"28",28,"=","A GREAT BIG WORLD","Say Something w/C. Aguilera",2351,-76,-929,111,13.943,-0.42,133,"24",7,10605,1506,64.936
