"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KATY PERRY","Roar",17086,"+3",56,"+11",115.191,"-0.482",63,"3",1,17176,6098,117.145
"2",2,"=","AVICII","Wake Me Up",15776,"+0",816,"-319",105.259,"+0.201",78,"4",2,15776,2103,105.259
"3",3,"=","LORDE","Royals",15767,"+262",1654,"+25",103.705,"+1.417",62,"1",3,15767,2817,103.705
"4",4,"=","LANA DEL REY","Summertime Sadnes...",12508,"-356",-1178,"-389",76.598,"-2.548",102,"27/39",2,13737,1923,88.403
"5",5,"=","JAY Z","Holy Grail f/Just...",11668,"-32",145,"-107",75.937,"-0.411",101,"12",5,11700,2095,78.442
"6",6,"=","LADY GAGA","Applause",11120,"+78",403,"+37",76.796,"+0.614",62,"7",6,11120,3922,76.796
"7",7,"=","MILEY CYRUS","Wrecking Ball",10448,"+239",1956,"-13",72.381,"+2.135",32,"2",7,10448,2954,72.381
"8",8,"=","DRAKE","Hold On We're Goi...",9969,"+41",450,"-63",63.306,"+0.310",63,"6",7,9969,1610,63.306
"9",9,"=","CAPITAL CITIES","Safe And Sound",8827,"-362",-2175,"-151",60.333,"-1.748",175,"25",2,13601,1309,86.941
"10",10,"=","PARAMORE","Still Into You",7617,"+58",563,"+57",46.958,"+0.072",157,"28",10,7617,961,46.958
"11",11,"=","SELENA GOMEZ","Slow Down",7031,"+93",705,"-27",40.354,"+0.772",56,"35",11,7031,1167,40.354
"12",12,"=","BRUNO MARS","Gorilla",6423,"-11",343,"-124",38.197,"+0.261",34,"26",12,6434,1872,38.197
"13",13,"=","ROBIN THICKE","Give It 2 U f/Ken...",6274,"+105",246,"+106",33.892,"+0.287",70,"49",13,6274,1340,33.892
"14",14,"=","ROBIN THICKE","Blurred Lines f/P...",5583,"-280",-1515,"-219",38.759,"-1.529",157,"21",1,16771,2544,113.5
"15",15,"=","TAYLOR SWIFT","Everything Has .....",5498,"+50",166,"+2",31.352,"+0.363",91,"42",15,5498,990,31.352
"16",16,"=","BRITNEY SPEARS","Work Bitch",5358,"+22",523,"-105",31.073,"+0.437",28,"24",16,5358,3487,31.073
"17",17,"=","JUSTIN TIMBERLAKE","TKO",4336,"+160",1324,"-26",25.914,"+0.836",19,"75",17,4336,1724,25.914
"18",18,"+1","AWOLNATION","Sail",4075,"+28",156,"+0",18.435,"+0.232",143,"29",18,4079,550,18.435
"19",19,"-1","EMINEM","Berzerk",4029,"-111",-255,"-159",16.976,"-0.846",47,"14/99",18,4302,1757,19.955
"20",20,"+1","TEGAN & SARA","Closer",3937,"+18",220,"-95",19.57,"+0.209",119,"126",20,3937,570,19.57
"21",21,"-1","MACKLEMORE & RYAN...","Same Love f/Mary ...",3750,"-241",-1802,"+107",26.404,"-1.029",142,"65",5,11178,1815,71.324
"22",22,"=","IMAGINE DRAGONS","Demons",3467,"+145",916,"+159",19.925,"+0.866",42,"15",22,3467,916,19.925
"23",23,"+1","JASON DERULO","Marry Me",3244,"+112",700,"-19",15.876,"+0.900",29,"32",23,3244,856,15.876
"24",24,"-1","PINK","True Love f/Lily ...",3177,"+18",89,"+38",13.271,"+0.015",84,"88",22,3177,503,13.47
"25",25,"+1","NEIGHBOURHOOD","Sweater Weather",2307,"+42",81,"+38",8.348,"+0.216",106,"41",25,2307,262,8.348
"26",26,"-1","FIFTH HARMONY","Miss Movin' On",2306,"-10",-8,"-64",11.528,"+0.058",96,"105",25,2347,324,11.528
"27",27,"+1","RIHANNA","What Now",2205,"+134",539,"+112",8.474,"+0.624",22,"211",27,2205,821,8.474
"28",28,"-1","MILEY CYRUS","We Can't Stop",2196,"-47",-330,"+44",14.169,"+0.052",130,"11",9,9405,1276,55.184
"29",29,"+1","TRAVIE MCCOY","Rough Water f/Jas...",2012,"+34",407,"-29",12.634,"+0.408",20,"111",29,2012,705,12.634
