"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RIHANNA We Found Love f/Calvin Harris",14115,32,75,-29,94.86,-0.009,80,"1",1,14115,2184,94.869
2,"=","LMFAO Sexy And I Know It",11815,-34,-185,-99,74.015,-0.396,109,"2",2,12000,1530,74.768
3,"+1","BRUNO MARS It Will Rain",11506,200,1962,-59,67.263,1.333,72,"4",3,11506,2024,67.263
4,"-1","DAVID GUETTA Without You f/Usher",11384,-143,-1403,34,67.579,-0.958,109,"17",1,13428,1586,84.476
5,"=","KATY PERRY The One That Got Away",11286,114,1230,-126,70.433,0.731,68,"5",4,11286,1631,70.433
6,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",9608,-81,-1234,16,63.871,-0.462,168,"22",1,13951,1685,86.013
7,"=","FLO RIDA Good Feeling",9397,92,629,-49,61.696,0.925,80,"3",7,9397,1207,61.696
8,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",7722,-106,-1105,71,49.705,-0.555,158,"14",1,14127,1893,93.336
9,"=","ADELE Someone Like You",7288,-116,-890,17,54.481,-0.441,129,"7",2,13563,2614,91.686
10,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",6657,-118,-1123,80,43.042,-0.882,183,"41",4,11548,1097,70.438
11,"=","KELLY CLARKSON Mr. Know It All",6408,4,75,17,33.958,-0.081,101,"43",11,6408,1093,34.137
12,"=","SELENA GOMEZ & THE SCENE Love You Like A...",6246,125,1048,1,32.27,0.438,113,"34",12,6246,1048,32.27
13,"=","T-PAIN 5 O'clock f/Wiz Khalifa",6146,95,637,45,33.278,0.566,67,"9",12,6146,1264,33.278
14,"=","LADY GAGA Marry The Night",5120,58,463,-6,28.368,0.235,35,"37",14,5120,1570,28.368
15,"=","DEV In The Dark",4570,-51,-424,125,36.205,-0.172,138,"92",8,8037,1224,51.486
16,"=","GAVIN DEGRAW Not Over You",4431,98,464,46,20.716,0.363,111,"24",16,4431,545,20.716
17,"+1","JESSIE J Domino",4031,90,399,12,22.97,0.807,89,"29",17,4031,600,22.97
18,"-1","DRAKE Headlines",4003,38,414,-7,27.07,0.084,59,"25",17,4003,754,27.07
19,"=","RIHANNA You Da One",3836,16,112,-41,21.878,0.298,33,"23",19,3836,3394,36.963
20,"+1","J. COLE Workout",3531,120,543,36,27.16,0.101,51,"19",20,3531,631,27.16
21,"+2","BREATHE CAROLINA Blackout",3321,58,389,-11,18.265,0.436,111,"47",21,3321,498,18.265
22,"-2","NICKI MINAJ Fly f/Rihanna",3312,-248,-1433,-202,17.949,-1.251,87,"62",15,4998,987,27.303
23,"-1","JASON DERULO It Girl",3243,-100,-860,150,14.267,-0.461,118,"51",10,6647,1048,29.647
24,"=","HOT CHELLE RAE I Like It Like That f/New...",3043,42,270,-13,13.563,0.3,75,"33",24,3043,407,13.563
25,"=","ADELE Set Fire To The Rain",2989,209,1120,83,19.112,1.191,19,"8",25,2989,1120,19.112
26,"=","JAY Z & KANYE WEST N***** In Paris",2856,87,657,-1,18.142,1.21,38,"6",25,2856,658,18.142
27,"=","LADY ANTEBELLUM Just A Kiss",2546,-56,-201,-48,12.29,-0.249,84,"48",23,2755,525,13.059
28,"=","FRAY Heartbeat",2387,7,5,2,11.763,-0.072,48,"73",27,2387,677,12.101
29,"=","OUTASIGHT Tonight Is The Night",2364,5,213,-66,12.505,-0.031,43,"54",29,2364,500,12.701
30,"=","PITBULL F/CHRIS BROWN International Love",1952,20,293,-21,15.493,0.324,41,"26",30,1952,418,15.493
31,"+1","AVRIL LAVIGNE Wish You Were Here",1845,33,145,27,7.079,0.16,38,"77",31,1845,503,7.079
32,"-1","ALEXANDRA STAN Mr. Saxobeat",1834,-53,-241,-44,16.905,-0.112,143,"141",18,4585,673,38.816
33,"=","LADY GAGA You And I",1425,-118,-765,-60,6.71,-0.649,127,"65",7,7824,1553,44.474
34,"=","GYM CLASS HEROES Ass Back Home",1347,63,317,27,9.939,0.629,20,"222",34,1347,385,9.939
35,"=","TIMBALAND Pass At Me f/Pitbull",1122,-12,25,-43,7.062,-0.127,31,"227",35,1142,319,7.395
36,"=","KARMIN Crash Your Party",1065,13,40,-10,4.835,-0.038,31,"406",36,1073,234,5.128
37,"=","WE THE KINGS Say You Like Me",1024,16,42,5,2.525,0.037,86,"651",37,1024,320,2.525
38,"=","TAIO CRUZ Hangover f/Flo Rida",966,-19,-65,-23,3.264,-0.058,47,"275",35,1035,194,3.767
39,"=","BIG TIME RUSH Music Sounds Better With U",934,8,148,-24,3.133,-0.009,17,"--",39,934,221,3.142
40,"=","JOJO Disaster",898,28,110,34,1.925,0.071,31,"883",40,898,197,1.925
41,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",850,12,152,-14,4.087,0.205,20,"12",41,850,194,4.087
42,"=","COLBIE CAILLAT Brighter Than The Sun",804,-7,5,-17,2.239,-0.021,38,"98",41,832,119,2.26
43,"+2","WILL.I.AM T.H.E (The Hardest Ever)",659,68,309,48,1.702,0.113,6,"97",43,659,309,1.702
44,"-1","COLDPLAY Princess Of China",620,-10,26,-39,3.209,-0.108,18,"206",43,642,149,3.487
45,"-1","BIG SEAN Dance (A$$)",613,5,103,-19,3.265,0.265,10,"18",44,613,139,3.265
46,"+2","DAVID GUETTA Turn Me On f/Nicki Minaj",601,95,432,78,4.137,0.588,3,"84",46,601,432,4.137
47,"=","DAUGHTRY Crawling Back To You",562,6,0,2,1.829,0.031,47,"366",46,573,134,1.859
48,"-2","THE CAB Bad",557,-14,-61,-10,1.155,-0.006,57,"724",45,655,106,1.379
49,"=","FREESOL Fascinated",370,-3,-9,-1,0.532,0.009,7,"--",49,383,96,0.612
50,"=","TINIE TEMPAH Pass Out",342,-7,-8,-10,0.488,-0.005,3,"--",50,354,8,0.495
