"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL Give Me Everything f/Ne-Yo",14047,276,499,233,94.459,0.924,58,1,14047,1811,94.459
2,"=","ADELE Rolling In The Deep",12641,92,-563,197,86.748,0.018,58,1,14295,2273,96.15
3,"=","LMFAO Party Rock Anthem",11785,321,1405,88,77.319,1.482,58,3,11785,1859,77.319
4,"=","LADY GAGA The Edge Of Glory",11424,115,404,47,66.604,0.148,58,3,11424,2193,66.604
5,"=","KATY PERRY Last Friday Night (T.G.I.F.)",10176,423,1923,79,65.319,1.895,41,5,10176,2124,65.319
6,"=","LUPE FIASCO The Show Goes On",8788,29,131,-35,50.911,0.18,58,6,8788,1043,53.459
7,"+1","BLACK EYED PEAS Just Can't Get Enough",7848,152,-848,418,57.345,0.462,58,2,13366,715,84.474
8,"-1","KATY PERRY E.T.",7843,-4,-1270,261,55.359,-0.494,58,1,14624,0,96.745
9,"+1","NICKI MINAJ Super Bass",7324,112,839,-58,45.323,0.812,58,9,7324,1188,45.323
10,"-1","BRUNO MARS Lazy Song",7165,-115,-1335,112,35.274,-0.399,58,3,11422,1054,61.587
11,"=","JASON DERULO Don't Wanna Go Home",7158,150,312,129,36.924,0.099,56,10,7158,1463,37.039
12,"=","ONEREPUBLIC Good Life",7005,74,758,-54,41.069,0.276,58,12,7005,898,41.069
13,"=","HOT CHELLE RAE Tonight Tonight",6753,95,438,44,35.515,0.541,58,12,6753,838,35.515
14,"=","BRITNEY SPEARS Till The World Ends",5874,106,-430,280,38.73,-0.014,58,3,11896,966,75.819
15,"=","BRITNEY SPEARS I Wanna Go",4785,192,1256,-30,32.666,0.764,24,15,4785,1768,32.666
16,"=","JENNIFER LOPEZ F/PITBULL On The Floor",4592,85,-361,189,32.219,-0.134,58,5,10169,668,65.118
17,"=","NICOLE SCHERZINGER Right There",4029,55,281,-28,20.255,0.191,42,17,4029,720,20.255
18,"=","THE BAND PERRY If I Die Young",3654,60,424,-1,18.743,0.366,58,18,3654,655,18.743
19,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3625,75,360,-18,17.622,0.29,58,19,3625,525,17.622
20,"+1","RIHANNA California King Bed",3582,63,280,-18,14.79,0.193,53,19,3582,616,14.846
21,"-1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3407,-114,-428,-100,17.155,-0.676,56,18,3879,864,21.943
22,"+1","BEYONCE Best Thing I Never Had",3216,67,545,-13,16.723,0.354,30,22,3216,856,16.723
23,"-1","TAYLOR SWIFT The Story Of Us",3124,-51,-130,-15,14.956,-0.415,58,21,3295,587,17.303
24,"=","WIZ KHALIFA Roll Up",2911,-191,-1378,-24,13.916,-0.738,58,14,5043,725,26.478
25,"+1","TINIE TEMPAH Written In The Stars",2758,14,-352,132,17.177,0.021,58,7,8819,756,54.175
26,"-1","MARTIN SOLVEIG & DRAGONETTE Hello",2738,-83,-780,36,20.344,-0.038,58,18,4031,605,23.761
27,"=","SELENA GOMEZ & THE SCENE Who Says",2602,-142,-1404,30,10.708,-0.576,58,17,4559,707,27.282
28,"=","CHRIS BROWN She Ain't You",2549,99,609,8,13.265,0.56,47,28,2549,635,13.265
29,"+1","LIL WAYNE How To Love",2500,158,765,71,14.166,0.913,33,29,2500,765,14.166
30,"-1","MAROON 5 Never Gonna Leave This Bed",2389,-44,94,-74,10.028,-0.133,58,28,2433,312,10.24
31,"=","JEREMIH Down On Me f/50 Cent",2197,-24,-323,53,14.666,-0.197,58,10,8052,153,44.2
32,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1932,42,395,-3,10.127,0.061,33,32,1932,502,10.127
33,"=","AVRIL LAVIGNE Smile",1425,35,156,-9,5.197,0.269,40,33,1425,226,5.197
34,"=","T-PAIN Best Love Song f/Chris Brown",1318,-16,-38,-34,7.091,-0.052,56,33,1369,260,7.187
35,"=","IYAZ Pretty Girls",1211,44,240,25,4.375,0.124,33,35,1211,271,4.375
36,"+1","BAD MEETS EVIL Lighters f/Bruno Mars",1171,119,602,67,6.046,0.691,12,36,1171,602,6.046
37,"-1","COBRA STARSHIP You Make Me Feel... f/Sab...",1142,67,226,41,5.048,0.465,24,36,1142,257,5.048
38,"=","CEE LO GREEN Bright Lights Bigger City",1042,8,95,-10,3.317,-0.032,39,37,1042,170,3.418
39,"=","NEW BOYZ Back Seat f/Cataracs & Dev",1008,37,-105,90,6.375,0.107,58,17,4096,331,21.342
40,"+1","COLDPLAY Every Teardrop Is A Waterfall",966,59,269,25,4.301,0.13,13,40,966,446,4.301
41,"-1","CHRIS BROWN Look At Me Now",935,23,-31,33,7.38,0.183,58,28,1861,229,12.746
42,"=","BIG SEAN My Last f/Chris Brown",872,23,89,6,4.195,0.184,33,40,872,169,4.195
43,"=","ALL TIME LOW I Feel Like Dancin�",827,21,46,35,2.165,0.062,19,41,827,294,2.313
44,"=","BLACK EYED PEAS Don't Stop The Party",780,53,482,-10,2.823,0.152,6,44,780,492,2.823
45,"=","AFROJACK Take Over Control f/Eva Simons",762,39,220,11,7.648,0.126,18,44,762,234,7.648
46,"=","ANDY GRAMMER Keep Your Head Up",713,41,270,0,2.353,0.128,12,45,713,270,2.353
47,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",651,55,252,34,2.936,0.313,9,47,651,252,2.936
48,"=","TRAIN Save Me San Francisco",510,-24,-33,-26,1.963,-0.032,38,44,551,92,2.155
49,"+1","KELLY ROWLAND Motivation f/Lil Wayne",503,32,167,1,1.994,0.081,3,49,503,167,1.994
50,"-1","CODY SIMPSON On My Mind",495,14,87,-1,1.503,0.11,19,47,495,89,1.503
