"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KE$HA","Die Young",15591,100,672,-6,121.451,1.227,71,"16",1,15591,3842,121.451
"2",2,"=","BRUNO MARS","Locked Out Of Heaven",14041,291,2071,44,108.238,1.625,65,"1",2,14041,2790,108.238
"3",3,"+1","RIHANNA","Diamonds",12723,156,1289,-46,96.222,0.696,70,"9",3,12723,2812,96.222
"4",4,"-1","MAROON 5","One More Night",12405,-191,-1280,-107,96.143,-1.285,140,"21",1,15401,1593,119.954
"5",5,"=","NE-YO","Let Me Love You",12225,123,580,81,90.037,0.391,118,"42",4,12225,1345,90.037
"6",6,"=","FUN.","Some Nights",10198,-248,-1877,-135,72.977,-1.314,178,"23",2,13297,1295,93.147
"7",7,"=","FLO RIDA","I Cry",9358,86,924,-106,68.656,0.739,81,"15",7,9358,1268,68.656
"8",8,"=","ALEX CLARE","Too Close",8008,-289,-2128,-69,50.736,-2.141,190,"59",4,11973,1328,81.998
"9",9,"=","LUMINEERS","Ho Hey",7511,289,1759,65,58.426,1.46,80,"4",9,7511,1759,58.426
"10",10,"=","PHILLIP PHILLIPS","Home",7337,135,515,104,49.449,-0.286,147,"10",10,7337,1033,49.801
"11",11,"+1","JUSTIN BIEBER","Beauty And A Beat f/...",6917,128,879,20,52.671,1.194,48,"11",11,6917,1998,52.671
"12",12,"-1","CHRIS BROWN","Don't Wake Me Up",6828,-237,-1813,-20,47.44,-1.586,171,"89",6,10385,1456,75.301
"13",13,"+1","NICKI MINAJ","Va Va Voom",6265,-18,135,-55,45.452,0.232,47,"39",13,6283,1566,45.452
"14",14,"-1","TAYLOR SWIFT","We Are Never Ever Ge...",5974,-393,-2352,-156,40.269,-2.148,113,"46",2,13523,4592,90.881
"15",15,"=","PINK","Try",5816,155,1137,50,37.602,0.887,38,"18",15,5816,1515,37.602
"16",16,"=","ED SHEERAN","The A Team",5739,97,559,35,48.183,0.988,108,"33",15,5739,868,48.183
"17",17,"=","SWEDISH HOUSE MAFIA","Don't You Worry Chil...",5005,114,579,17,41.249,1.08,87,"25",17,5005,904,41.249
"18",18,"=","ONEREPUBLIC","Feel Again",3971,-43,-128,11,23.853,-0.149,90,"37",18,4153,813,25.014
"19",19,"=","PITBULL","Don't Stop The Party",3666,14,465,-45,24.88,0.695,59,"31",19,3666,554,24.88
"20",20,"=","TAYLOR SWIFT","I Knew You Were Trou...",3605,400,2349,262,26.465,2.41,16,"6",20,3605,2349,26.465
"21",21,"=","THE SCRIPT","Hall Of Fame f/will....",3177,61,164,39,16.609,0.25,80,"34",20,3177,493,16.609
"22",22,"=","KELLY CLARKSON","Catch My Breath",2998,99,485,88,17.686,0.608,40,"58",22,2998,767,17.686
"23",23,"+1","IMAGINE DRAGONS","It's Time",2568,46,275,23,18.034,-0.012,73,"38",23,2568,446,18.046
"24",24,"-1","BRIDGIT MENDLER","Ready Or Not",2548,8,86,-4,15.563,0.076,93,"108",23,2548,336,15.584
"25",25,"=","ELLIE GOULDING","Anything Could Happe...",2445,-10,22,-34,14.031,-0.125,73,"53",25,2455,455,14.156
"26",26,"+2","CALVIN HARRIS","Sweet Nothing f/Flor...",2271,150,875,80,22.233,0.759,20,"47",26,2271,875,22.233
"27",27,"-1","PSY","Gangnam Style",2240,-51,-584,38,15.007,-0.324,87,"8",10,7746,1695,59.817
"28",28,"+1","CHER LLOYD","Oath f/Becky G",2108,22,126,-3,10.498,-0.034,59,"109",28,2108,343,11.061
"29",29,"+1","ALICIA KEYS","Girl On Fire",2088,34,443,-31,19.502,0.261,43,"13/54",29,2088,474,19.502
"30",30,"+2","ONE DIRECTION","Little Things",1976,120,726,39,13.213,0.23,17,"77",30,1976,789,13.213
"31",31,"=","LUDACRIS F/USHER/DAV...","Rest Of My Life",1976,47,385,-28,15.428,0.741,23,"142",31,1976,615,15.428
"32",32,"-5","ENRIQUE IGLESIAS","Finally Found You f/...",1868,-259,-1782,-57,12.579,-1.325,98,"159",12,7155,1803,47.652
"33",33,"=","HUNTER HAYES","Wanted",1830,49,197,20,9.926,0.552,52,"43",31,1830,368,9.926
"34",34,"+1","MAROON 5","Daylight",1759,169,1039,68,9.719,0.909,12,"135",34,1759,1039,9.719
"35",35,"-1","TRAIN","50 Ways To Say Goodb...",1552,-74,-637,25,9.756,-0.402,123,"78",16,4812,717,29.769
"36",36,"+1","CHRIS WALLACE","Remember When (Push ...",1481,25,86,37,5.937,0.088,115,"--",32,1481,131,5.937
"37",37,"-1","ONE DIRECTION","Live While We're You...",1445,-120,-621,-71,8.054,-0.568,76,"99",15,5363,2151,28.68
"38",38,"+1","WILL.I.AM & BRITNEY ...","Scream And Shout",1383,125,867,80,10.077,0.797,10,"2",38,1383,867,10.077
"39",39,"-1","MEGAN & LIZ","Bad For Me",1281,1,16,23,3.948,0.061,87,"--",33,1330,313,4.799
"40",40,"=","MIGUEL","Adorn",1262,35,105,55,8.116,0.26,52,"112",37,1262,248,9.94
"41",41,"=","THE READY SET","Give Me Your Hand",1211,8,93,-15,3.935,-0.001,38,"--",39,1211,324,3.936
"42",42,"+1","THE WANTED","I Found You",927,14,20,21,7.507,0.125,54,"130",42,931,173,7.507
"43",43,"+1","OF MONSTERS AND MEN","Little Talks",897,32,167,9,3.569,0.12,17,"57",43,897,185,3.569
"44",44,"-2","CARLY RAE JEPSEN","This Kiss",877,-50,-267,-45,4.041,-0.401,54,"232",36,1149,234,5.767
"45",45,"+1","MACKLEMORE & RYAN LE...","Thrift Shop f/Wanz",752,30,138,18,8.184,0.346,17,"20",45,752,160,8.184
"46",46,"-1","CONOR MAYNARD","Turn Around f/Ne-Yo",736,12,38,0,2.725,0.031,28,"--",44,736,281,2.803
"47",47,"=","KANYE WEST","Clique f/Big Sean & ...",384,-11,-54,-2,1.955,-0.099,29,"48",47,466,94,3.286
"48",48,"=","THE CAB","Endlessly",376,11,25,11,1.169,0.068,8,"--",48,376,52,1.169
"49",49,"=","SAM AND THE WOMP","Bom Bom",370,7,31,-1,1.224,0.01,5,"--",48,370,73,1.255
"50",50,"=","JONN HART","Who Booty f/French M...",364,18,120,11,1.776,0.058,2,"307",50,364,120,1.776
