"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",14295,49,395,1,96.15,0.537,30,1,14295,2273,96.15
"2",2,"=","KATY PERRY E.T.",12167,-154,-752,-33,82.706,-1.342,30,1,14624,0,96.745
"3",3,"=","BLACK EYED PEAS Just Can't Get Enough",11908,-117,-975,55,76.826,-0.114,30,2,13366,715,84.474
"4",4,"=","BRUNO MARS Lazy Song",11422,17,870,-54,61.561,0.008,30,4,11422,1054,61.561
"5",5,"+1","PITBULL Give Me Everything f/Ne-Yo",10602,222,1462,9,75.726,1.374,30,5,10602,1811,75.726
"6",6,"-1","BRITNEY SPEARS Till The World Ends",10507,-127,-775,44,69.053,-1.271,30,3,11896,966,75.819
"7",7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9108,-230,-866,-179,57.408,-1.189,30,5,10169,668,65.118
"8",8,"=","LADY GAGA The Edge Of Glory",7425,279,1642,119,44.232,1.563,30,8,7425,2193,44.232
"9",9,"=","LUPE FIASCO The Show Goes On",7188,79,887,-113,43.087,0.167,30,9,7188,1043,43.087
"10",10,"=","TINIE TEMPAH Written In The Stars",6790,-220,-1208,-105,36.994,-1.437,30,7,8819,756,54.175
"11",11,"+2","LMFAO Party Rock Anthem",5462,231,1286,82,40.16,1.7,30,11,5462,1286,40.16
"12",12,"-1","KE$HA Blow",5267,-121,-793,-7,32.754,-0.831,30,4,10135,0,56.264
"13",13,"+1","JASON DERULO Don't Wanna Go Home",5261,110,1023,-26,28.76,0.767,28,13,5261,1463,28.76
"14",14,"-2","RIHANNA S&M",5236,-76,-532,44,34.379,-0.926,30,5,10081,0,64.524
"15",15,"=","JESSIE J Price Tag f/B.O.B",4866,-203,-772,-137,24.062,-0.637,30,12,5959,582,30.453
"16",16,"+1","WIZ KHALIFA Roll Up",4806,50,367,11,26.433,0.075,30,16,4806,725,26.433
"17",17,"-1","THE SCRIPT For The First Time",4719,-91,-906,65,27.485,-0.364,30,11,6229,433,33.625
"18",18,"=","HOT CHELLE RAE Tonight Tonight",4667,64,587,-5,22.947,0.415,30,18,4667,643,22.947
"19",19,"=","SELENA GOMEZ & THE SCENE Who Says",4447,-3,216,-58,25.999,-0.023,30,17,4450,707,26.291
"20",20,"=","ONEREPUBLIC Good Life",4282,98,401,66,21.801,0.475,30,20,4282,580,21.801
"21",21,"=","JEREMIH Down On Me f/50 Cent",3932,-75,-993,83,23.246,-0.228,30,10,8052,153,44.2
"22",22,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3803,11,189,-30,20.072,-0.043,30,22,3803,605,21.932
"23",23,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3562,-194,-481,-194,19.605,-0.785,30,17,4096,331,21.342
"24",24,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3303,63,634,-21,19.839,0.139,28,24,3303,864,19.839
"25",25,"=","NICKI MINAJ Super Bass",3283,126,673,41,19.405,0.999,30,25,3283,834,19.405
"26",26,"=","TAYLOR SWIFT The Story Of Us",3063,42,316,28,15.247,0.315,30,24,3063,587,15.247
"27",27,"+2","KATY PERRY Last Friday Night (T.G.I.F.)",2329,268,1343,163,14.611,1.528,13,27,2329,1343,14.611
"28",28,"-1","LADY GAGA Born This Way",2298,-66,-236,-55,12.587,-0.181,30,19,3651,0,20.436
"29",29,"-1","RIHANNA California King Bed",2282,50,461,-19,11.195,0.252,25,28,2282,616,11.195
"30",30,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",2102,68,411,35,9.6,0.473,30,29,2102,525,9.6
"31",31,"=","SHONTELLE Say Hello To Goodbye",1768,-7,89,-30,5.596,-0.033,30,29,1775,174,5.629
"32",32,"+1","NICOLE SCHERZINGER Right There",1710,82,627,13,9.826,0.351,14,32,1710,697,9.826
