"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","BRITNEY SPEARS I Wanna Go",11951,-165,-699,-96,72.712,-1.102,94,"29",1,12853,1768,82.422
"2",2,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",11922,201,1242,29,78.091,1.372,69,"1",2,11922,1893,78.091
"3",3,"=","BAD MEETS EVIL Lighters f/Bruno Mars",11790,86,804,9,77.893,0.813,82,"14",3,11790,1599,77.893
"4",4,"=","KATY PERRY Last Friday Night (T.G.I.F.)",11432,-197,-747,-166,66.741,-1.51,111,"31",1,14935,2322,96.531
"5",5,"=","NICKI MINAJ Super Bass",10429,-84,-618,58,65.431,0.264,128,"21",3,12009,1188,73.23
"6",6,"=","LMFAO Party Rock Anthem",9871,-179,-1160,-19,66.446,-1.223,128,"9",1,14043,1859,94.193
"7",7,"=","FOSTER THE PEOPLE Pumped Up Kicks",8816,84,797,-25,52.58,0.645,64,"3",7,8816,1302,52.58
"8",8,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",8169,152,1094,2,48.82,0.588,79,"4",8,8169,1218,48.82
"9",9,"=","PITBULL Give Me Everything f/Ne-Yo",7869,6,-386,113,56.445,0.219,128,"23",1,14233,1811,95.596
"10",10,"+1","RIHANNA Cheers (Drink To That)",7721,89,675,7,43.071,0.512,50,"8",10,7721,1594,43.071
"11",11,"+1","COBRA STARSHIP You Make Me Feel... f/Sab...",7662,81,672,-33,48.106,0.491,94,"6",11,7662,1017,48.106
"12",12,"-2","ONEREPUBLIC Good Life",7638,-76,-421,-19,46.031,-0.487,128,"13",6,9571,978,57.364
"13",13,"=","HOT CHELLE RAE Tonight Tonight",6692,-207,-1190,-27,36.771,-1.682,128,"20",5,10036,838,54.593
"14",14,"=","LADY GAGA You And I",6630,31,733,-114,37.872,0.102,38,"7",14,6630,1553,37.872
"15",15,"=","ADELE Someone Like You",5898,252,1628,74,39.288,2.376,40,"2",15,5898,1628,39.288
"16",16,"+1","DEV In The Dark",5369,135,996,12,36.994,0.705,49,"11",16,5369,1224,36.994
"17",17,"-1","LIL WAYNE How To Love",5237,-221,-1223,-123,34.789,-0.846,103,"16",9,8047,1328,45.275
"18",18,"=","IYAZ Pretty Girls",4708,-47,142,-101,22.127,-0.189,103,"36",17,4770,659,22.767
"19",19,"=","THE BAND PERRY If I Die Young",3811,-129,-1132,95,20.945,-0.544,128,"22",11,6052,768,32.555
"20",20,"+1","JASON DERULO It Girl",3776,77,603,18,18.138,0.207,29,"18",20,3776,1048,18.138
"21",21,"-1","LADY GAGA The Edge Of Glory",3641,-60,-395,-24,20.773,-0.419,128,"57",3,11672,2193,68.045
"22",22,"+1","DAVID GUETTA Without You f/Usher",3519,250,1342,88,22.562,1.328,20,"10",22,3519,1342,22.562
"23",23,"-1","THE SCRIPT Nothing",3423,57,376,11,16.413,0.303,48,"33",21,3423,722,16.413
"24",24,"=","ALEXANDRA STAN Mr. Saxobeat",3002,-5,314,-75,25.129,-0.08,54,"27",23,3007,567,25.216
"25",25,"=","AFROJACK Take Over Control f/Eva Simons",2832,8,263,-19,22.935,-0.006,88,"49",25,2832,435,22.941
"26",26,"=","KELLY ROWLAND Motivation f/Lil Wayne",2822,56,100,53,13.621,-0.171,73,"54",21,2822,415,15.279
"27",27,"=","ANDY GRAMMER Keep Your Head Up",2420,1,-25,-39,9.483,-0.094,82,"74",25,2465,355,9.941
"28",28,"=","MARTIN SOLVEIG & DRAGONETTE Hello",2136,-19,-195,-11,13.397,-0.351,128,"73",18,4031,605,23.761
"29",29,"=","KELLY CLARKSON Mr. Know It All",2105,122,1036,-57,10.732,0.866,12,"30",29,2105,1093,10.732
"30",30,"=","NEW BOYZ Better With The Lights Off",1858,0,240,-47,5.671,0.059,42,"45",29,1858,423,5.671
"31",31,"=","LMFAO Sexy And I Know It",1772,106,736,27,10.125,0.58,20,"12",31,1772,736,10.125
"32",32,"=","PATRICK STUMP This City f/Lupe Fiasco",1188,55,334,10,4.919,0.186,19,"313",32,1188,340,4.919
"33",33,"+1","DJ KHALED I'm On One f/Drake, Rick Ross",1126,17,92,7,9.153,0.145,30,"52",33,1126,297,9.153
"34",34,"-1","MATT NATHANSON Faster",1111,-2,-16,-11,3.706,0.084,66,"115",32,1139,166,3.706
"35",35,"=","WIZ KHALIFA No Sleep",1069,8,54,-2,3.655,-0.106,33,"75",34,1069,246,3.907
"36",36,"=","SELENA GOMEZ & THE SCENE Love You Like A...",1045,48,219,38,4.09,0.207,24,"46",36,1045,306,4.09
"37",37,"=","SWEDISH HOUSE MAFIA Save The World",995,1,46,-3,3.875,-0.092,42,"169",36,995,229,4.776
"38",38,"=","DEMI LOVATO Skyscraper",968,20,151,11,5.345,0.19,35,"50",38,968,151,5.345
"39",39,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",836,-20,-345,40,4.227,-0.092,128,"--",12,5432,615,27.03
"40",40,"=","PITBULL Rain Over Me",777,-63,-682,40,3.695,-0.201,68,"60",19,3403,813,19.382
"41",41,"=","GAVIN DEGRAW Not Over You",730,5,66,1,2.188,0.047,22,"39",41,730,243,2.188
"42",42,"+1","LLOYD Dedication To My Ex...",711,35,141,27,3.484,0.08,13,"400",42,711,227,3.484
"43",43,"-1","SKYLAR GREY Invisible",678,-1,36,-2,1.567,0.034,28,"--",42,683,131,1.567
"44",44,"=","COLDPLAY Every Teardrop Is A Waterfall",581,-41,-557,66,3.358,-0.22,83,"56",26,2154,446,11.589
"45",45,"=","BREATHE CAROLINA Blackout",515,-2,23,-19,0.939,-0.032,22,"461",45,517,92,1.012
"46",46,"=","SEAN PAUL Got 2 Luv U f/Alexis Jordan",457,4,105,-13,1.322,-0.005,5,"137",46,457,126,1.327
"47",47,"=","KREAYSHAWN Gucci Gucci",456,13,20,11,2.05,0.025,8,"59",46,456,81,2.05
"48",48,"=","TYGA Far Away f/Chris Richardson",412,0,97,-15,0.864,0.034,5,"133",48,412,112,0.864
"49",49,"=","SIMPLE PLAN Jet Lag f/Natasha Bedingfiel...",337,-7,-21,-17,0.705,-0.005,5,"--",49,344,33,0.71
"50",50,"=","LIGHTS OVER PARIS I'm Not A Gangsta f/Ga...",301,-1,-15,-4,0.391,-0.008,3,"--",50,304,0,0.411
