"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","TAYLOR SWIFT","I Knew You Were Troubl...",15929,-46,-50,-45,124.559,-0.711,88,"9",1,16073,2452,126.481
"2",2,"=","SWEDISH HOUSE MAFIA","Don't You Worry Child",14294,118,805,12,112.332,0.97,159,"19",2,14294,1905,112.332
"3",3,"=","WILL.I.AM & BRITNEY SP...","Scream And Shout",12578,26,853,-136,98.92,-0.486,82,"8",3,12578,2182,99.406
"4",4,"=","MACKLEMORE & RYAN LEWI...","Thrift Shop f/Wanz",11390,220,1727,-58,87.196,1.485,89,"1",4,11390,2020,87.196
"5",5,"=","BRUNO MARS","Locked Out Of Heaven",10748,-92,-703,-19,86.715,-0.592,137,"11",1,15928,2790,124.488
"6",6,"+1","MAROON 5","Daylight",9878,172,1286,-22,71.983,1.623,84,"13",6,9878,1308,71.983
"7",7,"-1","JUSTIN BIEBER","Beauty And A Beat f/N....",9820,-336,-2090,-104,73.584,-1.314,120,"40",2,12731,1998,87.772
"8",8,"=","LUMINEERS","Ho Hey",9482,-161,-978,-10,74.229,-1.466,152,"6",2,13545,1921,101.636
"9",9,"=","PINK","Try",8953,-172,-742,-64,57.398,-2.003,110,"25",6,9909,1515,66.33
"10",10,"=","CALVIN HARRIS","Sweet Nothing f/Floren...",8627,166,1004,75,71.078,1.238,92,"22",10,8627,1004,71.078
"11",11,"=","KE$HA","C'mon",7784,35,529,-60,54.111,-0.223,61,"33",11,7784,1547,54.334
"12",12,"+1","JUSTIN TIMBERLAKE","Suit & Tie f/JAY Z",6842,-40,-61,-78,46.499,0.557,32,"5",12,6903,6457,59.334
"13",13,"-1","ALICIA KEYS","Girl On Fire",6676,-211,-797,-119,41.096,-0.767,115,"17/97",9,7658,1171,50.899
"14",14,"=","KELLY CLARKSON","Catch My Breath",6195,-6,586,-105,40.312,0,112,"36",14,6201,767,40.312
"15",15,"=","IMAGINE DRAGONS","It's Time",6155,169,615,127,41.679,0.553,145,"35",15,6155,833,41.679
"16",16,"=","THE SCRIPT","Hall Of Fame f/will.i....",5557,61,425,51,31.251,0.322,152,"27",16,5557,564,31.251
"17",17,"=","BRUNO MARS","When I Was Your Man",5452,239,1668,46,40.06,1.99,31,"4",17,5452,1668,40.06
"18",18,"=","OLLY MURS","Troublemaker f/Flo Rid...",4085,82,630,11,28.245,0.399,60,"29",18,4085,763,28.245
"19",19,"=","KE$HA","Die Young",3731,-81,-627,-7,34.944,-0.785,143,"89",1,15607,3842,121.911
"20",20,"=","RIHANNA","Diamonds",3664,-128,-1274,74,25.641,-0.539,142,"61",2,13317,2812,96.67
"21",21,"=","ONE DIRECTION","Kiss You",3408,109,1104,-61,16.694,0.609,24,"71",21,3408,1186,16.694
"22",22,"=","OF MONSTERS AND MEN","Little Talks",3380,85,475,48,22.429,0.404,89,"26",22,3380,475,22.429
"23",23,"+1","PITBULL","Feel This Moment",3214,223,1284,148,26.25,0.917,40,"38",23,3214,1284,26.25
"24",24,"+1","HUNTER HAYES","Wanted",2950,-16,-32,-48,18.231,-0.033,124,"18",23,2985,368,18.264
"25",25,"+1","MUMFORD & SONS","I Will Wait",2945,109,631,26,21.287,0.662,41,"10",25,2945,631,21.287
"26",26,"+2","RIHANNA","Stay f/Mikky Ekko",2846,199,1050,95,22.026,1.149,19,"2",26,2846,1160,22.026
"27",27,"=","CHRIS WALLACE","Remember When (Push Re...",2743,-9,182,-36,13.523,-0.193,187,"140",25,2767,332,13.81
"28",28,"-5","PITBULL","Don't Stop The Party",2609,-417,-2441,-193,14.958,-1.748,131,"51",12,6363,675,41.893
"29",29,"=","NELLY","Hey Porsche",2165,30,258,-18,12.616,0.459,28,"--",28,2165,673,12.616
"30",30,"=","JONN HART","Who Booty f/French Mon...",1535,-10,-32,-16,6.245,0.023,74,"114",29,1580,252,6.617
"31",31,"=","BRITT NICOLE","Gold",1468,-10,80,-52,5.21,-0.035,61,"169",31,1478,314,5.245
"32",32,"=","FUN.","Carry On",1425,59,304,20,6.697,0.166,38,"12",32,1425,304,6.697
"33",33,"=","SKYLAR GREY","C'mon Let Me Ride f/Em...",1238,-7,-34,-19,4.638,-0.079,33,"182",32,1286,381,5.139
"34",34,"=","KREWELLA","Alive",1212,85,748,0,12.289,0.334,8,"207",34,1212,748,12.289
"35",35,"=","MUSE","Madness",1113,15,202,-5,3.541,0.085,62,"81",34,1113,210,3.541
"36",36,"=","AFROJACK & CHRIS BROWN","As Your Friend",894,47,262,44,8.418,0.051,15,"--",35,894,362,8.448
"37",37,"=","TREY SONGZ","Simply Amazing",852,21,181,-15,5.462,0.303,19,"299",37,852,243,5.508
"38",38,"+1","CHER LLOYD","With Ur Love f/Juicy J",763,47,535,-36,3.194,0.213,5,"--",38,763,571,3.194
"39",39,"-1","NICKI MINAJ","Va Va Voom",743,10,-173,27,4.959,0.053,119,"195",12,6322,1566,45.452
"40",40,"=","NE-YO","Forever Now",739,35,71,36,8.527,0.26,21,"--",39,739,269,9.685
"41",41,"=","ICONA POP","I Love It f/Charli XCX",721,42,359,-33,8.605,0.273,7,"100",41,721,392,8.605
"42",42,"=","FALL OUT BOY","My Songs Know What You...",712,62,486,-7,8.091,0.317,5,"42",42,712,549,8.091
"43",43,"=","ONEREPUBLIC","If I Lose Myself",609,29,173,-3,1.7,0.099,10,"--",43,609,318,1.7
"44",44,"=","KENDRICK LAMAR","Swimming Pools (Drank)",541,-30,-16,-38,2.05,-0.068,28,"63",42,588,166,2.33
"45",45,"+1","A$AP ROCKY","F**kin Problems f/Drak...",522,-8,42,-30,2.278,-0.052,12,"24",44,533,154,2.833
"46",46,"+1","AUSTIN MAHONE","Say You're Just A Frie...",506,-18,-17,-4,1.494,-0.027,28,"159",42,539,148,1.879
"47",47,"-2","NEON TREES","Lessons In Love (All D...",480,-63,-156,-66,1.037,-0.116,68,"--",38,636,88,1.865
"48",48,"=","ONE DIRECTION","Little Things",440,-51,-811,97,2.941,-0.246,89,"115",17,5162,1166,29.586
