"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","CARLY RAE JEPSEN","Call Me Maybe",14403,"-37",-138,"-41",109.297,"-0.330",107,"1",1,14563,1711,111.23
2,"=","MAROON 5","Payphone f/Wiz Khali...",14242,"+77",860,"-14",102.592,"+0.874",71,"4",2,14242,3415,102.592
3,"=","GOTYE","Somebody That I Used...",12882,"-123",-489,"-86",97.334,"-0.546",117,"3",1,14242,2018,106.819
4,"=","ONE DIRECTION","What Makes You Beaut...",10185,"-214",-768,"-58",69.404,"-1.404",118,"12",3,11838,1579,80.433
5,"=","RIHANNA","Where Have You Been",10093,"+241",1265,"+92",78.345,"+1.216",72,"9",5,10093,1884,78.345
6,"=","NICKI MINAJ","Starships",8616,"-11",-576,"+130",71.158,"+0.762",133,"31/52",3,12071,1834,87.938
7,"+1","ELLIE GOULDING","Lights",8526,"+189",978,"+65",60.855,"+1.473",137,"6",7,8526,978,60.855
8,"-1","FUN.","We Are Young f/Janel...",8397,"-73",-589,"+41",59.688,"-0.528",125,"11",1,14439,2738,110.772
9,"=","USHER","Scream",8129,"+69",353,"+55",54.435,"+0.215",61,"7",8,8129,2323,54.474
10,"=","KATY PERRY","Wide Awake",8036,"+169",963,"+55",57.091,"+1.248",35,"2",10,8036,2824,57.091
11,"=","FLO RIDA","Wild Ones f/Sia",7396,"-154",-780,"-104",58.26,"-1.209",143,"20",2,12595,1940,93.589
12,"=","JUSTIN BIEBER","Boyfriend",6960,"-110",-684,"-69",42.033,"-0.797",92,"17",9,7937,4726,51.515
13,"=","KARMIN","Broken Hearted",6406,"-143",-796,"-131",41.298,"-0.628",128,"22",10,7320,936,47.276
14,"=","DAVID GUETTA","Titanium f/Sia",6366,"+11",240,"-41",47.617,"+0.347",79,"5",14,6366,987,47.617
15,"=","PITBULL","Back In Time",6192,"-43",31,"-82",42.623,"-0.128",89,"8",14,6235,925,42.751
16,"=","GYM CLASS HEROES","Fighter f/Ryan Tedde...",5714,"+6",190,"-12",34.872,"-0.191",57,"14",16,5738,1441,35.063
17,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",4899,"+200",1188,"+131",34.586,"+0.818",59,"44",17,4899,1188,34.586
18,"=","DEMI LOVATO","Give Your Heart A Br...",4373,"+59",404,"+12",33.419,"+0.699",118,"26",17,4373,665,33.419
19,"=","ONE DIRECTION","One Thing",4284,"+103",354,"+68",25.802,"+0.723",51,"36",18,4284,975,25.802
20,"=","HAVANA BROWN","We Run The Night f/P...",3850,"+105",478,"+104",30.131,"+1.046",135,"41",20,3850,478,30.131
21,"=","KATY PERRY","Part Of Me",3688,"-37",-357,"+32",23.629,"-0.425",134,"47",3,12039,3625,78.553
22,"=","CHER LLOYD","Want U Back",3274,"+75",948,"-112",20.557,"+0.640",45,"23",22,3274,1103,20.557
23,"=","RITA ORA","How We Do (Party)",3087,"+14",46,"+11",16.073,"-0.283",61,"49",22,3087,620,16.512
