"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","JUSTIN BIEBER","Love Yourself",18846,"+16",57,"+33",124.119,"-0.161",80,"4",1,19000,4103,124.28
2,"=","TWENTY ONE PILOTS","Stressed Out",18789,"+76",364,"-154",122.767,"+0.388",99,"3",2,18789,2702,122.767
3,"=","THE CHAINSMOKERS","Roses f/Rozes",14243,"-3",478,"-112",83.763,"-0.109",148,"15",3,14246,2023,83.872
4,"=","THE WEEKND","In The Night",13318,"-260",-2083,"-210",73.502,"-0.869",102,"27",3,15760,3011,89.68
5,"+1","FLO RIDA","My House",13306,"+304",1933,"+111",77.816,"+1.594",126,"1",5,13306,1978,77.816
6,"-1","JUSTIN BIEBER","Sorry",13218,"-118",-505,"-229",97.028,"-0.223",123,"14",1,19494,3902,127.324
7,"+1","SELENA GOMEZ","Hands To Myself",10846,"+189",1561,"+35",69.245,"+1.175",50,"11",7,10846,1952,69.245
8,"-1","DAYA","Hide Away",10760,"+4",-10,"-44",60.996,"+0.174",190,"25",7,10878,883,61.74
9,"=","DNCE","Cake By The Ocean",10741,"+98",696,"-44",59.953,"+0.869",145,"12",8,10741,1111,59.953
10,"=","G-EAZY","Me Myself And I f/Bebe Rexha",8690,"+149",1414,"-13",54.354,"+0.827",46,"7/99",10,8690,1836,54.354
11,"+1","ADELE","When We Were Young",8197,"-18",29,"-50",40.442,"-0.129",68,"17",11,8301,1962,41.764
12,"+2","CHARLIE PUTH","One Call Away",7983,"+152",748,"+18",40.782,"+1.069",105,"9",12,7983,819,40.782
13,"+3","RIHANNA","Work f/Drake",7093,"+315",1433,"+196",39.844,"+2.169",26,"2/68",13,7093,3999,39.844
14,"+1","ZAYN","Pillowtalk",7081,"+245",1669,"-60",41.537,"+1.732",24,"6/72",14,7081,2441,41.537
15,"+2","ELLIE GOULDING","Something In The Way You Move",6823,"+61",462,"-41",35.52,"+0.191",45,"16",15,6823,1673,35.52
16,"+2","ROBIN SCHULZ","Sugar f/Francesco Yates",6344,"+80",740,"+58",36.023,"+0.117",87,"56",16,6344,1193,36.023
17,"+4","MIKE POSNER","I Took A Pill In Ibiza",6102,"+151",1225,"-141",39.722,"+1.067",38,"13",17,6102,1489,39.722
18,"+1","TAYLOR SWIFT","Out Of The Woods",5896,"-333",-2153,"-348",29.11,"-2.202",50,"37",12,8338,2806,46.244
19,"+1","ADELE","Hello",5856,"-109",-707,"-62",44.95,"-0.832",122,"8",1,19167,4705,124.831
20,"+2","JASON DERULO","Get Ugly",4633,"-109",-317,"-201",16.389,"-0.750",71,"58",19,4950,1110,19.08
21,"+3","RACHEL PLATTEN","Stand By You",3574,"+97",225,"+40",16.91,"+0.640",115,"22",21,3574,493,16.91
22,"+1","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",3318,"-497",-3671,"-265",15.742,"-2.216",90,"45",10,8533,1989,43.062
23,"+2","TORI KELLY","Hollow",3134,"-126",-728,"-84",9.551,"-0.751",106,"109",22,3920,501,13.353
24,"+2","DJ SNAKE","Middle f/Bipolar Sunshine",3043,"+123",716,"+2",17.508,"+0.585",36,"57",24,3043,716,17.508
25,"+2","ZARA LARSSON & MNEK","Never Forget You",2911,"+261",1303,"+138",16.833,"+1.234",19,"66",25,2911,1303,16.833
26,"+2","TROYE SIVAN","Youth",2760,"+116",387,"-20",9.947,"+0.285",50,"81",26,2760,501,9.947
27,"+2","LUKAS GRAHAM","7 Years",2654,"+95",770,"+58",12.262,"+0.271",36,"5",27,2654,770,12.262
28,"+2","ALESSIA CARA","Wild Things",2257,"+74",533,"-64",11.324,"+0.305",22,"156",28,2257,684,11.324
29,"+2","SHAWN HOOK","Sound Of Your Heart",2205,"+44",191,"-60",7.387,"+0.240",43,"339",29,2205,576,7.387
30,"+2","DAVID GUETTA","Bang My Head f/Sia",1553,"-148",-885,"-151",7.001,"-0.549",74,"170",27,2648,395,12.851
31,"+6","ZENDAYA","Something New f/Chris Brown",1531,"+161",758,"+77",6.68,"+0.879",10,"171",31,1531,758,6.68
32,"+1","BORNS","Electric Love",1463,"-117",-500,"-151",4.987,"-0.299",85,"134",30,2006,225,6.287
33,"+1","DEMI LOVATO","Confident",1451,"-56",-321,"-22",11.633,"-0.439",144,"111",9,9049,1761,48.443
34,"+1","ONE DIRECTION","Perfect",1389,"-59",-373,"-148",10.271,"-0.185",127,"100",10,8635,1211,42.552
35,"+3","ONE DIRECTION","History",1379,"+49",207,"-3",3.793,"+0.087",22,"122",35,1379,559,3.793
36,"=","TRAVI$ SCOTT","Antidote",1216,"-169",-1310,"-42",6.046,"-0.672",85,"82",24,3360,545,13.354
37,"+3","NATHAN SYKES","Over And Over Again f/A.Grande",1178,"+58",427,"+44",3.578,"+0.173",27,"180",37,1178,427,3.578
38,"+3","KYGO","Stole The Show f/Parson James",1165,"+70",277,"+1",5.321,"+0.275",19,"83",38,1165,314,5.321
39,"=","JUSTIN TIMBERLAKE","Drink You Away",1103,"-73",-513,"-43",3.718,"-0.249",66,"146",33,1819,390,6.581
40,"+2","COLDPLAY","Adventure Of A Lifetime",940,"+24",115,"-67",5.3,"+0.089",36,"20",40,940,315,5.3
41,"+3","GWEN STEFANI","Make Me Like You",905,"+126",718,"+94",4.535,"+0.429",4,"24",41,905,718,4.535
42,"+1","EMPIRE OF THE SUN","Walking On A Dream",844,"-39",21,"-104",3.825,"-0.197",17,"105",42,883,369,4.284
43,"+4","RUTH B.","Lost Boy",710,"+43",275,"+44",2.079,"+0.175",7,"28",43,710,275,2.079
44,"+2","DRAKE & FUTURE","Jumpman",686,"-29",-170,"-14",2.026,"-0.083",31,"76",42,933,339,3.134
45,"=","PITBULL","El Taxi f/Sensato & O. Garcia",679,"-77",-246,"-137",3.389,"-0.421",38,"218",39,937,219,6.285
46,"+3","DUKE DUMONT","Ocean Drive",581,"+40",119,"+30",2.2,"+0.105",8,"596",46,581,183,2.2
47,"+3","JESS GLYNNE","Don't Be So Hard On Yourself",550,"+21",147,"+14",0.712,"+0.005",2,"--",47,550,147,0.712
48,"--","TORY LANEZ","Say It",546,"--",250,"--",1.68,"--",1,"97",48,546,250,1.68
49,"--","NELLY","Die A Happy Man",540,"--",369,"--",3.538,"--",1,"183",49,540,369,3.538
50,"--","JAMES BAY","Let It Go",536,"--",498,"--",2.488,"--",1,"10",50,536,498,2.488
