"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",13951,"+0",486,"-69",85.94,"-0.073",126,"8",1,13951,1685,86.013
"2",2,"=","ADELE Someone Like You",13428,"-37",53,"-31",89.161,"-0.452",87,"3",2,13563,2614,91.686
"3",3,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",13057,"-154",-611,"-117",87.817,"-0.932",116,"7",1,14127,1893,93.336
"4",4,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",11460,"+78",335,"+49",69.974,"+0.255",141,"14",4,11460,1097,70.438
"5",5,"=","DAVID GUETTA Without You f/Usher",11085,"+189",980,"+5",68.083,"+0.684",67,"6",5,11085,1586,68.083
"6",6,"=","FOSTER THE PEOPLE Pumped Up Kicks",10055,"-280",-1203,"-166",57.182,"-1.349",111,"5",3,12112,1356,70.246
"7",7,"=","LMFAO Sexy And I Know It",9407,"+244",1419,"+117",60.017,"+1.154",67,"2",7,9407,1530,60.017
"8",8,"=","RIHANNA We Found Love f/Calvin Harris",8369,"+234",1272,"+98",59.194,"+1.197",38,"1",8,8369,2184,59.194
"9",9,"=","DEV In The Dark",7868,"+0",74,"-42",48.671,"-0.242",96,"21",8,7868,1224,50.748
"10",10,"=","LADY GAGA You And I",7249,"-142",-501,"-128",35.84,"-0.948",85,"23",7,7824,1553,44.474
"11",11,"+1","JASON DERULO It Girl",6472,"+94",618,"+102",28.663,"+0.210",76,"15",11,6472,1048,28.663
"12",12,"-1","LMFAO Party Rock Anthem",6447,"-72",-248,"+11",41.574,"-0.631",175,"11",1,14043,1859,94.193
"13",13,"=","PITBULL Give Me Everything f/Ne-Yo",5569,"-67",-339,"-49",37.947,"-0.351",175,"66",1,14233,1811,95.596
"14",14,"=","BAD MEETS EVIL Lighters f/Bruno Mars",5343,"-82",-645,"-10",35.025,"-0.487",129,"82",2,11835,1599,78.403
"15",15,"+1","KELLY CLARKSON Mr. Know It All",5324,"+57",200,"+27",26.328,"+0.199",59,"9",15,5324,1093,26.328
"16",16,"-1","NICKI MINAJ Super Bass",5225,"-52",-221,"+11",36.452,"+0.017",175,"44",3,12009,1188,73.23
"17",17,"=","BRUNO MARS It Will Rain",4856,"+146",938,"+12",27.484,"+0.794",30,"12",17,4856,1337,27.484
"18",18,"=","KATY PERRY The One That Got Away",4781,"+167",1213,"-51",31.793,"+0.748",26,"19",18,4781,1631,31.793
"19",19,"+2","NICKI MINAJ Fly f/Rihanna",4226,"+137",938,"+23",22.883,"+0.834",45,"35",19,4226,987,22.883
"20",20,"-1","BRITNEY SPEARS I Wanna Go",4155,"-74",-467,"+61",27.689,"-0.555",141,"144",1,12853,1768,82.422
"21",21,"+1","FLO RIDA Good Feeling",4085,"+166",1207,"+102",25.704,"+1.158",38,"4",21,4085,1207,25.704
"22",22,"-2","ALEXANDRA STAN Mr. Saxobeat",4037,"-91",-384,"-35",33.676,"-0.466",101,"81",18,4585,673,38.816
"23",23,"=","BRITNEY SPEARS Criminal",3358,"+69",376,"+43",17.372,"+0.502",42,"55",23,3358,669,17.372
"24",24,"=","ANDY GRAMMER Keep Your Head Up",2850,"-135",-365,"-212",12.238,"-0.466",129,"132",21,3215,355,13.959
"25",25,"+1","SELENA GOMEZ & THE SCENE Love You Like A...",2758,"+42",258,"-4",13.94,"+0.416",71,"50",25,2758,366,13.94
"26",26,"-1","THE SCRIPT Nothing",2525,"-194",-1366,"-59",13.563,"-0.780",95,"52",18,4360,722,20.667
"27",27,"=","LIL WAYNE How To Love",2240,"-8",-84,"+17",14.58,"-0.059",150,"51",9,8047,1328,45.275
"28",28,"=","T-PAIN 5 O'clock f/Wiz Khalifa",2068,"+109",593,"+47",13.609,"+0.689",25,"10",28,2068,595,13.609
"29",29,"=","GAVIN DEGRAW Not Over You",1883,"+44",247,"+13",9.199,"+0.191",69,"42",28,1883,310,9.199
"30",30,"=","JESSIE J Domino",1776,"+54",221,"+40",8.396,"+0.294",47,"70",30,1776,335,8.396
"31",31,"=","LADY ANTEBELLUM Just A Kiss",1582,"+41",279,"+3",6.34,"+0.201",42,"45",31,1582,332,6.34
"32",32,"+2","DRAKE Headlines",1569,"+69",618,"+6",12.384,"+0.242",17,"25",32,1569,618,12.384
"33",33,"=","NICOLE SCHERZINGER Don't Hold Your Breat...",1520,"+18",128,"-12",4.791,"+0.063",37,"179",33,1520,446,4.791
"34",34,"+1","HOT CHELLE RAE I Like It Like That f/New...",1486,"+16",128,"-11",6.075,"-0.011",33,"74",34,1486,407,6.118
"35",35,"-3","RIHANNA Cheers (Drink To That)",1428,"-88",-395,"-12",7.048,"-0.311",97,"46",10,8085,1594,43.942
"36",36,"=","NICKELBACK When We Stand Together",1351,"+13",179,"-2",4.78,"+0.027",31,"67",36,1351,457,4.796
"37",37,"=","BREATHE CAROLINA Blackout",1304,"+40",161,"+11",5.292,"+0.103",69,"116",37,1304,211,5.292
"38",38,"=","JENNIFER LOPEZ Papi",1227,"+13",107,"-9",4.496,"-0.110",25,"239",37,1238,488,4.789
"39",39,"+1","ENRIQUE IGLESIAS I Like How It Feels",1093,"-45",-113,"-78",4.617,"-0.186",31,"293",37,1222,322,5.77
"40",40,"-1","LLOYD Dedication To My Ex...",1084,"-97",-580,"-44",3.8,"-0.230",60,"208",29,1808,315,6.04
"41",41,"=","SEAN PAUL Got 2 Luv U f/Alexis Jordan",904,"-36",-108,"-49",3.417,"-0.167",52,"180",41,1033,196,4.384
"42",42,"+1","BEYONCE Countdown",826,"+24",117,"+10",2.192,"+0.083",18,"91",42,826,255,2.192
"43",43,"-1","NEW BOYZ Better With The Lights Off",770,"-131",-1025,"-21",3.268,"-0.458",89,"90",23,2777,423,10.454
"44",44,"=","COLDPLAY Paradise",730,"+50",162,"+61",2.371,"+0.019",19,"390",44,730,250,2.495
"45",45,"+1","J. COLE Workout",651,"+54",256,"+26",8.864,"+0.283",9,"36",45,651,256,8.864
"46",46,"+1","FRAY Heartbeat",641,"+78",292,"+56",2.289,"+0.296",6,"258",46,641,292,2.289
"47",47,"-2","WE THE KINGS Say You Like Me",627,"-7",-5,"-17",1.334,"-0.043",44,"--",45,652,320,1.377
"48",48,"=","THE CAB Bad",548,"+4",103,"-3",0.957,"-0.010",16,"538",47,548,106,0.967
"49",49,"+1","TAIO CRUZ Hangover f/Flo Rida",511,"+30",110,"+18",1.603,"+0.124",7,"259",49,511,194,1.603
"50",50,"--","OUTASIGHT Tonight Is The Night",509,"--",364,"--",2.105,"--",1,"429",50,509,364,2.105
