"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","TWENTY ONE PILOTS","Stressed Out",19124,"+34",408,"+1",123.739,"+0.357",105,"6",1,19124,2702,123.739
"2",2,"=","JUSTIN BIEBER","Love Yourself",18873,"+43",43,"+38",121.214,"-0.256",86,"7",1,19000,4103,124.28
"3",3,"=","FLO RIDA","My House",15019,"+136",2015,"-185",85.902,"+0.636",132,"3",3,15019,2285,85.902
"4",4,"=","THE CHAINSMOKERS","Roses f/Rozes",14280,"-92",31,"-239",81.586,"-1.179",154,"18",3,14372,2023,83.872
"5",5,"=","JUSTIN BIEBER","Sorry",12441,"-118",-896,"-55",95.089,"-0.291",129,"15",1,19494,3902,127.324
"6",6,"=","SELENA GOMEZ","Hands To Myself",11933,"+111",1273,"-27",77.849,"+1.164",56,"16",6,11933,1952,77.849
"7",7,"=","DNCE","Cake By The Ocean",11442,"+43",798,"-84",65.961,"+1.244",151,"13",7,11442,1111,65.961
"8",8,"=","THE WEEKND","In The Night",10573,"-382",-3005,"-65",60.935,"-2.115",108,"56",3,15760,3011,89.68
"9",9,"=","DAYA","Hide Away",10132,"-236",-624,"-245",55.838,"-1.559",196,"32",7,10878,883,61.74
"10",10,"=","G-EAZY","Me Myself And I f/Bebe Rexha",10111,"+189",1564,"-117",62.684,"+1.331",52,"10/90",10,10111,1836,62.684
"11",11,"=","CHARLIE PUTH","One Call Away",8420,"+65",589,"-58",44.337,"+0.927",111,"12",11,8420,819,44.337
"12",12,"=","ZAYN","Pillowtalk",8339,"+156",1503,"-76",49.194,"+1.070",30,"9/69/72",12,8339,2441,49.194
"13",13,"=","RIHANNA","Work f/Drake",8073,"+139",1295,"-111",46.515,"+1.204",32,"2/29",13,8073,3999,46.515
"14",14,"+1","MIKE POSNER","I Took A Pill In Ibiza",7531,"+286",1578,"+140",46.669,"+1.431",44,"8",14,7531,1578,46.669
"15",15,"+1","ELLIE GOULDING","Something In The Way You Move",7184,"+30",422,"-54",36.713,"+0.166",51,"36",15,7184,1673,37.113
"16",16,"+1","ROBIN SCHULZ","Sugar f/Francesco Yates",7100,"+138",836,"+21",41.844,"+1.222",93,"46",16,7100,1193,41.844
"17",17,"-3","ADELE","When We Were Young",7056,"-367",-1159,"-351",33.624,"-1.920",74,"21",11,8301,1962,41.764
"18",18,"=","ADELE","Hello",5296,"-114",-669,"-12",40.17,"-0.631",128,"14",1,19167,4705,124.831
"19",19,"=","ZARA LARSSON & MNEK","Never Forget You",4170,"+241",1519,"+16",22.963,"+1.646",25,"26",19,4170,1519,22.963
"20",20,"+1","DJ SNAKE","Middle f/Bipolar Sunshine",4037,"+206",1116,"+70",21.598,"+1.149",42,"43",20,4037,1116,21.598
"21",21,"-1","RACHEL PLATTEN","Stand By You",3904,"+44",427,"-33",18.668,"+0.290",121,"25",19,3904,493,18.668
"22",22,"=","LUKAS GRAHAM","7 Years",3568,"+139",993,"-18",16.628,"+0.914",42,"5",22,3568,1023,16.628
"23",23,"+2","TROYE SIVAN","Youth",3224,"+47",580,"-80",11.729,"+0.179",56,"41",23,3224,660,11.729
"24",24,"-1","TAYLOR SWIFT","Out Of The Woods",2996,"-366",-3235,"+91",12.474,"-2.212",56,"83",12,8338,2806,46.244
"25",25,"+1","ALESSIA CARA","Wild Things",2962,"+122",779,"+63",13.081,"+0.552",28,"130",25,2962,779,13.081
"26",26,"-2","JASON DERULO","Get Ugly",2903,"-338",-1839,"-235",9.685,"-1.250",77,"60",19,4950,1110,19.08
"27",27,"=","SHAWN HOOK","Sound Of Your Heart",2555,"+80",394,"+52",8.781,"+0.148",49,"260",27,2555,576,8.781
"28",28,"=","ZENDAYA","Something New f/Chris Brown",2077,"+74",707,"-81",8.343,"+0.115",16,"163",28,2077,892,8.343
"29",29,"+3","TAYLOR SWIFT","New Romantics",1959,"+429",1840,"+390",11.847,"+2.211",4,"120",29,1959,1840,11.847
"30",30,"+1","GWEN STEFANI","Make Me Like You",1750,"+169",971,"+32",6.404,"+0.449",10,"61",30,1750,971,6.404
"31",31,"-2","TORI KELLY","Hollow",1707,"-256",-1553,"-47",4.869,"-0.887",112,"183",22,3920,501,13.353
"32",32,"+6","FIFTH HARMONY","Work From Home",1643,"+334",1643,"+334",15.862,"+2.585",2,"4",32,1643,1643,15.862
"33",33,"-3","SHAWN MENDES & CAMILA CABELLO","I Know What You Did Last...",1622,"-147",-2193,"+388",7.571,"-1.020",96,"63",10,8533,1989,43.062
"34",34,"-1","NATHAN SYKES","Over And Over Again f/A.Grande",1563,"+51",443,"-12",4.835,"+0.169",33,"309",31,1563,585,4.835
"35",35,"-1","ONE DIRECTION","History",1551,"+39",221,"-11",4.349,"+0.172",28,"112",31,1551,559,4.349
"36",36,"-1","ONE DIRECTION","Perfect",1355,"-27",-93,"-4",9.846,"+0.039",133,"103",10,8635,1211,42.552
"37",37,"=","KYGO","Stole The Show f/Parson James",1327,"-12",232,"-53",6.03,"-0.061",25,"114",35,1339,374,6.091
"38",38,"-2","DEMI LOVATO","Confident",1325,"-16",-183,"+22",10.462,"-0.084",150,"139",9,9049,1761,48.443
"39",39,"+1","JAMES BAY","Let It Go",1273,"+98",860,"-12",5.846,"+0.411",7,"20",39,1273,885,5.846
"40",40,"-1","COLDPLAY","Adventure Of A Lifetime",1248,"+59",332,"+38",5.592,"+0.159",42,"27",37,1248,332,5.592
"41",41,"=","NELLY","Die A Happy Man",978,"+26",512,"-43",4.166,"-0.122",7,"176",41,978,555,4.288
"42",42,"+1","RUTH B.","Lost Boy",884,"+10",217,"-47",2.698,"+0.011",13,"52",42,884,320,2.698
"43",43,"-1","EMPIRE OF THE SUN","Walking On A Dream",862,"-69",-21,"-101",3.495,"-0.105",23,"96",41,931,369,4.284
"44",44,"=","BORNS","Electric Love",706,"-121",-874,"-12",2.808,"-0.440",91,"180",30,2006,225,6.287
"45",45,"+4","DUKE DUMONT","Ocean Drive",696,"+28",155,"+26",2.423,"+0.043",14,"487",45,696,183,2.423
"46",46,"--","PANIC! AT THE DISCO","Victorious",683,"--",273,"--",2.093,"--",1,"168",46,683,273,2.093
"47",47,"-1","TRAVI$ SCOTT","Antidote",676,"-36",-709,"+126",3.556,"-0.293",91,"110",24,3360,545,13.354
"48",48,"=","TORY LANEZ","Say It",672,"-10",201,"-55",2.024,"-0.073",7,"115",47,682,285,2.097
"49",49,"-2","JUSTIN TIMBERLAKE","Drink You Away",664,"-46",-512,"+30",2.483,"-0.058",72,"162",33,1819,390,6.581
"50",50,"=","JESS GLYNNE","Don't Be So Hard On Yourself",631,"-9",102,"-49",0.764,"-0.024",8,"1035",47,640,173,0.788
