"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","TAYLOR SWIFT","Bad Blood",19324,"-39",495,"-172",118.007,"+0.270",46,"8/36",1,19363,6848,118.007
"2",2,"=","WALK THE MOON","Shut Up And Dance",15600,"-239",-1650,"-23",94.151,"-0.524",139,"11",2,17842,2567,102.857
"3",3,"=","WIZ KHALIFA","See You Again f/Charlie Puth",15241,"-137",-1265,"+105",97.387,"-1.107",91,"13",1,19208,3713,118.768
"4",4,"=","DAVID GUETTA","Hey Mama  f/Nicki Minaj",14576,"+347",1134,"+275",90.683,"+1.084",117,"18",4,14576,1678,90.683
"5",5,"=","JASON DERULO","Want To Want Me",12624,"-460",-2567,"-145",73.192,"-1.507",116,"27",1,18660,4301,111.336
"6",6,"=","TOVE LO","Talking Body",12187,"-219",-1747,"+77",69.959,"-0.551",169,"32",4,14657,2353,84.199
"7",7,"=","FIFTH HARMONY","Worth It f/Kid Ink",12172,"+175",1390,"-79",61.404,"+0.971",121,"14",7,12172,1718,61.404
"8",8,"=","OMI","Cheerleader",11975,"+308",2043,"+13",73.379,"+2.047",62,"1",8,11975,2081,73.379
"9",9,"=","THE WEEKND","Can't Feel My Face",10416,"+441",3000,"+89",65.184,"+2.136",25,"2",9,10416,4549,65.184
"10",10,"=","ANDY GRAMMER","Honey, I'm Good",9795,"+48",536,"-58",52.401,"+0.419",128,"9",9,9795,1319,52.401
"11",11,"=","SKRILLEX & DIPLO","Where Are U Now f/J. Bieber",9306,"+61",505,"+0",55.858,"+0.701",83,"10",11,9306,1280,55.858
"12",12,"=","MAROON 5","This Summer's Gonna Hurt...",8943,"-62",-67,"-79",41.069,"-1.138",49,"37",9,9131,4375,46.872
"13",13,"=","DJ SNAKE & ALUNAGEORGE","You Know You Like It",8557,"-326",-1965,"-76",46.536,"-1.573",118,"24",6,11556,1606,64.807
"14",14,"=","MAJOR LAZER","Lean On f/MØ & DJ Snake",8344,"+129",832,"+7",48.777,"+0.406",54,"12",13,8344,2026,48.777
"15",15,"=","SIA","Elastic Heart f/The Weeknd...",7440,"+67",546,"+30",44.852,"-0.059",110,"41",14,7440,909,45.191
"16",16,"=","NICKI MINAJ","The Night Is Still Young",6911,"-48",-52,"-23",31.318,"-0.480",64,"55",13,7139,1341,34.119
"17",17,"=","ED SHEERAN","Photograph",5587,"+112",720,"-5",29.877,"+0.508",49,"21",17,5587,1005,29.877
"18",18,"=","RACHEL PLATTEN","Fight Song",5349,"+189",1465,"-32",28.487,"+1.121",46,"5",18,5349,1603,28.487
"19",19,"=","PITBULL","Fun f/Chris Brown",4852,"+87",522,"+85",27.32,"+0.175",68,"40",19,4852,740,27.32
"20",20,"=","SELENA GOMEZ","Good For You f/A$AP Rocky",4725,"+260",1962,"-283",27.811,"+0.614",11,"7",18,4725,4663,34.829
"21",21,"=","THE WEEKND","Earned It",3939,"-177",-1169,"-55",22.414,"-0.710",135,"42",1,17055,2820,102.104
"22",22,"+1","FALL OUT BOY","Uma Thurman",3884,"+94",573,"+24",21.755,"+0.677",74,"26",22,3884,895,21.755
"23",23,"-1","GEORGE EZRA","Budapest",3677,"-285",-901,"-261",15.696,"-0.939",123,"43",18,4602,712,20.415
"24",24,"=","OMARION","Post To Be f/Chris Brown&Jhene",2789,"+61",427,"-19",15.362,"+0.686",40,"56",24,2789,598,15.362
"25",25,"=","TORI KELLY","Should've Been Us",2618,"+51",589,"-37",9.697,"+0.303",30,"176",25,2618,685,9.697
"26",26,"=","ZEDD","Beautiful Now f/Jon Bellion",2569,"+17",368,"-40",11.817,"+0.051",36,"78",25,2569,542,12.187
"27",27,"=","SAM HUNT","Take Your Time",2299,"+30",204,"+6",11.115,"+0.193",54,"25",27,2299,296,11.115
"28",28,"=","ADAM LAMBERT","Ghost Town",2238,"-7",90,"-33",9.011,"+0.219",61,"110",28,2245,661,9.011
"29",29,"=","FETTY WAP","Trap Queen",2068,"-63",-294,"-50",14.547,"-0.651",96,"16",18,4535,816,23.245
"30",30,"+2","ARIANA GRANDE","One Last Time",2002,"+33",-35,"+123",14.612,"+0.093",146,"171",6,12152,2135,76.95
