"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5","One More Night",15278,113,69,241,113.108,-0.304,116,"5",1,15401,1593,119.954
"2",2,"=","FUN.","Some Nights",13297,139,492,-16,90.26,0.551,154,"8",2,13297,1295,90.841
"3",3,"=","TAYLOR SWIFT","We Are Never Ever Ge...",12989,-89,-497,-52,87.523,-0.95,89,"11",2,13523,4592,90.881
"4",4,"=","ALEX CLARE","Too Close",11973,177,696,251,75.98,-0.875,166,"18",4,11973,1328,81.998
"5",5,"+1","KE$HA","Die Young",10973,366,1462,346,77.159,2.446,47,"4",5,10973,3842,77.159
"6",6,"-1","JUSTIN BIEBER","As Long As You Love ...",10964,-279,-2068,-196,78.448,-2.173,129,"19",2,13498,1300,100.233
"7",7,"=","CHRIS BROWN","Don't Wake Me Up",10377,127,295,320,71.854,0.472,147,"24",6,10377,1456,75.301
"8",8,"=","NE-YO","Let Me Love You",9815,310,1345,224,78.359,1.183,94,"15",8,9815,1345,81.114
"9",9,"=","RIHANNA","Diamonds",9079,153,955,140,68.15,0.514,46,"3",9,9079,2812,70.89
"10",10,"=","BRUNO MARS","Locked Out Of Heaven",8089,162,1109,151,59.352,1.242,41,"2",10,8089,2790,59.352
"11",11,"=","PINK","Blow Me (One Last Ki...",7225,-86,-976,177,53.454,-0.671,130,"41",1,12762,2737,90.315
"12",12,"=","ENRIQUE IGLESIAS","Finally Found You f/...",6957,50,-100,148,43.127,-0.015,74,"53",12,7155,1803,47.652
"13",13,"=","OWL CITY & CARLY RAE...","Good Time",6581,-252,-1206,16,48.054,-1.305,138,"26",4,10627,1961,71.832
"14",14,"=","PSY","Gangnam Style",6314,-199,-1050,-94,43.664,-1.569,63,"1",10,7746,1695,59.817
"15",15,"=","FLO RIDA","I Cry",6181,276,1171,229,44.871,1.559,57,"7",15,6181,1268,44.871
"16",16,"=","PHILLIP PHILLIPS","Home",5227,94,831,-51,37.068,0.638,123,"10",16,5227,921,37.068
"17",17,"=","ONE DIRECTION","Live While We're You...",4989,-115,-360,-134,25.634,-0.907,52,"14",15,5363,2151,28.68
"18",18,"=","TRAIN","50 Ways To Say Goodb...",4069,-118,-520,-96,22.249,-1.08,99,"17",16,4812,717,29.769
"19",19,"=","ONEREPUBLIC","Feel Again",3761,92,358,54,22.346,0.62,66,"29",19,3761,813,22.346
"20",20,"+1","NICKI MINAJ","Va Va Voom",3519,280,1329,158,29.572,1.675,23,"35",20,3519,1329,29.572
"21",21,"-1","ED SHEERAN","The A Team",3504,40,396,-23,29.346,0.255,84,"33",20,3504,683,29.346
"22",22,"=","LUMINEERS","Ho Hey",2928,101,699,-27,22.552,0.852,56,"9",22,2928,739,22.552
"23",23,"=","JUSTIN BIEBER","Beauty And A Beat f/...",2718,353,1237,265,19.563,1.607,24,"20",23,2718,1237,19.563
"24",24,"=","SWEDISH HOUSE MAFIA","Don't You Worry Chil...",2518,169,569,44,19.075,0.792,63,"63",24,2518,569,19.075
"25",25,"=","THE SCRIPT","Hall Of Fame f/will....",2252,64,350,1,11.043,0.369,56,"30",25,2252,468,11.043
"26",26,"+1","PITBULL","Don't Stop The Party",2183,61,381,16,13.544,0.001,35,"77",25,2183,503,13.598
"27",27,"+1","ELLIE GOULDING","Anything Could Happe...",2087,11,354,-41,12.997,0.199,49,"48",27,2087,455,12.997
"28",28,"-2","CHRISTINA AGUILERA","Your Body",2012,-150,-1476,58,9.895,-1.155,58,"60",19,4044,2059,23.985
"29",29,"=","BRIDGIT MENDLER","Ready Or Not",1980,-11,240,-96,13.841,-0.103,69,"95",29,1991,336,13.944
"30",30,"=","RITA ORA","R.I.P. f/Tinie Tempa...",1884,11,16,10,7.628,0.021,70,"102",26,1901,352,8.368
"31",31,"+3","PINK","Try",1786,200,1026,134,11.335,1.441,14,"56",31,1786,1026,11.335
"32",32,"-1","USHER","Numb",1695,-37,-917,189,9.839,-0.649,70,"98",20,3707,1028,21.944
"33",33,"-1","TREY SONGZ","2 Reasons f/T.I.",1591,-58,-386,-15,9.277,-0.166,84,"128",25,2118,262,13.967
