"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",12812,-56,-451,13,81.285,-0.626,140,"18",1,13951,1685,86.013
"2",2,"=","DAVID GUETTA Without You f/Usher",12525,110,448,19,74,0.709,81,"8",2,12525,1586,74
"3",3,"=","ADELE Someone Like You",11662,-180,-1230,-75,73.761,-1.023,101,"7",2,13563,2614,91.686
"4",4,"+2","RIHANNA We Found Love f/Calvin Harris",11457,230,1532,-28,80.303,1.392,52,"3",4,11457,2184,80.303
"5",5,"-1","COBRA STARSHIP You Make Me Feel... f/Sab...",11173,-117,-318,-92,63.556,-0.933,155,"21",4,11548,1097,70.438
"6",6,"-1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",11159,-121,-754,-8,79.347,-1.421,130,"12",1,14127,1893,93.336
"7",7,"=","LMFAO Sexy And I Know It",10429,31,443,-25,66.115,0.359,81,"6",6,10429,1530,66.115
"8",8,"=","DEV In The Dark",7640,-117,-229,-132,49.448,-1.165,110,"51",8,8037,1224,51.486
"9",9,"=","FOSTER THE PEOPLE Pumped Up Kicks",7180,-179,-1227,-32,41.192,-1.169,125,"13",3,12112,1356,70.246
"10",10,"=","KATY PERRY The One That Got Away",6715,112,812,12,42.329,0.567,40,"11",10,6715,1631,42.329
"11",11,"+1","BRUNO MARS It Will Rain",6649,181,957,73,37.654,0.664,44,"9",11,6649,1337,37.654
"12",12,"-1","JASON DERULO It Girl",6608,46,64,20,28.759,0.125,90,"28",10,6634,1048,29.284
"13",13,"=","FLO RIDA Good Feeling",5998,134,965,-3,38.179,1.094,52,"10",13,5998,1207,38.179
"14",14,"=","KELLY CLARKSON Mr. Know It All",5720,16,127,4,29.12,0.474,73,"32",13,5782,1093,29.195
"15",15,"=","LMFAO Party Rock Anthem",5176,-32,-533,59,33.747,-0.377,189,"24",1,14043,1859,94.193
"16",16,"=","NICKI MINAJ Fly f/Rihanna",4763,20,142,-3,25.143,-0.096,59,"50",16,4764,987,25.465
"17",17,"=","BAD MEETS EVIL Lighters f/Bruno Mars",3868,-60,-782,90,25.764,-0.126,143,"130",2,11835,1599,78.403
"18",18,"+1","SELENA GOMEZ & THE SCENE Love You Like A...",3651,62,602,-34,17.761,0.348,85,"62",18,3651,636,17.761
"19",19,"-1","LADY GAGA You And I",3478,-190,-1826,143,17.545,-0.843,99,"35",7,7824,1553,44.474
"20",20,"+1","T-PAIN 5 O'clock f/Wiz Khalifa",3355,136,753,60,20.027,0.284,39,"16",20,3355,753,20.027
"21",21,"-1","BRITNEY SPEARS Criminal",3142,-154,-281,-183,13.744,-0.812,56,"74",19,3422,669,17.372
"22",22,"+1","RIHANNA You Da One",2843,183,2843,183,32.576,1.8,5,"--",22,2843,2843,32.576
"23",23,"-1","GAVIN DEGRAW Not Over You",2725,15,391,-75,13.432,0.214,83,"41",22,2725,532,13.432
"24",24,"=","ALEXANDRA STAN Mr. Saxobeat",2487,-95,-773,-4,24.958,-0.254,115,"83",18,4585,673,38.816
"25",25,"=","JESSIE J Domino",2438,29,357,-24,13.092,0.336,61,"59",24,2438,381,13.092
"26",26,"=","LADY ANTEBELLUM Just A Kiss",2405,52,416,-27,9.665,0.275,56,"45",24,2405,525,9.665
"27",27,"=","DRAKE Headlines",2251,74,517,36,17.773,0.638,31,"57",26,2251,618,17.773
"28",28,"=","BREATHE CAROLINA Blackout",1860,49,343,32,9.014,0.411,83,"110",27,1860,343,9.014
"29",29,"=","HOT CHELLE RAE I Like It Like That f/New...",1810,73,281,66,6.956,0.229,47,"81",29,1810,407,6.956
"30",30,"=","FRAY Heartbeat",1646,38,343,-38,7.508,0.332,20,"133",30,1646,677,7.508
"31",31,"=","NICKELBACK When We Stand Together",1573,0,58,-35,5.133,-0.079,45,"44",30,1615,457,5.4
"32",32,"+5","LADY GAGA Marry The Night",1441,220,993,164,11.157,0.953,7,"283",32,1441,993,11.157
"33",33,"+2","J. COLE Workout",1408,83,415,40,16.256,0.683,23,"31",33,1408,415,16.256
"34",34,"=","JENNIFER LOPEZ Papi",1404,-4,-39,-18,4.846,-0.112,39,"291",32,1477,488,6.062
"35",35,"-3","NICOLE SCHERZINGER Don't Hold Your Breat...",1372,-104,-181,-126,4.234,-0.229,51,"184",29,1562,446,5.007
"36",36,"-3","ANDY GRAMMER Keep Your Head Up",1363,-91,-596,3,6.422,-0.293,143,"165",21,3215,355,13.959
"37",37,"-1","OUTASIGHT Tonight Is The Night",1350,49,350,-7,6.145,0.346,15,"188",35,1350,500,6.145
"38",38,"=","JAY Z & KANYE WEST N***** In Paris",1257,88,581,37,7.678,0.324,10,"25",37,1257,581,7.678
"39",39,"+2","AVRIL LAVIGNE Wish You Were Here",1137,57,503,11,4.172,0.311,10,"427",39,1137,503,4.172
"40",40,"=","BEYONCE Countdown",1132,31,102,26,3.665,0.055,32,"97",36,1132,255,3.693
"41",41,"-2","PITBULL F/CHRIS BROWN International Love",1119,18,218,-45,7.128,-0.027,13,"126",39,1119,418,7.155
"42",42,"=","THE SCRIPT Nothing",877,-67,-715,54,4.699,-0.372,109,"98",18,4360,722,20.667
"43",43,"=","WE THE KINGS Say You Like Me",772,8,107,-6,1.706,0.017,58,"--",42,772,320,1.706
"44",44,"=","TAIO CRUZ Hangover f/Flo Rida",745,6,110,-19,2.185,0.067,19,"406",44,746,194,2.185
"45",45,"=","THE CAB Bad",648,1,74,-6,1.344,0.047,29,"560",45,648,106,1.344
"46",46,"=","COLBIE CAILLAT Brighter Than The Sun",595,22,89,10,1.733,0.013,10,"116",46,595,106,1.733
"47",47,"=","DAUGHTRY Crawling Back To You",562,1,21,-4,1.634,-0.031,19,"235",46,568,134,1.681
"48",48,"=","KARMIN Crash Your Party",539,41,222,27,2.335,0.06,3,"--",48,539,222,2.335
"49",49,"=","TIMBALAND Pass At Me f/Pitbull",510,28,319,4,2.167,-0.073,3,"522",49,510,319,2.24
"50",50,"=","JOJO Disaster",485,13,101,-2,1.14,0.092,3,"916",49,485,103,1.14
