"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",14127,"+19",514,"-47",93.281,"-0.055",90,"5",1,14127,1893,93.336
2,"+1","ADELE Someone Like You",12071,"+178",2293,"-175",83.624,"+1.315",61,"1",2,12071,2614,83.624
3,"-1","GYM CLASS HEROES Stereo Hearts f/Adam Le...",11977,"+76",1048,"-164",73.766,"+1.010",100,"6",2,11977,1685,73.766
4,"=","FOSTER THE PEOPLE Pumped Up Kicks",11731,"+118",1244,"-11",66.973,"+0.732",85,"3",3,11731,1356,66.973
5,"+1","COBRA STARSHIP You Make Me Feel... f/Sab...",9778,"+147",1072,"+17",61.752,"+0.410",115,"11",5,9778,1072,61.752
6,"-1","BAD MEETS EVIL Lighters f/Bruno Mars",9529,"-214",-981,"-42",61.61,"-0.109",103,"31",2,11835,1599,78.403
7,"=","LMFAO Party Rock Anthem",7901,"-11",-237,"+52",51.75,"-0.221",149,"9",1,14043,1859,94.193
8,"=","BRITNEY SPEARS I Wanna Go",7671,"-154",-990,"+76",49.24,"-1.045",115,"65",1,12853,1768,82.422
9,"=","LADY GAGA You And I",7643,"+42",434,"+19",43.71,"+0.119",59,"10",9,7643,1553,43.71
10,"+1","DAVID GUETTA Without You f/Usher",7137,"+65",995,"-130",44.26,"+0.486",41,"7",10,7137,1586,44.26
11,"-1","KATY PERRY Last Friday Night (T.G.I.F.)",7046,"-193",-1049,"-24",38.335,"-0.841",132,"53",1,14935,2322,96.531
12,"+1","DEV In The Dark",7042,"+44",684,"+0",47.843,"+0.589",70,"15",12,7042,1224,47.843
13,"-1","PITBULL Give Me Everything f/Ne-Yo",6981,"-47",-173,"+28",45.519,"-0.730",149,"44",1,14233,1811,95.596
14,"=","NICKI MINAJ Super Bass",6830,"-89",-847,"+127",47.271,"-0.588",149,"27",3,12009,1188,73.23
15,"=","RIHANNA Cheers (Drink To That)",6116,"-253",-1402,"-93",30.878,"-0.680",71,"12",10,8085,1594,43.942
16,"=","JASON DERULO It Girl",5164,"+6",444,"-74",25.847,"+0.106",50,"14",16,5164,1048,25.847
17,"=","LMFAO Sexy And I Know It",5125,"+139",1331,"-47",31.283,"+0.773",41,"2",17,5125,1530,31.283
