"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRUNO MARS It Will Rain",13393,"-75",-242,"-99",82.663,"-0.710",114,"14",1,13635,2024,86.477
2,"=","KATY PERRY The One That Got Away",13352,"+2",-31,"-3",79.812,"+0.270",110,"27",2,13402,1631,80.623
3,"+1","FLO RIDA Good Feeling",12995,"+67",382,"-45",85.747,"+0.630",122,"5",3,12995,1657,85.747
4,"-1","RIHANNA We Found Love f/Calvin Harris",12926,"-175",-711,"-132",88.96,"-1.149",122,"9",1,14238,2184,95.593
5,"=","ADELE Set Fire To The Rain",10618,"+179",1316,"-124",68.56,"+1.126",61,"3",5,10618,2301,68.56
6,"=","SELENA GOMEZ & THE SCENE Love You Like A...",9067,"-13",8,"-92",47.816,"+0.188",155,"30",6,9093,1208,47.828
7,"+1","JESSIE J Domino",8424,"+136",782,"-46",50.441,"+0.992",131,"7",7,8424,1524,50.441
8,"-1","LMFAO Sexy And I Know It",8345,"-172",-805,"-52",54.514,"-1.069",151,"10",2,12000,1530,74.768
9,"=","DAVID GUETTA Without You f/Usher",7527,"-115",-656,"+55",47.182,"-0.681",151,"37",1,13428,1586,84.476
10,"=","GAVIN DEGRAW Not Over You",6058,"+53",246,"-18",31.032,"+0.284",153,"15",10,6058,547,31.032
11,"+2","DAVID GUETTA Turn Me On f/Nicki Minaj",5829,"+178",1022,"+29",37.255,"+1.018",45,"1",11,5829,1674,37.255
12,"=","J. COLE Workout",5749,"+29",297,"-1",33.518,"+0.129",93,"25",12,5749,659,34.202
13,"-2","GYM CLASS HEROES Stereo Hearts f/Adam Le...",5749,"-131",-1044,"-1",35.557,"-1.181",210,"34",1,13951,1685,86.013
14,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5524,"-30",-96,"+49",35.303,"+0.045",200,"17",1,14127,1893,93.336
15,"=","GYM CLASS HEROES Ass Back Home",5420,"+146",764,"-3",33.913,"+1.004",62,"11",15,5420,1379,33.913
16,"=","JAY Z & KANYE WEST N***** In Paris",5057,"+48",346,"+9",36.395,"-0.006",80,"13",15,5057,785,36.518
17,"=","PITBULL F/CHRIS BROWN International Love",5036,"+111",769,"+13",32.948,"+0.907",83,"8",17,5036,1058,32.948
18,"=","HOT CHELLE RAE I Like It Like That f/New...",4865,"+71",403,"+0",22.336,"+0.182",117,"29",17,4865,639,22.336
19,"=","RIHANNA You Da One",4564,"-9",1,"-61",23.672,"-0.356",75,"32",17,4573,3394,36.963
20,"=","BREATHE CAROLINA Blackout",4411,"+67",68,"+62",24.36,"+0.116",153,"24",20,4411,498,24.36
21,"=","OUTASIGHT Tonight Is The Night",3712,"+77",152,"+92",18.574,"+0.113",85,"33",21,3712,506,18.649
22,"+1","KELLY CLARKSON Stronger (What Doesn't Ki...",3323,"+183",1364,"+10",19.683,"+1.435",17,"2",22,3323,1410,19.683
23,"+1","FRAY Heartbeat",3096,"+0",283,"-83",13.023,"+0.199",90,"65",23,3096,677,13.023
24,"-2","DRAKE Headlines",3038,"-226",-1345,"-115",18.455,"-1.243",101,"49",16,4778,754,30.781
25,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",2766,"+79",496,"-16",17.646,"+0.424",62,"6",25,2766,619,17.646
26,"=","KELLY CLARKSON Mr. Know It All",2611,"-71",-604,"+74",12.983,"-0.197",143,"57",11,6408,1093,34.137
27,"+1","WANTED Glad You Came",2479,"+172",1253,"+52",15.358,"+0.822",17,"41",27,2479,1253,15.358
28,"-1","LADY GAGA Marry The Night",2108,"-272",-1779,"-56",11.899,"-1.243",77,"83",14,5499,1570,30.701
29,"=","T-PAIN 5 O'clock f/Wiz Khalifa",2089,"-110",-1644,"+271",11.029,"-0.561",109,"50",10,6640,1264,34.118
30,"=","BIG TIME RUSH Music Sounds Better With U",1894,"+37",377,"-32",7.062,"+0.143",59,"699",30,1894,409,7.062
31,"=","BIG SEAN Dance (A$$)",1703,"+43",300,"+14",12.457,"+0.395",52,"26",31,1703,341,12.457
32,"=","WILL.I.AM T.H.E (The Hardest Ever)",1471,"-6",9,"-28",5.66,"-0.071",48,"68",30,1477,355,5.769
33,"=","JOJO Disaster",1293,"+21",140,"+2",4.407,"-0.027",73,"404",33,1293,197,4.488
34,"=","WE THE KINGS Say You Like Me",1166,"-1",56,"-8",3.041,"+0.035",128,"316",34,1167,320,3.041
35,"+1","LMFAO Sorry For Party Rocking",1140,"+75",543,"+40",6.238,"+0.103",15,"165",35,1140,543,6.238
36,"-1","DRAKE Take Care f/Rihanna",1127,"+61",355,"+23",13.665,"+0.623",18,"22",35,1127,355,13.665
37,"=","COLBIE CAILLAT Brighter Than The Sun",989,"+30",119,"+6",3.119,"+0.126",80,"42",36,989,157,3.119
38,"=","COLDPLAY Princess Of China",981,"+24",115,"-25",4.705,"+0.113",60,"77",36,981,155,4.705
39,"=","COBRA STARSHIP Middle Finger f/Mac Mille...",912,"+18",80,"+2",3.609,"-0.008",32,"350",39,912,195,3.641
40,"=","FOSTER THE PEOPLE Don't Stop (Color On T...",808,"+21",190,"-20",3.221,"+0.097",13,"85",40,808,295,3.221
41,"=","TRAIN Drive By",804,"+43",324,"-1",2.652,"+0.117",10,"69",41,804,418,2.652
42,"=","NICKI MINAJ Fly f/Rihanna",718,"-11",-150,"+16",3.708,"-0.112",129,"129",15,4998,987,27.303
43,"+1","AVICII Levels (ID)",652,"+31",228,"+17",3.9,"+0.226",20,"--",43,652,228,3.9
44,"-1","CHRISTINA PERRI A Thousand Years",639,"+15",63,"+6",2.235,"+0.048",20,"38",43,639,131,2.235
45,"=","MIKE POSNER Looks Like Sex",540,"-23",-62,"-31",2.165,"-0.070",35,"293",43,602,166,2.626
46,"=","DEV & ENRIQUE IGLESIAS Naked",501,"+46",318,"+18",2.166,"+0.129",4,"663",46,501,318,2.166
47,"=","DAUGHTRY Crawling Back To You",446,"-2",-14,"+12",1.479,"-0.019",89,"438",44,591,134,2
48,"=","CHILDISH GAMBINO Heartbeat",350,"+0",31,"-9",2.157,"+0.008",3,"239",48,350,57,2.157
49,"=","DRAKE Make Me Proud f/Nicki Minaj",340,"+2",-13,"-7",2.254,"-0.048",5,"43",49,357,50,2.567
50,"--","CADY GROVES This Little Girl",298,"--",77,"--",0.502,"--",1,"--",50,298,77,0.502
