"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KE$HA","Die Young",14811,145,1057,-100,114.696,1.125,63,"6",1,14811,3842,114.696
"2",2,"=","MAROON 5","One More Night",13770,-78,-362,-17,105.881,-1.551,132,"14",1,15401,1593,119.954
"3",3,"=","FUN.","Some Nights",12190,-112,-609,1,85.613,-0.387,170,"12",2,13297,1295,93.147
"4",4,"+1","BRUNO MARS","Locked Out Of Heaven",11720,266,1802,2,93.418,2.326,57,"2",4,11720,2790,93.418
"5",5,"-1","NE-YO","Let Me Love You",11601,118,622,25,89.77,0.348,110,"30",4,11601,1345,89.77
"6",6,"=","RIHANNA","Diamonds",11232,141,924,-40,87.019,0.785,62,"10",6,11232,2812,87.019
"7",7,"=","ALEX CLARE","Too Close",10352,-250,-1240,-194,67.023,-1.717,182,"31",4,11973,1328,81.998
"8",8,"=","CHRIS BROWN","Don't Wake Me Up",8855,-263,-1212,-141,60.016,-1.763,163,"60",6,10385,1456,75.301
"9",9,"=","TAYLOR SWIFT","We Are Never Ever Ge...",8565,-223,-1813,223,57.661,-1.511,105,"29",2,13523,4592,90.881
"10",10,"=","FLO RIDA","I Cry",8238,171,961,62,60.562,0.926,73,"8",10,8238,1268,60.562
"11",11,"=","JUSTIN BIEBER","As Long As You Love ...",7048,-88,-1178,270,54.652,-0.569,145,"47",2,13498,1300,100.233
"12",12,"=","PHILLIP PHILLIPS","Home",6790,82,434,-7,48.127,0.742,139,"1",12,6790,1033,48.127
"13",13,"=","NICKI MINAJ","Va Va Voom",6092,43,718,-143,42.972,0.325,39,"33",13,6092,1566,42.972
"14",14,"=","JUSTIN BIEBER","Beauty And A Beat f/...",5930,118,947,-96,45.485,0.658,40,"17",14,5930,1998,45.485
"15",15,"=","LUMINEERS","Ho Hey",5528,112,947,-60,46.432,1.44,72,"4",15,5528,1376,46.432
"16",16,"=","ED SHEERAN","The A Team",5116,67,686,-60,41.905,0.723,100,"35",16,5116,868,41.905
"17",17,"=","PINK","Try",4572,85,1137,-179,27.729,0.423,30,"15",17,4572,1515,27.729
"18",18,"=","SWEDISH HOUSE MAFIA","Don't You Worry Chil...",4330,47,752,-103,32.928,0.724,79,"26",18,4330,904,32.928
"19",19,"=","ONEREPUBLIC","Feel Again",4153,41,160,64,24.82,0.125,82,"41",19,4153,813,25.014
"20",20,"=","ENRIQUE IGLESIAS","Finally Found You f/...",3850,-161,-1252,129,24.385,-1.225,90,"94",12,7155,1803,47.652
"21",21,"=","PITBULL","Don't Stop The Party",3142,2,415,-98,19.238,-0.239,51,"23",21,3142,554,19.477
"22",22,"+1","THE SCRIPT","Hall Of Fame f/will....",2989,35,177,-7,15.596,0.166,72,"40",22,2989,493,15.596
"23",23,"-1","PSY","Gangnam Style",2915,-51,-1077,301,20.664,-0.329,79,"3",10,7746,1695,59.817
"24",24,"=","KELLY CLARKSON","Catch My Breath",2503,43,714,-53,12.626,0.299,32,"130",24,2503,767,12.626
"25",25,"=","BRIDGIT MENDLER","Ready Or Not",2449,-6,154,-48,15.397,-0.187,85,"87",25,2455,336,15.584
"26",26,"=","ELLIE GOULDING","Anything Could Happe...",2399,0,50,-75,13.84,-0.055,65,"55",26,2399,455,13.899
"27",27,"=","TRAIN","50 Ways To Say Goodb...",2287,-112,-905,-20,12.452,-0.599,115,"58",16,4812,717,29.769
"28",28,"+1","IMAGINE DRAGONS","It's Time",2270,58,435,-11,17.081,0.598,65,"27",28,2270,446,17.081
"29",29,"-1","ONE DIRECTION","Live While We're You...",2113,-101,-991,151,11.765,-0.611,68,"82",15,5363,2151,28.68
"30",30,"=","CHER LLOYD","Oath f/Becky G",1957,57,221,76,11.061,0.124,51,"73",30,1957,343,11.061
"31",31,"=","HUNTER HAYES","Wanted",1604,52,368,5,8.554,0.332,44,"43",31,1604,368,8.554
"32",32,"=","ALICIA KEYS","Girl On Fire",1580,46,315,-22,18.087,0.806,35,"28",32,1580,436,18.087
"33",33,"=","LUDACRIS F/USHER/DAV...","Rest Of My Life",1517,72,477,-6,10.806,0.659,15,"157",33,1517,615,10.806
"34",34,"=","CHRIS WALLACE","Remember When (Push ...",1407,18,62,21,5.728,0.069,107,"--",32,1407,131,5.728
"35",35,"+1","CALVIN HARRIS","Sweet Nothing f/Flor...",1325,48,443,-33,14.869,0.29,12,"72",35,1325,479,14.869
"36",36,"-1","MEGAN & LIZ","Bad For Me",1287,-43,-10,-99,4.671,-0.128,79,"210",33,1330,313,4.799
"37",37,"=","MIGUEL","Adorn",1177,0,160,-41,9.547,-0.392,44,"97",37,1177,248,9.94
"38",38,"+2","ONE DIRECTION","Little Things",1168,112,789,48,9.67,1.337,9,"79",38,1168,789,9.67
"39",39,"-1","CARLY RAE JEPSEN","This Kiss",1149,12,20,11,5.585,0.023,46,"125",36,1149,234,5.767
"40",40,"+1","TAYLOR SWIFT","I Knew You Were Trou...",1117,119,784,90,10.205,1.111,8,"18",40,1117,784,10.205
"41",41,"-2","THE READY SET","Give Me Your Hand",1095,19,127,-9,3.641,0.07,30,"--",39,1095,324,3.641
"42",42,"=","TREY SONGZ","2 Reasons f/T.I.",942,-27,-178,28,6.824,-0.051,100,"229",25,2118,262,13.967
"43",43,"=","THE WANTED","I Found You",914,8,90,0,6.625,0.449,46,"62",42,914,173,6.625
