"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MACKLEMORE & RYAN LEWI...","Thrift Shop f/Wanz",15012,"+61",783,"+88",96.338,"-0.363",120,"4",1,15012,2020,109.652
"2",2,"=","MAROON 5","Daylight",14090,"+326",1641,"+443",89.47,"+1.192",115,"19",2,14090,1641,96.697
"3",3,"+1","BRUNO MARS","When I Was Your Man",12365,"+318",2477,"+127",79.755,"+1.749",62,"1",3,12365,2477,82.432
"4",4,"-1","TAYLOR SWIFT","I Knew You Were Troubl...",11990,"-59",-767,"+297",90.535,"-0.810",119,"17",1,16073,2452,126.481
"5",5,"=","SWEDISH HOUSE MAFIA","Don't You Worry Child",11846,"-177",-1766,"+85",78.051,"-1.438",190,"34",1,14704,1905,116.982
"6",6,"=","CALVIN HARRIS","Sweet Nothing f/Floren...",11525,"+167",977,"+162",76.786,"+0.715",123,"29",6,11525,1126,84.444
"7",7,"=","WILL.I.AM & BRITNEY SP...","Scream And Shout",11179,"-82",-821,"+50",71.356,"-0.771",113,"11",3,13157,2182,99.406
"8",8,"=","JUSTIN TIMBERLAKE","Suit & Tie f/JAY Z",10827,"+281",1711,"+189",65.918,"+1.163",63,"2",8,10827,6457,69.183
"9",9,"=","RIHANNA","Stay f/Mikky Ekko",9144,"+267",1577,"+233",65.817,"+1.975",50,"5",9,9144,1617,68.358
"10",10,"=","IMAGINE DRAGONS","It's Time",8194,"+64",479,"-39",46.307,"+0.139",176,"31",10,8194,983,50.249
"11",11,"=","PITBULL","Feel This Moment",7957,"+147",1084,"+91",54.029,"+0.906",71,"6",11,7957,1516,57.91
"12",12,"+2","KELLY CLARKSON","Catch My Breath",5825,"-58",-817,"+84",32.529,"-0.730",143,"35",12,6870,767,44.758
"13",13,"+2","OLLY MURS","Troublemaker f/Flo Rid...",5790,"+166",807,"+192",31.971,"+0.506",91,"15",13,5790,807,34.402
"14",14,"+3","DEMI LOVATO","Heart Attack",5352,"+251",2110,"-87",34.336,"+0.571",18,"10",14,5352,2482,36.928
