"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Rolling In The Deep",14277,-18,301,-94,95.37,-0.78,31,1,14295,2273,96.15
"2",2,"=","KATY PERRY E.T.",11930,-237,-974,-222,81.086,-1.62,31,1,14624,0,96.745
"3",3,"=","BLACK EYED PEAS Just Can't Get Enough",11764,-144,-991,-16,76.743,-0.083,31,2,13366,715,84.474
"4",4,"=","BRUNO MARS Lazy Song",11395,-27,719,-151,61.583,0.022,31,4,11422,1054,61.583
"5",5,"=","PITBULL Give Me Everything f/Ne-Yo",10829,227,1494,32,76.933,1.207,31,5,10829,1811,76.933
"6",6,"=","BRITNEY SPEARS Till The World Ends",10358,-149,-858,-83,68.126,-0.927,31,3,11896,966,75.819
"7",7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",8932,-176,-979,-113,56.815,-0.593,31,5,10169,668,65.118
"8",8,"=","LADY GAGA The Edge Of Glory",7688,263,1718,76,45.788,1.556,31,8,7688,2193,45.788
"9",9,"=","LUPE FIASCO The Show Goes On",7256,68,823,-64,43.46,0.373,31,9,7256,1043,43.46
"10",10,"=","TINIE TEMPAH Written In The Stars",6607,-183,-1272,-64,35.64,-1.354,31,7,8819,756,54.175
"11",11,"=","LMFAO Party Rock Anthem",5698,236,1364,78,41.777,1.617,31,11,5698,1364,41.777
"12",12,"+1","JASON DERULO Don't Wanna Go Home",5370,109,970,-53,29.63,0.87,29,12,5370,1463,29.63
"13",13,"-1","KE$HA Blow",5169,-98,-769,24,31.882,-0.872,31,4,10135,0,56.264
"14",14,"=","RIHANNA S&M",5105,-131,-585,-53,33.311,-1.068,31,5,10081,0,64.524
"15",15,"+1","WIZ KHALIFA Roll Up",4820,14,304,-63,26.356,-0.077,31,15,4820,725,26.433
"16",16,"+2","HOT CHELLE RAE Tonight Tonight",4722,55,543,-44,23.322,0.375,31,16,4722,643,23.322
"17",17,"-2","JESSIE J Price Tag f/B.O.B",4688,-178,-936,-164,23.44,-0.622,31,12,5959,582,30.453
"18",18,"-1","THE SCRIPT For The First Time",4638,-81,-831,75,27.206,-0.279,31,11,6229,433,33.625
"19",19,"=","SELENA GOMEZ & THE SCENE Who Says",4443,-4,162,-54,25.862,-0.137,31,17,4450,707,26.291
"20",20,"=","ONEREPUBLIC Good Life",4381,99,453,52,22.204,0.403,31,20,4381,580,22.204
"21",21,"=","JEREMIH Down On Me f/50 Cent",3852,-80,-959,34,22.772,-0.474,31,10,8052,153,44.2
"22",22,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3821,18,164,-25,20.309,0.237,31,22,3821,605,21.932
"23",23,"+2","NICKI MINAJ Super Bass",3401,118,691,18,20.422,1.017,31,23,3401,834,20.422
"24",24,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",3394,-168,-648,-167,18.896,-0.709,31,17,4096,331,21.342
"25",25,"-1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3351,48,595,-39,19.777,-0.062,29,24,3351,864,19.839
"26",26,"=","TAYLOR SWIFT The Story Of Us",3104,41,343,27,15.398,0.151,31,24,3104,587,15.398
"27",27,"=","KATY PERRY Last Friday Night (T.G.I.F.)",2616,287,1511,168,16.423,1.812,14,27,2616,1511,16.423
"28",28,"+1","RIHANNA California King Bed",2339,57,470,9,11.637,0.442,26,28,2339,616,11.637
"29",29,"-1","LADY GAGA Born This Way",2187,-111,-346,-110,12.141,-0.446,31,19,3651,0,20.436
"30",30,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",2148,46,398,-13,10.003,0.403,31,29,2148,525,10.003
"31",31,"+1","NICOLE SCHERZINGER Right There",1779,69,593,-34,10.308,0.482,15,31,1779,697,10.308
"32",32,"-1","SHONTELLE Say Hello To Goodbye",1752,-16,50,-39,5.6,0.004,31,29,1775,174,5.629
"33",33,"=","MAROON 5 Never Gonna Leave This Bed",1716,9,202,-37,6.797,0.041,31,31,1716,312,6.797
"34",34,"=","THE BAND PERRY If I Die Young",1711,100,547,53,7.281,0.616,31,34,1711,547,7.281
"35",35,"=","CHRIS BROWN Look At Me Now",1364,-11,-269,23,8.94,0.355,31,28,1861,229,12.746
"36",36,"=","NEON TREES Your Surrender",1069,-2,74,-19,2.654,0.011,31,36,1091,173,2.732
"37",37,"=","THE READY SET Young Forever",970,-17,-64,-10,2.28,-0.052,31,35,1045,107,2.59
"38",38,"=","CHRIS BROWN She Ain't You",945,22,195,-8,5.796,-0.022,20,38,945,217,5.818
"39",39,"=","T-PAIN Best Love Song f/Chris Brown",902,17,126,6,3.992,0.288,29,39,902,151,3.992
"40",40,"+1","STEVEN TYLER (It) Feels So Good",844,14,77,-9,3.246,-0.049,20,40,844,326,3.408
"41",41,"-1","DR. DRE I Need A Doctor f/Eminem",803,-66,-249,-54,6.297,-0.824,31,20,3521,0,21.933
"42",42,"+1","AVRIL LAVIGNE Smile",704,14,110,-5,1.888,-0.021,13,42,704,226,1.909
"43",43,"-1","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",683,-38,-176,-9,3.259,-0.141,31,21,3233,127,13.744
