"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5","Payphone f/Wiz Khali...",13877,"-26",-294,"-5",106.44,"+0.320",91,"13",1,14353,3415,107.136
"2",2,"=","CARLY RAE JEPSEN","Call Me Maybe",12830,"-181",-961,"-217",101.134,"-0.995",127,"3",1,14563,1711,111.23
"3",3,"=","RIHANNA","Where Have You Been",12646,"+34",337,"+30",95.312,"+0.139",92,"14",3,12646,1884,95.383
"4",4,"=","KATY PERRY","Wide Awake",12208,"+272",1600,"+177",84.386,"+0.842",55,"1",4,12208,2824,84.386
"5",5,"=","ELLIE GOULDING","Lights",11345,"+3",561,"-150",85.516,"+0.892",157,"6",4,11345,1482,85.516
"6",6,"=","GOTYE","Somebody That I Used...",9670,"-133",-1074,"-76",71.707,"-1.342",137,"10",1,14242,2018,106.819
"7",7,"=","USHER","Scream",9233,"-23",67,"-55",66.287,"+0.809",81,"15",7,9301,2323,66.287
"8",8,"=","DAVID GUETTA","Titanium f/Sia",7970,"+71",416,"+0",61.715,"+0.886",99,"5",8,7970,987,61.715
"9",9,"=","NICKI MINAJ","Starships",6952,"-21",-614,"+17",56.558,"-1.248",153,"44/63",3,12071,1834,87.938
"10",10,"+1","CALVIN HARRIS","Let's Go f/Ne-Yo",6855,"+84",481,"-20",47.282,"+1.105",79,"28",10,6855,1254,47.282
"11",11,"+1","DEMI LOVATO","Give Your Heart A Br...",6713,"+43",376,"-50",45.658,"+0.516",138,"21",11,6713,1250,45.658
"12",12,"-2","ONE DIRECTION","What Makes You Beaut...",6692,"-144",-1075,"-37",47.26,"-1.045",138,"20",3,11838,1579,80.433
"13",13,"=","FUN.","We Are Young f/Janel...",6233,"-97",-759,"-46",41.629,"-1.235",145,"24",1,14439,2738,110.772
"14",14,"=","ONE DIRECTION","One Thing",5379,"-44",170,"-106",29.459,"-0.046",71,"30",14,5425,975,29.694
"15",15,"=","GYM CLASS HEROES","Fighter f/Ryan Tedde...",5238,"-117",-591,"-120",29.998,"-0.908",77,"18",13,5862,1441,35.394
"16",16,"=","CHER LLOYD","Want U Back",5172,"+94",558,"+47",31.574,"+0.198",65,"7",16,5172,1103,31.574
"17",17,"=","HAVANA BROWN","We Run The Night f/P...",4941,"+71",297,"+12",36.574,"+0.532",155,"38",17,4941,544,36.574
"18",18,"+1","OWL CITY & CARLY RAE...","Good Time",3905,"+158",705,"+18",25.623,"+1.373",20,"9",18,3905,1961,25.623
"19",19,"+4","PINK","Blow Me (One Last Ki...",3829,"+490",2605,"+320",29.818,"+3.208",12,"4",19,3829,2605,29.818
"20",20,"+1","FLO RIDA","Whistle",3715,"+149",1076,"+41",25.88,"+1.566",41,"2",20,3715,1076,25.88
"21",21,"-3","PITBULL","Back In Time",3638,"-144",-1231,"+45",22.319,"-1.065",109,"33",14,6235,925,42.751
"22",22,"-2","JUSTIN BIEBER","Boyfriend",3410,"-171",-979,"-16",17.987,"-1.007",112,"32",9,7937,4726,51.515
"23",23,"-1","RITA ORA","How We Do (Party)",3363,"-61",-39,"-87",16.567,"-0.090",81,"74",21,3424,620,16.657
"24",24,"+1","THE WANTED","Chasing The Sun",3356,"+67",393,"+14",19.419,"-0.511",73,"27",23,3356,461,19.93
"25",25,"+1","B.O.B","Both Of Us f/Taylor ...",2783,"-57",-327,"-27",15.839,"-0.305",64,"37",23,3144,577,17.595
"26",26,"+1","NEON TREES","Everybody Talks",2741,"+84",417,"+58",17.813,"+0.675",98,"12",26,2741,417,17.813
"27",27,"+1","GROUPLOVE","Tongue Tied",2227,"+56",191,"-8",12.803,"+0.387",83,"47",27,2227,433,12.803
"28",28,"+1","JASON MRAZ","I Won't Give Up",2092,"+3",52,"-18",12.583,"-0.038",92,"16",27,2097,276,12.775
"29",29,"+1","KELLY CLARKSON","Dark Side",1917,"+70",379,"-20",12.813,"+0.442",37,"46",29,1917,406,12.813
"30",30,"+1","OUTASIGHT","Now Or Never",1839,"+45",158,"-72",9.171,"+0.185",67,"308",29,1839,320,9.171
"31",31,"+1","ADELE","Rumour Has It",1457,"-31",-262,"+13",7.891,"-0.011",134,"97",8,8497,1514,56.313
"32",32,"+1","ALEX CLARE","Too Close",1379,"+44",194,"+23",7.651,"+0.497",48,"29",32,1379,257,7.651
"33",33,"+3","JUSTIN BIEBER","As Long As You Love ...",1289,"+104",550,"+41",10.242,"+0.899",11,"53",33,1289,550,10.242
"34",34,"+1","FUN.","Some Nights",1276,"+26",228,"-1",6.945,"+0.116",36,"8",34,1276,247,6.945
"35",35,"-1","SAMMY ADAMS","Only One",1270,"+16",0,"-20",5.269,"-0.146",58,"196",32,1286,230,6.013
"36",36,"+1","MATCHBOX TWENTY","She's So Mean",939,"-10",-78,"-27",4.286,"-0.019",29,"86",36,1026,574,4.492
"37",37,"+1","SEAN KINGSTON","Back 2 Life (Live It...",881,"+24",23,"+21",4.376,"+0.002",36,"395",37,881,305,4.543
"38",38,"+1","LINKIN PARK","Burn It Down",855,"+5",123,"-15",2.982,"+0.078",40,"58",38,855,217,2.982
"39",39,"+3","K'NAAN","Hurt Me Tomorrow",758,"+73",248,"+78",3.54,"+0.500",30,"--",39,758,248,3.54
