"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MACKLEMORE & RYAN...","Can't Hold Us f/R...",16272,-58,-231,-242,112.077,-0.014,93,"4",1,16503,2448,112.279
"2",2,"=","JUSTIN TIMBERLAKE","Mirrors",15317,-207,-648,-233,105.503,-1.461,85,"10",1,16201,3114,111.865
"3",3,"=","ICONA POP","I Love It f/Charl...",14264,-18,70,-140,91.064,-1.022,127,"19",3,14326,1359,93.264
"4",4,"=","SELENA GOMEZ","Come & Get It",12618,210,1300,-12,78.894,0.467,67,"6",4,12618,2034,78.894
"5",5,"=","PINK","Just Give Me A Re...",10595,-207,-1307,-88,74.279,-0.678,115,"9",1,15624,1949,106.133
"6",6,"=","DAFT PUNK","Get Lucky",9545,179,1179,-87,64.305,1.114,54,"2",6,9545,1817,64.305
"7",7,"=","FLORIDA-GEORGIA L...","Cruise",9265,57,432,-20,46.762,-0.051,81,"5/21",7,9265,1411,46.813
"8",8,"=","FALL OUT BOY","My Songs Know Wha...",8942,81,502,19,51.777,0.302,125,"7",8,8942,1015,51.777
"9",9,"=","DEMI LOVATO","Heart Attack",8064,-502,-3056,-270,49.569,-2.175,107,"33",4,12179,2482,74.905
"10",10,"=","JASON DERULO","The Other Side",7980,60,460,-10,45.818,0.215,57,"25",10,7980,2399,45.818
"11",11,"+2","IMAGINE DRAGONS","Radioactive",7683,193,1685,-4,45.316,1.263,63,"3",11,7683,1692,45.316
"12",12,"-1","ARIANA GRANDE","The Way f/Mac Mil...",7681,15,264,-138,40.497,0.265,76,"14",11,7681,1373,40.497
"13",13,"+1","BRUNO MARS","Treasure",7559,118,1064,-64,47.825,0.22,35,"16",13,7559,2114,47.825
"14",14,"+1","ROBIN THICKE","Blurred Lines f/P...",7525,339,2007,19,55.863,2.399,37,"1",14,7525,2498,55.863
"15",15,"-3","RIHANNA","Stay f/Mikky Ekko",7426,-200,-1283,-159,47.886,-1.545,139,"31",1,15599,1920,102.136
