"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",13410,-38,-139,-1,97.062,-0.425,76,"9",1,13549,2321,99.332
"2",2,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",12481,-25,388,-133,91.426,-0.273,104,"19",2,12506,1674,91.799
"3",3,"=","ADELE Set Fire To The Rain",11425,-210,-954,-74,85.812,-2.018,120,"15",1,13928,2301,95.946
"4",4,"=","WANTED Glad You Came",11091,198,1162,81,79.339,1.44,76,"4",4,11091,1330,79.339
"5",5,"=","GYM CLASS HEROES Ass Back Home",10708,67,800,-7,72.485,-0.608,121,"28",4,10708,1379,73.574
"6",6,"=","KATY PERRY Part Of Me",9376,100,906,-57,66.115,0.554,40,"11",6,9376,3625,66.115
"7",7,"+2","FUN. We Are Young f/Janelle Monae",8296,306,2661,-77,67.31,3.423,31,"1",7,8296,2738,67.31
"8",8,"=","PITBULL F/CHRIS BROWN International Love",7979,-176,-663,-60,57.15,-1.053,142,"26",5,9155,1086,62.67
"9",9,"-2","JESSIE J Domino",7968,-238,-1511,-16,55.769,-0.948,190,"41",2,12024,1524,67.403
"10",10,"=","FLO RIDA Good Feeling",7215,-76,-608,84,56.54,-0.546,181,"31",1,13154,1657,85.747
"11",11,"+1","DRAKE Take Care f/Rihanna",7114,73,433,9,56.175,-0.102,77,"17",11,7114,1220,56.44
"12",12,"-1","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",7032,-67,-118,-58,46.375,-0.568,121,"16",10,7182,1174,48.863
"13",13,"=","RIHANNA We Found Love f/Calvin Harris",6581,-27,-461,72,55.383,-0.254,181,"50",1,14238,2184,95.593
"14",14,"=","CALVIN HARRIS Feel So Close",6382,42,488,23,46.467,0.412,44,"13",13,6382,1329,46.467
"15",15,"=","OUTASIGHT Tonight Is The Night",6035,55,293,82,36.649,0.094,144,"49",13,6035,572,36.649
"16",16,"=","NICKI MINAJ Starships",5724,97,620,60,40.843,0.648,39,"7/53",16,5724,1834,40.843
"17",17,"=","FLO RIDA Wild Ones f/Sia",5536,133,1004,-46,42.118,0.679,49,"3",17,5536,1182,42.118
"18",18,"=","CHRIS BROWN Turn Up The Music",4888,-6,308,-31,33.261,-0.246,52,"25",18,4894,987,33.507
"19",19,"=","ONE DIRECTION What Makes You Beautiful",4543,189,1380,31,27.698,0.832,24,"6",19,4543,1380,27.698
"20",20,"=","KARMIN Broken Hearted",4043,60,796,-47,23.848,-0.029,34,"24",19,4043,936,23.877
"21",21,"=","TRAIN Drive By",3663,24,156,-16,20.786,0.214,69,"10",20,3663,527,20.786
"22",22,"=","B.O.B So Good",2925,107,915,23,22.182,0.296,21,"14",22,2925,915,22.182
"23",23,"=","ADELE Rumour Has It",2383,135,900,13,12.796,0.548,20,"33",23,2383,900,12.796
"24",24,"=","GOTYE Somebody That I Used To Know",2265,120,801,15,16.414,0.945,23,"2",24,2265,801,16.414
"25",25,"=","CHRISTINA PERRI A Thousand Years",2054,-1,177,-2,9.374,0.005,79,"35",23,2055,280,9.423
"26",26,"=","RIHANNA Talk That Talk f/Jay Z",1966,39,209,18,12.13,0.001,46,"51",25,1966,339,12.13
"27",27,"=","COLDPLAY Princess Of China",1709,-93,-310,-97,8.303,-0.667,119,"64",24,2042,363,10.812
"28",28,"=","JASON DERULO Breathing",1520,-14,51,-11,6.315,-0.138,49,"165",28,1573,432,6.812
"29",29,"=","DEV & ENRIQUE IGLESIAS Naked",1517,8,85,18,8.298,-0.034,63,"142",29,1524,318,8.49
"30",30,"=","JAY Z & KANYE WEST N***** In Paris",1292,-21,-258,10,10.214,-0.021,139,"58",15,5155,785,36.602
"31",31,"=","J. COLE Workout",1213,-21,-78,3,11.061,-0.27,152,"120",12,5803,659,35.209
"32",32,"=","DRAKE The Motto f/Lil Wayne",1195,10,112,-10,13.733,0.416,34,"18",32,1195,237,13.733
"33",33,"+1","ELLIE GOULDING Lights",1179,37,187,37,5.579,0.206,43,"77",33,1179,201,5.579
"34",34,"+1","CARLY RAE JEPSEN Call Me Maybe",1177,82,384,36,6.888,0.65,13,"8",34,1177,410,6.888
"35",35,"-2","HAVANA BROWN We Run The Night f/Pitbull",1162,19,37,13,10.12,0.027,41,"78",33,1162,237,10.526
"36",36,"=","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",1131,39,159,55,7.257,0.188,20,"93",36,1131,461,7.257
"37",37,"=","TYGA Rack City",1002,-37,-221,-8,3.901,-0.187,57,"22",32,1257,287,8.937
"38",38,"+1","NEON HITCH F U Betta",836,41,178,24,2.44,0.118,20,"814",38,836,215,2.44
"39",39,"+1","DEMI LOVATO Give Your Heart A Break",805,32,134,17,5.111,0.319,24,"128",39,805,148,5.111
"40",40,"-2","ALL-AMERICAN REJECTS Beekeeper's Daughte...",804,4,44,-2,2.684,-0.074,35,"604",38,804,204,2.758
"41",41,"+1","CHRIS RENE Young Homie",663,29,126,31,2.013,0.152,13,"119",41,663,171,2.013
"42",42,"+1","USHER Climax",654,24,282,-15,2.903,-0.004,6,"43",42,654,348,2.968
"43",43,"-2","LMFAO Sorry For Party Rocking",651,-55,-638,66,3.186,-0.221,74,"82",19,3980,1009,16.853
"44",44,"=","WALLPAPER F**king Best Song Everrr",642,33,218,1,3.403,0.105,8,"--",44,642,218,3.403
"45",45,"=","J. COLE Can't Get Enough f/Trey Songz",545,-10,35,-22,3.486,-0.076,13,"104",44,562,156,3.809
"46",46,"+1","SEAN PAUL She Doesn't Mind",510,12,51,-2,1.743,0.056,13,"175",46,510,158,1.821
"47",47,"-1","CHIDDY BANG Ray Charles",483,-40,-185,-21,1.22,-0.113,36,"613",41,711,150,2.02
"48",48,"=","AVICII Levels",471,4,12,-8,4.346,0.193,79,"105",33,1352,260,9.722
"49",49,"=","CADY GROVES This Little Girl",440,-18,-101,-9,0.885,-0.019,30,"--",44,553,89,1.158
"50",50,"=","FAR EAST MOVEMENT Live My Life f/Justin ...",318,7,7,-2,1.277,0.017,2,"398",50,318,9,1.277
