"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","LORDE","Royals",16427,"+46",434,"-180",109.555,"+0.571",70,"3",1,16427,2817,109.555
2,"=","KATY PERRY","Roar",16368,"+3",-657,"+65",110.326,"+0.089",71,"4",1,17176,6098,117.145
3,"=","AVICII","Wake Me Up",16270,"+57",405,"-30",109.418,"+0.474",86,"8",2,16270,2103,109.418
4,"=","MILEY CYRUS","Wrecking Ball",12376,"+116",1674,"-138",85.461,"+0.262",40,"7",4,12376,2954,85.461
5,"=","JAY Z","Holy Grail f/Just...",11584,"-66",-105,"-87",76.757,"+0.324",109,"18",4,11700,2095,78.442
6,"=","LADY GAGA","Applause",11340,"-9",167,"-62",75.192,"-0.588",70,"13",6,11407,3922,77.477
7,"=","LANA DEL REY","Summertime Sadnes...",10564,"-232",-1726,"-14",63.016,"-1.799",110,"35/50",2,13737,1923,88.403
8,"=","DRAKE","Hold On We're Goi...",10294,"+99",386,"+161",66.787,"+0.358",71,"9",7,10294,1610,66.787
9,"+1","SELENA GOMEZ","Slow Down",7700,"+42",541,"-86",43.779,"-0.142",64,"34",9,7700,1167,44.042
10,"-1","PARAMORE","Still Into You",7698,"+30",72,"+21",44.818,"+0.411",165,"27",9,7698,961,46.958
11,"+1","BRUNO MARS","Gorilla",6712,"+66",289,"+66",38.494,"+0.235",42,"30",11,6712,1872,38.774
12,"+1","ROBIN THICKE","Give It 2 U f/Ken...",6148,"-20",-145,"-39",32.398,"-0.458",78,"57",12,6339,1340,33.892
13,"+2","BRITNEY SPEARS","Work Bitch",5599,"-14",226,"-29",30.035,"-0.344",36,"28",13,5635,3487,31.994
14,"=","TAYLOR SWIFT","Everything Has .....",5562,"-54",4,"-114",28.816,"-0.598",99,"45",14,5693,990,31.815
15,"+1","JUSTIN TIMBERLAKE","TKO",5229,"+71",621,"-201",30.851,"+0.447",27,"73",15,5229,1724,30.851
16,"+1","IMAGINE DRAGONS","Demons",4750,"+117",1095,"-71",29.568,"+1.269",50,"14",16,4750,1166,29.568
17,"+1","TEGAN & SARA","Closer",4253,"+30",279,"-7",21.773,"+0.168",127,"94",17,4253,570,21.773
18,"+1","AWOLNATION","Sail",3888,"-7",-167,"+26",18.127,"-0.032",151,"33",17,4079,550,18.593
19,"+1","JASON DERULO","Marry Me",3839,"+47",392,"-156",19.322,"+0.065",37,"21",19,3839,856,19.322
20,"+1","NEIGHBOURHOOD","Sweater Weather",2908,"+58",550,"+7",11.587,"+0.477",114,"39",20,2908,550,11.587
21,"+3","RIHANNA","What Now",2817,"+120",503,"+11",11.71,"+0.726",30,"137",21,2817,821,11.71
22,"=","MACKLEMORE & RYAN...","Same Love f/Mary ...",2679,"-118",-890,"+63",19.154,"-0.956",150,"86",5,11178,1815,71.324
23,"+2","PINK","True Love f/Lily ...",2599,"-30",-553,"-5",10.953,"-0.100",92,"92",22,3177,503,13.47
24,"-1","EMINEM","Berzerk",2532,"-261",-1484,"-248",9.75,"-1.172",55,"16",18,4302,1757,19.955
25,"+1","TRAVIE MCCOY","Rough Water f/Jas...",2521,"+150",433,"+74",15.806,"+1.164",28,"72",25,2521,705,15.806
26,"+2","ZEDD","Stay The Night f/...",2295,"+234",896,"+139",17.295,"+1.362",22,"54",26,2295,896,17.295
27,"=","J. COLE","Crooked Smile f/T...",2128,"-6",159,"-119",11.002,"-0.075",63,"142",27,2134,332,11.077
28,"+1","FIFTH HARMONY","Miss Movin' On",2013,"-22",-295,"-24",8.835,"-0.634",104,"66",25,2347,324,11.589
29,"+1","MILEY CYRUS","We Can't Stop",1958,"-60",-197,"-19",12.395,"-0.503",138,"25",9,9405,1276,55.184
30,"+2","FALL OUT BOY","Alone Together",1635,"+59",131,"+49",7.668,"+0.715",63,"125",30,1635,326,7.668
31,"=","ARMIN VAN BUUREN","This Is What It F...",1561,"-35",-53,"-51",12.658,"+0.124",88,"111",31,1615,249,13.444
32,"+1","ICONA POP","All Night",1535,"+41",116,"+85",7.612,"+0.299",64,"140",32,1535,231,7.612
33,"+1","MACKLEMORE & RYAN...","White Walls f/ScH...",1424,"+65",280,"+39",7.291,"+0.553",37,"51",33,1424,291,7.291
34,"+2","PASSENGER","Let Her Go",1354,"+49",367,"+11",6.873,"+0.191",22,"12",34,1354,367,6.873
35,"+5","PITBULL","Timber f/Ke$ha",1342,"+175",845,"+104",12.725,"+1.200",7,"20",35,1342,845,12.725
36,"+1","ONEREPUBLIC","Counting Stars",1285,"+37",452,"-62",8.234,"+0.245",9,"10",36,1285,576,8.234
37,"+1","EMELI SANDE","My Kind Of Love",1273,"+33",163,"-3",3.453,"+0.128",22,"276",37,1273,433,3.453
38,"+1","ELLIE GOULDING","Burn",1215,"+44",460,"+12",6.814,"+0.356",15,"44",38,1215,460,6.814
39,"-4","KREWELLA","Live For The Nigh...",1190,"-141",-830,"-162",6.471,"-0.391",91,"285",28,2083,288,10.333
40,"+1","ENRIQUE IGLESIAS","Heart Attack",1183,"+38",205,"-3",8.221,"+0.328",15,"69",39,1183,564,8.221
41,"+1","SARA BAREILLES","Brave",1136,"+26",171,"+13",5.665,"+0.199",50,"36",38,1136,194,5.665
42,"+2","CHRIS BROWN","Love More f/Nicki...",979,"+11",136,"-3",5.457,"+0.054",28,"63",42,979,161,5.457
43,"+2","THE WANTED","We Own The Night",923,"-16",79,"-60",2.018,"+0.018",57,"--",41,939,193,2.897
44,"+3","JOHN NEWMAN","Love Me Again",885,"+7",72,"-11",4.052,"+0.018",17,"--",43,885,205,4.131
45,"+1","CHER LLOYD","I Wish f/T.I.",885,"-5",64,"-27",2.286,"-0.016",22,"199",43,890,293,2.302
46,"+3","KATY PERRY","Unconditionally",868,"+147",868,"+147",11.054,"+2.010",2,"--",46,868,868,11.054
47,"+3","ZENDAYA","Replay",786,"+66",457,"+37",3.648,"+0.375",4,"47",47,786,457,3.648
48,"=","NEW POLITICS","Harlem",782,"-5",35,"+32",3.204,"-0.045",46,"157",42,798,159,3.249
49,"--","CHRIS WALLACE","Keep Me Crazy",676,"--",22,"--",1.219,"--",48,"--",45,676,111,1.219
50,"--","YLVIS","The Fox",651,"--",249,"--",2.862,"--",1,"11",50,651,249,2.862
