"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","RIHANNA We Found Love f/Calvin Harris",13460,"+16",-353,"+57",88.377,"-0.072",103,"5",1,14238,2184,95.493
"2",2,"=","BRUNO MARS It Will Rain",12576,"+55",-100,"+84",75.637,"+0.893",95,"7",2,12856,2024,78.935
"3",3,"=","KATY PERRY The One That Got Away",12459,"-27",-166,"-54",70.982,"+0.241",91,"9",2,12625,1631,75.028
"4",4,"=","LMFAO Sexy And I Know It",10367,"-191",-378,"-217",63.982,"-0.777",132,"3",2,12000,1530,74.768
"5",5,"=","FLO RIDA Good Feeling",10284,"+112",58,"+103",65.551,"+0.595",103,"4",5,10297,1207,67.253
"6",6,"=","DAVID GUETTA Without You f/Usher",9222,"-25",-200,"-8",56.701,"-0.290",132,"29",1,13428,1586,84.476
"7",7,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",8017,"-100",-174,"-72",53.012,"-1.490",191,"17",1,13951,1685,86.013
"8",8,"=","SELENA GOMEZ & THE SCENE Love You Like A...",7339,"+49",-10,"+33",36.951,"+0.091",136,"31",8,7379,1048,37.84
"9",9,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",6559,"-30",-6,"-17",40.49,"-0.168",181,"22",1,14127,1893,93.336
"10",10,"=","T-PAIN 5 O'clock f/Wiz Khalifa",5941,"-73",-360,"-35",29.522,"-0.913",90,"26",10,6640,1264,34.118
"11",11,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",5888,"-20",-10,"+3",37.584,"-0.550",206,"46",4,11548,1097,70.438
"12",12,"+1","ADELE Set Fire To The Rain",5748,"+193",639,"+139",35.242,"+1.592",42,"2",12,5748,1581,35.242
"13",13,"-1","ADELE Someone Like You",5663,"-55",-285,"-50",39.841,"-0.728",152,"13",2,13563,2614,91.686
"14",14,"+1","JESSIE J Domino",5293,"+103",261,"+51",30.27,"+0.417",112,"15",14,5293,769,30.27
"15",15,"-1","KELLY CLARKSON Mr. Know It All",5227,"-144",-296,"-129",26.025,"-0.609",124,"48",11,6408,1093,34.137
"16",16,"=","GAVIN DEGRAW Not Over You",5090,"+1",1,"-35",24.114,"+0.005",134,"20",15,5190,547,25.648
"17",17,"=","LADY GAGA Marry The Night",4997,"-42",-233,"-48",26.007,"-0.307",58,"43",14,5499,1570,30.701
"18",18,"=","J. COLE Workout",4764,"+61",51,"+56",30.465,"+0.085",74,"16",18,4764,659,32.034
"19",19,"=","DRAKE Headlines",4621,"+3",29,"-24",28.886,"-0.559",82,"28",17,4621,754,30.781
"20",20,"=","RIHANNA You Da One",3998,"+39",10,"+40",22.818,"-0.069",56,"25",19,4063,3394,36.963
"21",21,"+1","BREATHE CAROLINA Blackout",3902,"+27",85,"+13",18.416,"+0.216",134,"38",21,3902,498,20.033
"22",22,"-1","JAY Z & KANYE WEST N***** In Paris",3876,"-6",-35,"-66",28.667,"-0.354",61,"6",21,3934,785,30.874
"23",23,"+1","HOT CHELLE RAE I Like It Like That f/New...",3511,"-15",-25,"-33",15.725,"-0.113",98,"32",23,3602,535,16.585
"24",24,"-1","DEV In The Dark",3495,"-33",29,"-38",25.331,"-0.367",161,"120",8,8037,1224,51.486
"25",25,"=","OUTASIGHT Tonight Is The Night",2922,"-10",-30,"-45",14.316,"-0.045",66,"44",25,2952,500,14.791
"26",26,"=","PITBULL F/CHRIS BROWN International Love",2852,"+51",64,"+18",19.268,"+0.587",64,"18",26,2852,507,19.268
"27",27,"=","GYM CLASS HEROES Ass Back Home",2646,"+146",334,"+121",16.009,"+0.704",43,"54",27,2646,514,16.009
"28",28,"+2","DAVID GUETTA Turn Me On f/Nicki Minaj",2381,"+207",449,"+179",15.447,"+0.809",26,"21",28,2381,730,15.447
"29",29,"-1","FRAY Heartbeat",2305,"-12",-43,"-21",9.745,"-0.174",71,"101",27,2515,677,12.362
"30",30,"-1","JASON DERULO It Girl",2187,"-13",-16,"-7",9.21,"-0.090",141,"40",10,6647,1048,29.647
"31",31,"=","AVRIL LAVIGNE Wish You Were Here",1776,"-8",-94,"-10",5.715,"-0.048",61,"93",30,1965,503,7.725
"32",32,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",1458,"+22",99,"+21",7.404,"+0.114",43,"8",32,1458,307,7.611
"33",33,"=","ALEXANDRA STAN Mr. Saxobeat",1419,"-10",102,"+27",13.645,"-0.082",166,"115",18,4585,673,38.816
"34",34,"=","LADY ANTEBELLUM Just A Kiss",1325,"-37",-194,"-23",5.074,"-0.204",107,"49",23,2755,525,13.059
"35",35,"+1","BIG TIME RUSH Music Sounds Better With U",1187,"+2",-1,"-6",3.794,"-0.105",40,"767",35,1191,221,3.899
"36",36,"-1","NICKI MINAJ Fly f/Rihanna",1150,"-54",-261,"-36",7.734,"-0.443",110,"77",15,4998,987,27.303
"37",37,"=","WILL.I.AM T.H.E (The Hardest Ever)",1081,"-5",24,"-37",3.413,"+0.099",29,"58",37,1086,355,3.413
"38",38,"=","LADY GAGA You And I",1038,"-24",-41,"-37",5.712,"-0.095",150,"62",7,7824,1553,44.474
"39",39,"=","JOJO Disaster",986,"+21",2,"+19",2.787,"+0.025",54,"584",39,1010,197,2.886
"40",40,"=","WE THE KINGS Say You Like Me",958,"+7",-61,"+20",2.321,"+0.009",109,"350",37,1050,320,2.605
"41",41,"=","BIG SEAN Dance (A$$)",894,"+33",86,"+25",6.866,"+0.317",33,"23",41,894,140,6.866
"42",42,"+1","TIMBALAND Pass At Me f/Pitbull",820,"-2",-90,"+11",5.4,"-0.249",54,"393",35,1142,319,7.395
"43",43,"-1","COLDPLAY Princess Of China",813,"-19",-13,"-27",3.591,"-0.049",41,"136",41,853,155,3.982
"44",44,"=","KARMIN Crash Your Party",726,"-48",-180,"-32",3.484,"-0.161",54,"--",35,1073,234,5.128
"45",45,"=","COLBIE CAILLAT Brighter Than The Sun",691,"+5",33,"+3",2.291,"-0.016",61,"88",41,832,119,2.442
"46",46,"=","COBRA STARSHIP Middle Finger f/Mac Mille...",529,"+25",38,"+19",1.951,"+0.110",13,"--",46,529,115,1.951
"47",47,"=","DAUGHTRY Crawling Back To You",488,"+5",22,"+8",1.695,"+0.008",70,"461",46,591,134,2
