"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","JOHN LEGEND","All Of Me",17213,"+23",374,"-61",121.112,"+0.180",85,"2",1,17213,2520,121.112
"2",2,"=","JASON DERULO","Talk Dirty f/2 Chainz",16046,"-134",-777,"-110",110.645,"-0.961",116,"7/26",1,16827,2775,114.964
"3",3,"=","PHARRELL WILLIAMS","Happy",15116,"-141",-895,"-1",100.818,"-0.240",96,"1",1,17173,2414,120.293
"4",4,"=","KATY PERRY","Dark Horse",12485,"-141",-1139,"-87",97.855,"-0.596",153,"8",1,17515,2780,123.167
"5",5,"=","JUSTIN TIMBERLAKE","Not A Bad Thing",11277,"+141",1373,"-86",68.216,"+0.528",60,"9",5,11277,2024,68.216
"6",6,"=","DEMI LOVATO","Neon Lights",10559,"-51",78,"-33",62.939,"-0.121",147,"48",5,10638,1162,63.06
"7",7,"=","AMERICAN AUTHORS","Best Day Of My Life",10527,"+125",939,"-1",59.674,"+0.256",136,"30",7,10527,1116,59.674
"8",8,"=","BASTILLE","Pompeii",8912,"-57",-812,"+108",68.231,"+0.621",167,"20",3,15079,1804,100.897
"9",9,"+1","AVICII","Hey Brother",8509,"-90",138,"-89",51.268,"-0.598",140,"24",9,8638,816,52.005
"10",10,"-1","LORDE","Team",8354,"-251",-1767,"-31",61.693,"-1.496",152,"45",1,16451,1641,108.342
"11",11,"+2","PARAMORE","Ain't It Fun",7445,"+158",890,"+88",47.885,"+1.628",75,"14",11,7445,978,47.885
"12",12,"=","MARTIN GARRIX","Animals",7335,"-30",44,"-11",41.718,"-0.266",144,"29",12,7393,993,43.39
"13",13,"+1","NAUGHTY BOY","La La La f/Sam Smith",7225,"+21",367,"-34",40.06,"-0.265",102,"23",13,7225,984,40.325
"14",14,"-3","ALOE BLACC","The Man",7207,"-245",-1648,"-101",31.633,"-1.190",92,"12",8,9064,1722,43.362
"15",15,"=","RIXTON","Me And My Broken Heart",6722,"+81",784,"-69",37.234,"+0.199",53,"25",15,6722,1397,37.234
"16",16,"=","ED SHEERAN","Sing",6043,"+314",2731,"-47",39.909,"+1.706",16,"11",16,6043,2778,39.909
"17",17,"=","TIESTO","Red Lights",5418,"+36",694,"-43",33.643,"-0.024",62,"72",16,5418,850,33.667
"18",18,"=","PITBULL","Wild Wild Love f/GRL",5412,"+86",749,"-13",34.926,"+0.332",53,"21",17,5412,1068,34.926
"19",19,"=","DJ SNAKE & LIL JON","Turn Down For What",5292,"+162",1115,"+50",35.515,"+0.959",95,"3",18,5292,1115,35.515
"20",20,"=","MKTO","Classic",4859,"+97",601,"+56",24.694,"+0.667",144,"13",19,4859,601,24.694
"21",21,"=","AUSTIN MAHONE","Mmm Yeah f/Pitbull",4671,"+66",213,"+91",19.74,"+0.198",79,"33",18,4671,764,20.02
"22",22,"=","5 SECONDS OF SUMMER","She Looks So Perfect",3744,"+144",839,"+23",17.998,"+0.614",31,"32",22,3744,1186,17.998
"23",23,"+1","IGGY AZALEA","Fancy f/Charlie XCX",3205,"+131",1027,"-7",20.199,"+0.803",34,"4",23,3205,1034,20.199
"24",24,"-1","CALVIN HARRIS","Summer",3204,"+90",661,"+35",26.054,"+0.411",34,"27",23,3204,763,26.054
"25",25,"=","NICO & VINZ","Am I Wrong",3066,"+125",806,"+14",14.68,"+0.761",23,"19",25,3066,1022,14.68
"26",26,"=","NEON TREES","Sleeping With A Friend",2824,"+115",207,"+83",12.663,"+0.303",78,"36",24,2824,507,12.663
"27",27,"=","DISCLOSURE","Latch f/Sam Smith",2597,"+52",298,"+77",12.197,"+0.154",81,"31",27,2597,344,12.197
"28",28,"+3","KATY PERRY","Birthday",2402,"+303",1488,"+207",17.388,"+1.842",18,"127",28,2402,1488,17.388
"29",29,"=","B.O.B","John Doe f/Priscilla",2079,"-126",-334,"-138",9.8,"-0.600",65,"44",25,2490,644,12.96
"30",30,"=","EMINEM","Headlights",1971,"-178",-626,"-132",8.453,"-0.733",68,"86",23,2731,453,13.933
"31",31,"-3","THE CHAINSMOKERS","#Selfie",1967,"-378",-2625,"-115",7.602,"-1.160",66,"38",13,6173,1709,33.093
"32",32,"=","LADY GAGA","G.U.Y.",1905,"+5",263,"-55",7.116,"-0.107",25,"--",32,1905,816,7.227
"33",33,"=","KID INK","Show Me f/Chris Brown",1776,"-58",-853,"+79",14.106,"-0.247",109,"63",19,3945,644,21.33
"34",34,"=","KATY TIZ","The Big Bang",1497,"+54",150,"+55",10.483,"+0.542",29,"213",34,1497,878,10.483
