"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KE$HA","Die Young",15058,140,933,-34,116.647,1.033,65,"8",1,15058,3842,116.647
2,"=","MAROON 5","One More Night",13604,-81,-376,26,103.086,-1.406,134,"15",1,15401,1593,119.954
3,"+1","BRUNO MARS","Locked Out Of Heaven",12239,269,1736,-37,98.375,2.348,59,"3",3,12239,2790,98.375
4,"-1","FUN.","Some Nights",11867,-208,-710,-94,83.222,-1.44,172,"14",2,13297,1295,93.147
5,"=","NE-YO","Let Me Love You",11682,39,520,-72,89.37,-0.329,112,"27",4,11682,1345,89.77
6,"=","RIHANNA","Diamonds",11642,209,1144,99,89.345,0.963,64,"10",6,11642,2812,89.345
7,"=","ALEX CLARE","Too Close",9889,-247,-1440,-71,63.973,-1.889,184,"30",4,11973,1328,81.998
8,"+1","FLO RIDA","I Cry",8644,210,1141,136,63.201,1.198,75,"9",8,8644,1268,63.201
9,"-1","CHRIS BROWN","Don't Wake Me Up",8385,-256,-1413,-88,57.352,-1.458,165,"63",6,10385,1456,75.301
10,"=","TAYLOR SWIFT","We Are Never Ever Ge...",7990,-335,-1762,-21,53.838,-1.987,107,"31",2,13523,4592,90.881
11,"+1","PHILLIP PHILLIPS","Home",6878,56,434,33,49.801,0.727,141,"5",11,6878,1033,49.801
12,"-1","JUSTIN BIEBER","As Long As You Love ...",6760,-201,-1054,-67,52.143,-1.186,147,"54",2,13498,1300,100.233
13,"+1","JUSTIN BIEBER","Beauty And A Beat f/...",6153,115,876,-24,47.115,0.832,42,"16",13,6153,1998,47.115
14,"-1","NICKI MINAJ","Va Va Voom",6140,10,498,-78,43.567,0.337,41,"26",13,6140,1566,43.567
15,"=","LUMINEERS","Ho Hey",5950,198,1007,2,50.123,1.593,74,"4",15,5950,1376,50.123
16,"=","ED SHEERAN","The A Team",5309,129,670,43,43.769,1.168,102,"29",16,5309,868,43.769
17,"=","PINK","Try",4834,155,963,-27,29.834,0.865,32,"11",17,4834,1515,29.834
18,"=","SWEDISH HOUSE MAFIA","Don't You Worry Chil...",4478,52,637,-74,34.901,1.013,81,"21",18,4478,904,34.901
19,"=","ONEREPUBLIC","Feel Again",4097,-2,21,24,24.381,0.006,84,"41",19,4153,813,25.014
20,"=","ENRIQUE IGLESIAS","Finally Found You f/...",3389,-260,-1317,-115,21.254,-1.806,92,"99",12,7155,1803,47.652
21,"=","PITBULL","Don't Stop The Party",3234,33,371,-14,20.176,0.754,53,"22",21,3234,554,20.176
22,"=","THE SCRIPT","Hall Of Fame f/will....",3032,20,161,-4,15.916,0.151,74,"38",22,3032,493,15.916
23,"=","PSY","Gangnam Style",2714,-110,-838,61,18.894,-0.814,81,"6",10,7746,1695,59.817
24,"=","KELLY CLARKSON","Catch My Breath",2550,37,594,-56,13.746,0.674,34,"53",24,2550,767,13.746
25,"=","BRIDGIT MENDLER","Ready Or Not",2462,0,116,-26,15.392,0.012,87,"88",25,2462,336,15.584
26,"=","ELLIE GOULDING","Anything Could Happe...",2424,1,71,-24,13.858,0.009,67,"44",26,2424,455,13.899
27,"=","IMAGINE DRAGONS","It's Time",2344,51,383,-3,17.645,0.324,67,"25",27,2344,446,17.645
28,"=","TRAIN","50 Ways To Say Goodb...",2095,-94,-879,21,11.769,-0.322,117,"58",16,4812,717,29.769
29,"+1","CHER LLOYD","Oath f/Becky G",2006,24,249,15,11.015,0.037,53,"76",29,2006,343,11.061
30,"-1","ONE DIRECTION","Live While We're You...",1994,-71,-721,72,10.858,-0.397,70,"94",15,5363,2151,28.68
31,"=","ALICIA KEYS","Girl On Fire",1709,64,337,12,18.621,0.18,37,"7/46",31,1709,436,18.621
32,"+1","LUDACRIS F/USHER/DAV...","Rest Of My Life",1665,74,467,-2,12.057,0.765,17,"107",32,1665,615,12.057
33,"-1","HUNTER HAYES","Wanted",1655,22,314,-18,8.64,0.134,46,"32",31,1655,368,8.64
34,"+3","TAYLOR SWIFT","I Knew You Were Trou...",1543,287,1024,179,12.666,1.57,10,"12",34,1543,1024,12.666
35,"-1","CALVIN HARRIS","Sweet Nothing f/Flor...",1539,143,522,76,15.89,0.38,14,"47",34,1539,522,15.89
36,"-1","CHRIS WALLACE","Remember When (Push ...",1407,12,32,10,5.76,0.092,109,"--",32,1407,131,5.76
37,"+1","ONE DIRECTION","Little Things",1342,92,717,-44,11.523,0.711,11,"67",37,1342,789,11.523
38,"-2","MEGAN & LIZ","Bad For Me",1315,50,88,100,4.55,0.009,81,"395",33,1330,313,4.799
39,"=","MIGUEL","Adorn",1167,10,94,-7,8.831,-0.14,46,"75",37,1177,248,9.94
40,"+1","THE READY SET","Give Me Your Hand",1140,22,148,17,3.781,0.108,32,"--",39,1140,324,3.781
41,"-1","CARLY RAE JEPSEN","This Kiss",1126,-18,11,-16,5.452,-0.188,48,"156",36,1149,234,5.767
42,"=","THE WANTED","I Found You",921,14,75,10,7.215,0.31,48,"84",42,921,173,7.215
43,"+2","MAROON 5","Daylight",859,139,586,87,4.768,0.8,6,"158",43,859,586,4.768
44,"-1","TREY SONGZ","2 Reasons f/T.I.",858,-43,-208,-21,6.621,-0.121,102,"245",25,2118,262,13.967
45,"-1","OF MONSTERS AND MEN","Little Talks",742,12,162,-17,2.911,0.099,11,"49",44,742,185,2.911
46,"=","CONOR MAYNARD","Turn Around f/Ne-Yo",697,-1,44,-7,2.679,0.047,22,"--",44,698,281,2.803
47,"=","MACKLEMORE & RYAN LE...","Thrift Shop f/Wanz",628,15,98,-8,6.842,0.193,11,"18",46,628,160,6.842
48,"=","WILL.I.AM & BRITNEY ...","Scream And Shout",620,104,458,53,5.492,0.443,4,"--",48,620,464,5.492
49,"=","KANYE WEST","Clique f/Big Sean & ...",436,-2,-17,5,2.355,-0.024,23,"35",48,466,94,3.286
50,"=","THE CAB","Endlessly",351,0,37,-3,1.126,0.01,4,"--",50,351,52,1.126
