"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","ADELE Set Fire To The Rain",13445,53,454,-79,87.725,0.002,84,"4",1,13445,2301,87.934
"2",2,"=","FLO RIDA Good Feeling",12070,-121,-932,-22,73.883,-1.596,145,"22",1,13154,1657,85.747
"3",3,"=","JESSIE J Domino",11148,111,687,-16,64.74,-0.169,154,"25",3,11148,1524,64.909
"4",4,"+1","DAVID GUETTA Turn Me On f/Nicki Minaj",9837,125,836,-5,56.903,0.232,68,"15",4,9837,1674,56.903
"5",5,"-1","RIHANNA We Found Love f/Calvin Harris",9800,-51,-721,46,69.951,0.495,145,"20",1,14238,2184,95.593
"6",6,"=","KATY PERRY The One That Got Away",8820,-415,-1741,-257,48.6,-2.375,133,"59",1,13402,1631,80.623
"7",7,"+1","KELLY CLARKSON Stronger (What Doesn't Ki...",8740,386,2157,129,59.377,2.148,40,"7",7,8740,2157,59.377
"8",8,"-1","BRUNO MARS It Will Rain",8435,-175,-1723,87,48.299,-0.526,137,"26",1,13635,2024,86.477
"9",9,"=","PITBULL F/CHRIS BROWN International Love",7986,113,931,-71,51.658,1.085,106,"21",8,7986,1086,51.658
"10",10,"=","GYM CLASS HEROES Ass Back Home",7226,81,492,9,45.37,1.235,85,"29",10,7226,1379,45.37
"11",11,"=","SELENA GOMEZ & THE SCENE Love You Like A...",6901,-215,-1231,-61,37.594,-1.244,178,"17",6,9154,1208,48.131
"12",12,"=","GAVIN DEGRAW Not Over You",6898,-4,47,-113,36.891,0.067,176,"35",10,6909,547,37.142
"13",13,"=","LMFAO Sexy And I Know It",5921,-94,-693,-11,34.767,-0.583,174,"13",2,12000,1530,74.768
"14",14,"=","WANTED Glad You Came",5905,136,970,10,34.991,0.996,40,"18",14,5905,1330,34.991
"15",15,"=","DAVID GUETTA Without You f/Usher",4991,-18,-582,140,34.632,-0.042,174,"76",1,13428,1586,84.476
"16",16,"+1","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",4772,129,665,26,30.59,1.224,85,"16",16,4772,665,30.59
"17",17,"-1","HOT CHELLE RAE I Like It Like That f/New...",4684,-149,-440,-130,19.018,-0.893,140,"40",15,5237,639,24.246
